OH: Ohio, Lifetables (period 1x5), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02032	0.01996	0.11	100000	1996	98224	7364414	73.64
1960-1964	1	0.00115	0.00115	0.5	98004	113	97948	7266191	74.14
1960-1964	2	0.00074	0.00074	0.5	97892	72	97856	7168243	73.23
1960-1964	3	0.00056	0.00056	0.5	97819	55	97792	7070387	72.28
1960-1964	4	0.00048	0.00048	0.5	97765	47	97741	6972595	71.32
1960-1964	5	0.00044	0.00044	0.5	97718	43	97696	6874854	70.35
1960-1964	6	0.00036	0.00036	0.5	97674	35	97657	6777158	69.39
1960-1964	7	0.00034	0.00034	0.5	97639	33	97623	6679501	68.41
1960-1964	8	0.00027	0.00027	0.5	97607	26	97593	6581878	67.43
1960-1964	9	0.00025	0.00025	0.5	97580	25	97568	6484285	66.45
1960-1964	10	0.00028	0.00028	0.5	97555	28	97542	6386717	65.47
1960-1964	11	0.00024	0.00024	0.5	97528	23	97516	6289176	64.49
1960-1964	12	0.00031	0.00031	0.5	97504	31	97489	6191660	63.50
1960-1964	13	0.00029	0.00029	0.5	97474	29	97460	6094171	62.52
1960-1964	14	0.00031	0.00031	0.5	97445	30	97430	5996711	61.54
1960-1964	15	0.00036	0.00036	0.5	97415	35	97398	5899281	60.56
1960-1964	16	0.00043	0.00043	0.5	97380	42	97359	5801883	59.58
1960-1964	17	0.00046	0.00046	0.5	97339	45	97316	5704523	58.60
1960-1964	18	0.00053	0.00053	0.5	97294	51	97268	5607207	57.63
1960-1964	19	0.00054	0.00054	0.5	97242	52	97216	5509939	56.66
1960-1964	20	0.00054	0.00054	0.5	97190	52	97164	5412723	55.69
1960-1964	21	0.00060	0.00060	0.5	97138	58	97109	5315559	54.72
1960-1964	22	0.00059	0.00059	0.5	97079	57	97051	5218450	53.75
1960-1964	23	0.00060	0.00059	0.5	97023	58	96994	5121399	52.79
1960-1964	24	0.00064	0.00064	0.5	96965	63	96934	5024406	51.82
1960-1964	25	0.00075	0.00075	0.5	96902	72	96866	4927472	50.85
1960-1964	26	0.00075	0.00075	0.5	96830	73	96794	4830606	49.89
1960-1964	27	0.00084	0.00084	0.5	96757	81	96717	4733812	48.92
1960-1964	28	0.00086	0.00086	0.5	96676	83	96635	4637095	47.97
1960-1964	29	0.00091	0.00091	0.5	96593	88	96549	4540460	47.01
1960-1964	30	0.00094	0.00094	0.5	96505	91	96460	4443911	46.05
1960-1964	31	0.00100	0.00100	0.5	96415	96	96367	4347451	45.09
1960-1964	32	0.00103	0.00103	0.5	96319	99	96269	4251084	44.14
1960-1964	33	0.00112	0.00112	0.5	96220	108	96166	4154815	43.18
1960-1964	34	0.00137	0.00137	0.5	96112	131	96046	4058649	42.23
1960-1964	35	0.00144	0.00144	0.5	95980	138	95911	3962603	41.29
1960-1964	36	0.00153	0.00153	0.5	95842	147	95769	3866692	40.34
1960-1964	37	0.00180	0.00180	0.5	95695	172	95609	3770923	39.41
1960-1964	38	0.00180	0.00180	0.5	95523	172	95437	3675314	38.48
1960-1964	39	0.00201	0.00201	0.5	95351	191	95256	3579877	37.54
1960-1964	40	0.00210	0.00209	0.5	95160	199	95060	3484621	36.62
1960-1964	41	0.00236	0.00236	0.5	94961	224	94848	3389561	35.69
1960-1964	42	0.00262	0.00262	0.5	94736	248	94612	3294712	34.78
1960-1964	43	0.00287	0.00286	0.5	94488	270	94353	3200100	33.87
1960-1964	44	0.00310	0.00310	0.5	94218	292	94072	3105748	32.96
1960-1964	45	0.00350	0.00350	0.5	93926	328	93762	3011676	32.06
1960-1964	46	0.00360	0.00359	0.5	93597	336	93429	2917914	31.18
1960-1964	47	0.00408	0.00407	0.5	93261	380	93071	2824485	30.29
1960-1964	48	0.00446	0.00445	0.5	92882	413	92675	2731413	29.41
1960-1964	49	0.00486	0.00485	0.5	92468	448	92244	2638739	28.54
1960-1964	50	0.00550	0.00548	0.5	92020	505	91768	2546494	27.67
1960-1964	51	0.00568	0.00567	0.5	91515	518	91256	2454727	26.82
1960-1964	52	0.00636	0.00634	0.5	90997	577	90708	2363471	25.97
1960-1964	53	0.00693	0.00691	0.5	90420	625	90108	2272763	25.14
