PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
OH,f,1960-1969,0,0.01914,0.01881,0.11,100000,1881,98319,7381606,73.82
OH,f,1960-1969,1-4,0.00073,0.00292,1.64,98119,287,391798,7283287,74.23
OH,f,1960-1969,5-9,0.00034,0.00167,2.21,97832,164,488704,6891489,70.44
OH,f,1960-1969,10-14,0.00029,0.00144,2.53,97668,141,487993,6402785,65.56
OH,f,1960-1969,15-19,0.00052,0.00258,2.78,97527,252,487077,5914791,60.65
OH,f,1960-1969,20-24,0.00064,0.00321,2.54,97275,312,485609,5427715,55.80
OH,f,1960-1969,25-29,0.00080,0.00400,2.58,96963,388,483877,4942106,50.97
OH,f,1960-1969,30-34,0.00110,0.00551,2.66,96575,532,481632,4458229,46.16
OH,f,1960-1969,35-39,0.00173,0.00861,2.69,96043,826,478304,3976597,41.40
OH,f,1960-1969,40-44,0.00267,0.01325,2.67,95217,1261,473138,3498293,36.74
OH,f,1960-1969,45-49,0.00415,0.02055,2.68,93955,1931,465296,3025155,32.20
OH,f,1960-1969,50-54,0.00634,0.03124,2.65,92025,2874,453378,2559860,27.82
OH,f,1960-1969,55-59,0.00947,0.04632,2.65,89150,4129,436060,2106482,23.63
OH,f,1960-1969,60-64,0.01445,0.06989,2.64,85021,5942,411076,1670422,19.65
OH,f,1960-1969,65-69,0.02272,0.10782,2.64,79079,8526,375271,1259346,15.93
OH,f,1960-1969,70-74,0.03668,0.16874,2.63,70553,11905,324603,884075,12.53
OH,f,1960-1969,75-79,0.06056,0.26416,2.59,58648,15493,255825,559473,9.54
OH,f,1960-1969,80-84,0.10010,0.40094,2.52,43155,17303,172859,303648,7.04
OH,f,1960-1969,85-89,0.16335,0.56928,2.34,25852,14717,90095,130788,5.06
OH,f,1960-1969,90-94,0.24851,0.72910,2.17,11135,8119,32669,40694,3.65
OH,f,1960-1969,95-99,0.36069,0.85339,1.91,3017,2574,7137,8025,2.66
OH,f,1960-1969,100-104,0.49031,0.92876,1.66,442,411,838,888,2.01
OH,f,1960-1969,105-109,0.62211,0.96587,1.43,32,30,49,50,1.60
OH,f,1960-1969,110+,0.72365,1.00000,1.38,1,1,1,1,1.38
OH,f,1970-1979,0,0.01423,0.01405,0.09,100000,1405,98725,7568683,75.69
OH,f,1970-1979,1-4,0.00060,0.00238,1.66,98595,235,393831,7469958,75.76
OH,f,1970-1979,5-9,0.00030,0.00150,2.28,98360,147,491399,7076127,71.94
OH,f,1970-1979,10-14,0.00025,0.00127,2.59,98213,125,490761,6584728,67.05
OH,f,1970-1979,15-19,0.00053,0.00263,2.7,98088,258,489845,6093966,62.13
OH,f,1970-1979,20-24,0.00063,0.00317,2.51,97830,310,488375,5604122,57.28
OH,f,1970-1979,25-29,0.00072,0.00357,2.57,97520,349,486752,5115746,52.46
OH,f,1970-1979,30-34,0.00095,0.00472,2.67,97171,458,484787,4628994,47.64
OH,f,1970-1979,35-39,0.00146,0.00726,2.69,96713,702,481942,4144208,42.85
OH,f,1970-1979,40-44,0.00237,0.01178,2.68,96011,1131,477428,3662266,38.14
OH,f,1970-1979,45-49,0.00371,0.01839,2.64,94880,1745,470275,3184838,33.57
OH,f,1970-1979,50-54,0.00573,0.02829,2.67,93135,2635,459523,2714563,29.15
OH,f,1970-1979,55-59,0.00859,0.04211,2.66,90500,3811,443564,2255040,24.92
OH,f,1970-1979,60-64,0.01317,0.06386,2.64,86688,5536,420392,1811476,20.90
