OH: Ohio, Lifetables (period 5x1), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02814	0.02746	0.12	100000	2746	97585	6715763	67.16
1959	1-4	0.00105	0.00420	1.64	97254	408	388055	6618178	68.05
1959	5-9	0.00057	0.00283	2.45	96846	274	483531	6230123	64.33
1959	10-14	0.00054	0.00271	2.5	96572	261	482206	5746593	59.51
1959	15-19	0.00118	0.00588	2.68	96311	566	480238	5264387	54.66
1959	20-24	0.00160	0.00799	2.46	95744	765	476780	4784150	49.97
1959	25-29	0.00147	0.00734	2.57	94980	697	473200	4307370	45.35
1959	30-34	0.00179	0.00893	2.6	94282	842	469387	3834170	40.67
1959	35-39	0.00277	0.01374	2.65	93440	1284	464187	3364783	36.01
1959	40-44	0.00444	0.02199	2.74	92156	2026	456208	2900596	31.47
1959	45-49	0.00744	0.03656	2.72	90130	3295	443126	2444388	27.12
1959	50-54	0.01198	0.05828	2.64	86834	5060	422255	2001262	23.05
1959	55-59	0.01799	0.08620	2.59	81774	7049	391902	1579007	19.31
1959	60-64	0.02794	0.13094	2.6	74725	9784	350185	1187105	15.89
1959	65-69	0.04160	0.18871	2.54	64941	12255	294605	836920	12.89
1959	70-74	0.05817	0.25422	2.52	52686	13394	230243	542315	10.29
1959	75-79	0.08824	0.36192	2.52	39292	14221	161164	312071	7.94
1959	80-84	0.12894	0.48487	2.44	25071	12156	94278	150907	6.02
1959	85-89	0.19843	0.64306	2.26	12915	8305	41855	56629	4.38
1959	90-94	0.29355	0.79122	2.09	4610	3647	12425	14774	3.20
1959	95-99	0.39780	0.87963	1.83	962	847	2128	2348	2.44
1959	100-104	0.52003	0.93895	1.6	116	109	209	220	1.90
1959	105-109	0.64072	0.96886	1.4	7	7	11	11	1.55
1959	110+	0.73286	1.00000	1.36	0	0	0	0	1.36
1960	0	0.02746	0.02681	0.12	100000	2681	97638	6718489	67.18
1960	1-4	0.00098	0.00390	1.6	97319	379	388367	6620851	68.03
1960	5-9	0.00049	0.00245	2.15	96940	238	484025	6232484	64.29
1960	10-14	0.00049	0.00247	2.73	96703	239	482970	5748459	59.44
1960	15-19	0.00125	0.00623	2.86	96464	601	481031	5265489	54.59
1960	20-24	0.00151	0.00754	2.34	95863	722	477395	4784458	49.91
1960	25-29	0.00148	0.00739	2.57	95140	703	473995	4307063	45.27
1960	30-34	0.00186	0.00926	2.56	94437	875	470053	3833068	40.59
1960	35-39	0.00256	0.01270	2.64	93562	1188	465002	3363015	35.94
1960	40-44	0.00416	0.02059	2.68	92374	1902	457467	2898013	31.37
1960	45-49	0.00739	0.03635	2.7	90473	3289	444783	2440546	26.98
1960	50-54	0.01247	0.06058	2.65	87184	5281	423488	1995763	22.89
1960	55-59	0.01797	0.08614	2.62	81903	7055	392708	1572275	19.20
1960	60-64	0.02813	0.13183	2.62	74847	9867	350772	1179567	15.76
1960	65-69	0.04130	0.18760	2.56	64980	12191	295169	828794	12.75
1960	70-74	0.06119	0.26586	2.54	52790	14035	229372	533626	10.11
1960	75-79	0.08879	0.36278	2.48	38755	14060	158345	304253	7.85
1960	80-84	0.13447	0.49842	2.41	24696	12309	91538	145908	5.91
1960	85-89	0.20104	0.64456	2.22	12387	7984	39713	54370	4.39
1960	90-94	0.28031	0.77318	2.1	4403	3404	12144	14657	3.33
1960	95-99	0.38519	0.87000	1.85	999	869	2256	2513	2.52
1960	100-104	0.49828	0.93044	1.63	130	121	242	257	1.98
1960	105-109	0.61212	0.96308	1.44	9	9	14	15	1.63
1960	110+	0.70096	1.00000	1.43	0	0	0	0	1.43
1961	0	0.02641	0.02580	0.12	100000	2580	97719	6754675	67.55
1961	1-4	0.00097	0.00389	1.55	97420	379	388751	6656956	68.33
1961	5-9	0.00048	0.00241	2.3	97041	234	484571	6268205	64.59
1961	10-14	0.00052	0.00260	2.66	96807	252	483445	5783634	59.74
1961	15-19	0.00098	0.00488	2.68	96555	471	481686	5300189	54.89
1961	20-24	0.00159	0.00791	2.5	96084	760	478526	4818503	50.15
1961	25-29	0.00144	0.00717	2.52	95324	684	474930	4339977	45.53
1961	30-34	0.00176	0.00874	2.59	94641	827	471211	3865047	40.84
