PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
OK,b,1959,0,0.02515,0.02461,0.12,100000,2461,97831,7112599,71.13
OK,b,1959,1-4,0.00113,0.00450,1.56,97539,439,389084,7014768,71.92
OK,b,1959,5-9,0.00055,0.00275,2.29,97100,267,484776,6625685,68.24
OK,b,1959,10-14,0.00058,0.00290,2.54,96833,281,483471,6140909,63.42
OK,b,1959,15-19,0.00110,0.00546,2.65,96552,528,481518,5657438,58.59
OK,b,1959,20-24,0.00134,0.00669,2.35,96024,642,478419,5175921,53.90
OK,b,1959,25-29,0.00150,0.00745,2.55,95382,711,475168,4697502,49.25
OK,b,1959,30-34,0.00173,0.00863,2.39,94671,817,471219,4222334,44.60
OK,b,1959,35-39,0.00245,0.01218,2.6,93854,1143,466527,3751115,39.97
OK,b,1959,40-44,0.00330,0.01638,2.65,92711,1519,459981,3284588,35.43
OK,b,1959,45-49,0.00516,0.02550,2.64,91192,2326,450481,2824607,30.97
OK,b,1959,50-54,0.00826,0.04052,2.62,88866,3601,435769,2374127,26.72
OK,b,1959,55-59,0.01150,0.05601,2.7,85265,4776,415340,1938358,22.73
OK,b,1959,60-64,0.01779,0.08546,2.7,80489,6879,386623,1523018,18.92
OK,b,1959,65-69,0.02617,0.12317,2.62,73610,9067,346462,1136395,15.44
OK,b,1959,70-74,0.04004,0.18276,2.62,64543,11796,294627,789933,12.24
OK,b,1959,75-79,0.06370,0.27618,2.59,52748,14568,228684,495305,9.39
OK,b,1959,80-84,0.10371,0.41284,2.53,38180,15762,151982,266622,6.98
OK,b,1959,85-89,0.16338,0.57099,2.36,22418,12800,78345,114640,5.11
OK,b,1959,90-94,0.24055,0.71368,2.15,9617,6864,28534,36294,3.77
OK,b,1959,95-99,0.33873,0.83326,1.95,2754,2295,6774,7761,2.82
OK,b,1959,100-104,0.45657,0.91316,1.71,459,419,918,987,2.15
OK,b,1959,105-109,0.58053,0.95648,1.5,40,38,66,68,1.71
OK,b,1959,110+,0.67931,1.00000,1.47,2,2,3,3,1.47
OK,b,1960,0,0.02610,0.02552,0.12,100000,2552,97756,7078704,70.79
OK,b,1960,1-4,0.00131,0.00522,1.43,97448,509,388487,6980948,71.64
OK,b,1960,5-9,0.00052,0.00262,2.3,96939,254,484012,6592461,68.01
OK,b,1960,10-14,0.00050,0.00249,2.69,96685,241,482871,6108450,63.18
OK,b,1960,15-19,0.00108,0.00537,2.68,96445,518,481021,5625578,58.33
OK,b,1960,20-24,0.00134,0.00668,2.54,95926,641,478054,5144558,53.63
OK,b,1960,25-29,0.00145,0.00720,2.53,95286,686,474734,4666504,48.97
OK,b,1960,30-34,0.00160,0.00795,2.54,94599,752,471150,4191770,44.31
OK,b,1960,35-39,0.00220,0.01096,2.63,93847,1029,466794,3720619,39.65
OK,b,1960,40-44,0.00345,0.01710,2.7,92818,1587,460446,3253825,35.06
OK,b,1960,45-49,0.00555,0.02742,2.69,91231,2501,450370,2793379,30.62
OK,b,1960,50-54,0.00880,0.04314,2.71,88730,3827,434875,2343009,26.41
OK,b,1960,55-59,0.01231,0.05981,2.62,84902,5078,412444,1908134,22.47
OK,b,1960,60-64,0.01925,0.09216,2.68,79824,7356,382081,1495690,18.74
OK,b,1960,65-69,0.02754,0.12926,2.63,72468,9367,340161,1113609,15.37
OK,b,1960,70-74,0.04018,0.18316,2.59,63101,11557,287634,773448,12.26
OK,b,1960,75-79,0.06246,0.27146,2.59,51544,13992,224023,485814,9.43
OK,b,1960,80-84,0.10310,0.40928,2.48,37552,15369,149063,261791,6.97
OK,b,1960,85-89,0.16394,0.57140,2.35,22182,12675,77317,112728,5.08
OK,b,1960,90-94,0.24634,0.71867,2.1,9507,6833,27737,35412,3.72
OK,b,1960,95-99,0.33221,0.82675,1.96,2675,2211,6656,7675,2.87
OK,b,1960,100-104,0.44564,0.90734,1.73,463,420,943,1019,2.20
OK,b,1960,105-109,0.56558,0.95245,1.52,43,41,72,75,1.76
OK,b,1960,110+,0.66181,1.00000,1.51,2,2,3,3,1.51
OK,b,1961,0,0.02455,0.02403,0.12,100000,2403,97877,7114738,71.15
OK,b,1961,1-4,0.00112,0.00448,1.58,97597,437,389331,7016861,71.90
OK,b,1961,5-9,0.00050,0.00251,2.16,97160,244,485108,6627530,68.21
OK,b,1961,10-14,0.00047,0.00235,2.42,96916,228,483992,6142421,63.38
OK,b,1961,15-19,0.00108,0.00540,3.08,96688,522,482438,5658429,58.52
OK,b,1961,20-24,0.00126,0.00629,2.48,96166,605,479309,5175991,53.82
OK,b,1961,25-29,0.00125,0.00623,2.49,95561,595,476310,4696682,49.15
OK,b,1961,30-34,0.00198,0.00986,2.77,94966,937,472742,4220372,44.44
OK,b,1961,35-39,0.00215,0.01070,2.81,94029,1006,467942,3747630,39.86
OK,b,1961,40-44,0.00383,0.01899,2.71,93023,1766,461078,3279688,35.26
OK,b,1961,45-49,0.00545,0.02692,2.67,91257,2457,450550,2818610,30.89
OK,b,1961,50-54,0.00850,0.04163,2.59,88800,3697,435096,2368060,26.67
OK,b,1961,55-59,0.01111,0.05410,2.55,85104,4604,414236,1932965,22.71
OK,b,1961,60-64,0.01797,0.08618,2.62,80500,6937,386009,1518729,18.87
OK,b,1961,65-69,0.02609,0.12298,2.68,73562,9047,346804,1132719,15.40
OK,b,1961,70-74,0.04001,0.18229,2.56,64516,11761,293915,785915,12.18
OK,b,1961,75-79,0.06458,0.27952,2.6,52755,14746,228350,491999,9.33
OK,b,1961,80-84,0.10591,0.41699,2.45,38009,15849,149641,263650,6.94
OK,b,1961,85-89,0.16310,0.56606,2.3,22160,12544,76907,114008,5.14
OK,b,1961,90-94,0.23664,0.70267,2.11,9616,6757,28553,37101,3.86
OK,b,1961,95-99,0.31754,0.81155,1.99,2859,2320,7307,8549,2.99
OK,b,1961,100-104,0.42390,0.89500,1.77,539,482,1138,1242,2.30
OK,b,1961,105-109,0.53904,0.94460,1.56,57,53,99,104,1.84
OK,b,1961,110+,0.63305,1.00000,1.58,3,3,5,5,1.58
OK,b,1962,0,0.02431,0.02380,0.12,100000,2380,97895,7099733,71.00
OK,b,1962,1-4,0.00114,0.00455,1.62,97620,444,389423,7001839,71.73
OK,b,1962,5-9,0.00047,0.00234,2.46,97176,228,485300,6612416,68.05
OK,b,1962,10-14,0.00049,0.00245,2.54,96948,238,484153,6127115,63.20
OK,b,1962,15-19,0.00103,0.00516,2.78,96710,499,482442,5642962,58.35
OK,b,1962,20-24,0.00122,0.00609,2.6,96211,586,479646,5160521,53.64
OK,b,1962,25-29,0.00132,0.00658,2.46,95625,629,476528,4680875,48.95
OK,b,1962,30-34,0.00160,0.00796,2.62,94996,756,473179,4204347,44.26
OK,b,1962,35-39,0.00227,0.01128,2.56,94240,1063,468601,3731168,39.59
OK,b,1962,40-44,0.00354,0.01756,2.79,93176,1636,462261,3262567,35.01
OK,b,1962,45-49,0.00536,0.02647,2.72,91540,2423,452169,2800305,30.59
OK,b,1962,50-54,0.00811,0.03979,2.7,89117,3546,437442,2348136,26.35
OK,b,1962,55-59,0.01196,0.05816,2.61,85572,4977,415985,1910694,22.33
OK,b,1962,60-64,0.01863,0.08915,2.6,80595,7185,385707,1494708,18.55
OK,b,1962,65-69,0.02811,0.13156,2.57,73410,9657,343585,1109002,15.11
OK,b,1962,70-74,0.04177,0.18994,2.62,63752,12109,289903,765416,12.01
