PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
OK,f,1959,0,0.02109,0.02070,0.11,100000,2070,98162,7498403,74.98
OK,f,1959,1-4,0.00096,0.00383,1.74,97930,375,390872,7400241,75.57
OK,f,1959,5-9,0.00045,0.00227,2.05,97555,221,487120,7009370,71.85
OK,f,1959,10-14,0.00039,0.00195,2.8,97333,190,486248,6522250,67.01
OK,f,1959,15-19,0.00067,0.00336,2.35,97143,326,484851,6036002,62.14
OK,f,1959,20-24,0.00070,0.00348,2.42,96817,337,483217,5551151,57.34
OK,f,1959,25-29,0.00114,0.00569,2.79,96480,549,481186,5067934,52.53
OK,f,1959,30-34,0.00146,0.00726,2.35,95931,697,477808,4586748,47.81
OK,f,1959,35-39,0.00192,0.00957,2.61,95234,912,473987,4108940,43.15
OK,f,1959,40-44,0.00239,0.01187,2.63,94322,1120,468955,3634952,38.54
OK,f,1959,45-49,0.00343,0.01703,2.6,93202,1588,462203,3165997,33.97
OK,f,1959,50-54,0.00529,0.02613,2.57,91615,2394,452252,2703795,29.51
OK,f,1959,55-59,0.00742,0.03647,2.66,89221,3254,438489,2251542,25.24
OK,f,1959,60-64,0.01190,0.05789,2.66,85967,4977,418200,1813053,21.09
OK,f,1959,65-69,0.01714,0.08245,2.68,80991,6677,389487,1394853,17.22
OK,f,1959,70-74,0.02994,0.13988,2.66,74313,10395,347227,1005367,13.53
OK,f,1959,75-79,0.05101,0.22717,2.59,63918,14521,284662,658140,10.30
OK,f,1959,80-84,0.08903,0.36519,2.54,49398,18039,202617,373478,7.56
OK,f,1959,85-89,0.14951,0.54027,2.43,31358,16942,113315,170861,5.45
OK,f,1959,90-94,0.22358,0.68713,2.2,14416,9906,44306,57546,3.99
OK,f,1959,95-99,0.32288,0.81873,1.99,4510,3693,11437,13240,2.94
OK,f,1959,100-104,0.44378,0.90720,1.74,818,742,1671,1803,2.21
OK,f,1959,105-109,0.57221,0.95465,1.51,76,72,127,132,1.74
OK,f,1959,110+,0.67473,1.00000,1.48,3,3,5,5,1.48
OK,f,1960,0,0.02285,0.02240,0.12,100000,2240,98022,7480558,74.81
OK,f,1960,1-4,0.00100,0.00400,1.28,97760,391,389976,7382536,75.52
OK,f,1960,5-9,0.00051,0.00254,2.2,97369,247,486155,6992560,71.81
OK,f,1960,10-14,0.00039,0.00195,2.28,97122,189,485095,6506405,66.99
OK,f,1960,15-19,0.00057,0.00283,2.43,96933,274,483959,6021310,62.12
OK,f,1960,20-24,0.00078,0.00388,2.83,96659,375,482481,5537351,57.29
OK,f,1960,25-29,0.00091,0.00455,2.51,96284,438,480327,5054870,52.50
OK,f,1960,30-34,0.00102,0.00510,2.65,95845,489,478076,4574542,47.73
OK,f,1960,35-39,0.00183,0.00911,2.71,95356,868,474796,4096467,42.96
OK,f,1960,40-44,0.00261,0.01299,2.72,94488,1227,469636,3621671,38.33
OK,f,1960,45-49,0.00371,0.01842,2.69,93261,1717,462340,3152035,33.80
OK,f,1960,50-54,0.00549,0.02708,2.69,91543,2479,451991,2689695,29.38
OK,f,1960,55-59,0.00788,0.03871,2.66,89064,3447,437245,2237704,25.12
OK,f,1960,60-64,0.01222,0.05941,2.65,85616,5087,416138,1800459,21.03
OK,f,1960,65-69,0.01814,0.08708,2.7,80530,7013,386501,1384321,17.19
OK,f,1960,70-74,0.02902,0.13588,2.67,73517,9990,344284,997820,13.57
OK,f,1960,75-79,0.05107,0.22822,2.67,63527,14498,283896,653536,10.29
OK,f,1960,80-84,0.09027,0.36858,2.51,49029,18071,200189,369640,7.54
OK,f,1960,85-89,0.14753,0.53565,2.44,30958,16583,112398,169451,5.47
OK,f,1960,90-94,0.22802,0.68946,2.13,14376,9911,43467,57053,3.97
OK,f,1960,95-99,0.31030,0.80504,2.01,4464,3594,11582,13586,3.04
OK,f,1960,100-104,0.42378,0.89569,1.78,870,780,1840,2004,2.30
OK,f,1960,105-109,0.54618,0.94719,1.55,91,86,157,165,1.82
OK,f,1960,110+,0.64534,1.00000,1.55,5,5,7,7,1.55
OK,f,1961,0,0.02139,0.02100,0.11,100000,2100,98137,7501765,75.02
OK,f,1961,1-4,0.00103,0.00410,1.83,97900,402,390731,7403628,75.62
OK,f,1961,5-9,0.00041,0.00204,2.23,97499,199,486943,7012897,71.93
OK,f,1961,10-14,0.00041,0.00203,2.62,97300,197,486029,6525954,67.07
OK,f,1961,15-19,0.00087,0.00433,3.01,97103,421,484674,6039924,62.20
OK,f,1961,20-24,0.00083,0.00414,2.86,96682,400,482553,5555250,57.46
OK,f,1961,25-29,0.00082,0.00411,2.28,96282,396,480334,5072698,52.69
OK,f,1961,30-34,0.00141,0.00701,2.76,95886,672,477926,4592364,47.89
OK,f,1961,35-39,0.00164,0.00819,2.83,95214,780,474373,4114437,43.21
OK,f,1961,40-44,0.00277,0.01377,2.77,94434,1300,469272,3640064,38.55
OK,f,1961,45-49,0.00307,0.01522,2.59,93134,1417,462247,3170792,34.05
OK,f,1961,50-54,0.00544,0.02685,2.53,91717,2462,452494,2708546,29.53
OK,f,1961,55-59,0.00660,0.03246,2.58,89254,2897,439268,2256051,25.28
OK,f,1961,60-64,0.01189,0.05784,2.66,86357,4995,420119,1816783,21.04
OK,f,1961,65-69,0.01778,0.08548,2.74,81363,6955,391108,1396664,17.17
OK,f,1961,70-74,0.02899,0.13550,2.6,74408,10082,347835,1005556,13.51
OK,f,1961,75-79,0.05191,0.23190,2.7,64326,14917,287369,657720,10.22
OK,f,1961,80-84,0.09016,0.36838,2.52,49409,18201,201873,370351,7.50
OK,f,1961,85-89,0.15363,0.54248,2.29,31208,16929,110195,168478,5.40
OK,f,1961,90-94,0.21771,0.67741,2.21,14278,9672,44427,58283,4.08
OK,f,1961,95-99,0.31445,0.80946,2,4606,3728,11857,13856,3.01
OK,f,1961,100-104,0.42884,0.89861,1.77,878,789,1839,1999,2.28
OK,f,1961,105-109,0.55168,0.94880,1.54,89,84,153,160,1.80
OK,f,1961,110+,0.65090,1.00000,1.54,5,5,7,7,1.54
OK,f,1962,0,0.02190,0.02149,0.11,100000,2149,98097,7497620,74.98
OK,f,1962,1-4,0.00089,0.00355,1.57,97851,347,390564,7399523,75.62
OK,f,1962,5-9,0.00050,0.00248,2.5,97505,242,486920,7008959,71.88
OK,f,1962,10-14,0.00032,0.00157,2.36,97263,153,485911,6522039,67.06
OK,f,1962,15-19,0.00060,0.00301,2.68,97110,292,484870,6036127,62.16
OK,f,1962,20-24,0.00074,0.00371,2.49,96818,359,483187,5551257,57.34
OK,f,1962,25-29,0.00073,0.00363,2.66,96459,350,481475,5068070,52.54
OK,f,1962,30-34,0.00112,0.00556,2.88,96109,535,479408,4586595,47.72
OK,f,1962,35-39,0.00163,0.00812,2.43,95574,776,475874,4107188,42.97
OK,f,1962,40-44,0.00263,0.01305,2.75,94798,1237,471204,3631314,38.31
OK,f,1962,45-49,0.00376,0.01865,2.87,93560,1745,464078,3160110,33.78
OK,f,1962,50-54,0.00504,0.02490,2.74,91815,2286,453913,2696032,29.36
OK,f,1962,55-59,0.00654,0.03220,2.61,89529,2883,440744,2242120,25.04
