PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
OK,m,1960-1969,0,0.02613,0.02554,0.12,100000,2554,97740,6738294,67.38
OK,m,1960-1969,1,0.00195,0.00195,0.5,97446,190,97351,6640554,68.15
OK,m,1960-1969,2,0.00116,0.00116,0.5,97256,113,97199,6543204,67.28
OK,m,1960-1969,3,0.00084,0.00084,0.5,97143,82,97102,6446004,66.36
OK,m,1960-1969,4,0.00075,0.00074,0.5,97061,72,97025,6348903,65.41
OK,m,1960-1969,5,0.00062,0.00062,0.5,96988,60,96959,6251878,64.46
OK,m,1960-1969,6,0.00055,0.00055,0.5,96929,53,96902,6154920,63.50
OK,m,1960-1969,7,0.00045,0.00045,0.5,96876,43,96854,6058017,62.53
OK,m,1960-1969,8,0.00044,0.00044,0.5,96832,43,96811,5961163,61.56
OK,m,1960-1969,9,0.00042,0.00042,0.5,96790,41,96769,5864352,60.59
OK,m,1960-1969,10,0.00045,0.00045,0.5,96749,43,96727,5767583,59.61
OK,m,1960-1969,11,0.00047,0.00047,0.5,96705,45,96683,5670856,58.64
OK,m,1960-1969,12,0.00061,0.00061,0.5,96660,59,96631,5574173,57.67
OK,m,1960-1969,13,0.00062,0.00062,0.5,96602,60,96572,5477542,56.70
OK,m,1960-1969,14,0.00082,0.00082,0.5,96542,79,96503,5380971,55.74
OK,m,1960-1969,15,0.00105,0.00105,0.5,96463,101,96413,5284468,54.78
OK,m,1960-1969,16,0.00140,0.00140,0.5,96362,135,96294,5188056,53.84
OK,m,1960-1969,17,0.00162,0.00162,0.5,96227,156,96149,5091761,52.91
OK,m,1960-1969,18,0.00182,0.00182,0.5,96071,175,95984,4995612,52.00
OK,m,1960-1969,19,0.00183,0.00183,0.5,95897,175,95809,4899628,51.09
OK,m,1960-1969,20,0.00185,0.00184,0.5,95721,177,95633,4803819,50.19
OK,m,1960-1969,21,0.00197,0.00196,0.5,95545,188,95451,4708186,49.28
OK,m,1960-1969,22,0.00175,0.00175,0.5,95357,167,95273,4612735,48.37
OK,m,1960-1969,23,0.00201,0.00201,0.5,95190,191,95095,4517462,47.46
OK,m,1960-1969,24,0.00198,0.00198,0.5,94999,188,94905,4422367,46.55
OK,m,1960-1969,25,0.00178,0.00178,0.5,94811,168,94726,4327462,45.64
OK,m,1960-1969,26,0.00182,0.00182,0.5,94642,172,94556,4232736,44.72
OK,m,1960-1969,27,0.00188,0.00188,0.5,94470,178,94381,4138180,43.80
OK,m,1960-1969,28,0.00203,0.00202,0.5,94292,191,94197,4043798,42.89
OK,m,1960-1969,29,0.00179,0.00179,0.5,94101,169,94017,3949602,41.97
OK,m,1960-1969,30,0.00199,0.00199,0.5,93933,187,93839,3855584,41.05
OK,m,1960-1969,31,0.00205,0.00205,0.5,93746,192,93650,3761745,40.13
OK,m,1960-1969,32,0.00228,0.00228,0.5,93554,213,93447,3668095,39.21
OK,m,1960-1969,33,0.00226,0.00226,0.5,93340,210,93235,3574648,38.30
OK,m,1960-1969,34,0.00250,0.00250,0.5,93130,233,93013,3481413,37.38
OK,m,1960-1969,35,0.00244,0.00243,0.5,92897,226,92784,3388400,36.47
OK,m,1960-1969,36,0.00273,0.00272,0.5,92671,253,92545,3295616,35.56
OK,m,1960-1969,37,0.00297,0.00296,0.5,92418,274,92281,3203071,34.66
OK,m,1960-1969,38,0.00342,0.00341,0.5,92145,314,91987,3110790,33.76
OK,m,1960-1969,39,0.00362,0.00361,0.5,91830,332,91664,3018803,32.87
OK,m,1960-1969,40,0.00376,0.00376,0.5,91498,344,91326,2927138,31.99
OK,m,1960-1969,41,0.00395,0.00394,0.5,91155,359,90975,2835812,31.11
OK,m,1960-1969,42,0.00455,0.00454,0.5,90796,412,90590,2744837,30.23
OK,m,1960-1969,43,0.00499,0.00498,0.5,90384,450,90159,2654247,29.37
OK,m,1960-1969,44,0.00557,0.00555,0.5,89934,500,89684,2564088,28.51
OK,m,1960-1969,45,0.00622,0.00620,0.5,89434,555,89157,2474404,27.67
OK,m,1960-1969,46,0.00624,0.00622,0.5,88880,553,88603,2385247,26.84
OK,m,1960-1969,47,0.00773,0.00770,0.5,88327,680,87986,2296644,26.00
OK,m,1960-1969,48,0.00789,0.00786,0.5,87646,689,87302,2208658,25.20
OK,m,1960-1969,49,0.00889,0.00885,0.5,86957,770,86572,2121356,24.40
OK,m,1960-1969,50,0.00917,0.00913,0.5,86188,787,85794,2034784,23.61
OK,m,1960-1969,51,0.01023,0.01017,0.5,85401,869,84966,1948990,22.82
OK,m,1960-1969,52,0.01201,0.01194,0.5,84532,1009,84027,1864023,22.05
OK,m,1960-1969,53,0.01313,0.01304,0.5,83523,1090,82978,1779996,21.31
OK,m,1960-1969,54,0.01396,0.01386,0.5,82433,1143,81862,1697018,20.59
OK,m,1960-1969,55,0.01467,0.01456,0.5,81290,1183,80699,1615156,19.87
OK,m,1960-1969,56,0.01596,0.01583,0.5,80107,1268,79473,1534458,19.16
OK,m,1960-1969,57,0.01778,0.01762,0.5,78839,1389,78144,1454985,18.46
OK,m,1960-1969,58,0.01860,0.01842,0.5,77449,1427,76736,1376841,17.78
OK,m,1960-1969,59,0.02001,0.01981,0.5,76022,1506,75269,1300105,17.10
OK,m,1960-1969,60,0.02214,0.02190,0.5,74516,1632,73700,1224836,16.44
OK,m,1960-1969,61,0.02327,0.02300,0.5,72884,1676,72046,1151135,15.79
OK,m,1960-1969,62,0.02577,0.02544,0.5,71208,1812,70302,1079089,15.15
OK,m,1960-1969,63,0.02843,0.02803,0.5,69396,1945,68423,1008787,14.54
OK,m,1960-1969,64,0.03058,0.03012,0.5,67451,2032,66435,940364,13.94
OK,m,1960-1969,65,0.03236,0.03185,0.5,65419,2083,64377,873929,13.36
OK,m,1960-1969,66,0.03581,0.03518,0.5,63335,2228,62221,809552,12.78
OK,m,1960-1969,67,0.04007,0.03928,0.5,61107,2400,59907,747330,12.23
OK,m,1960-1969,68,0.04131,0.04048,0.5,58707,2376,57519,687423,11.71
OK,m,1960-1969,69,0.04395,0.04301,0.5,56331,2423,55119,629904,11.18
OK,m,1960-1969,70,0.04724,0.04615,0.5,53908,2488,52664,574785,10.66
OK,m,1960-1969,71,0.05034,0.04911,0.5,51420,2525,50157,522121,10.15
OK,m,1960-1969,72,0.05792,0.05629,0.5,48895,2752,47519,471964,9.65
OK,m,1960-1969,73,0.06094,0.05914,0.5,46143,2729,44778,424445,9.20
OK,m,1960-1969,74,0.06595,0.06385,0.5,43414,2772,42028,379667,8.75
OK,m,1960-1969,75,0.06949,0.06716,0.5,40642,2729,39277,337639,8.31
OK,m,1960-1969,76,0.07459,0.07190,0.5,37912,2726,36549,298362,7.87
OK,m,1960-1969,77,0.07896,0.07596,0.5,35186,2673,33850,261813,7.44
OK,m,1960-1969,78,0.08742,0.08376,0.5,32513,2723,31152,227963,7.01
OK,m,1960-1969,79,0.09562,0.09126,0.5,29790,2719,28431,196811,6.61
OK,m,1960-1969,80,0.10623,0.10087,0.5,27071,2731,25706,168381,6.22
OK,m,1960-1969,81,0.11470,0.10848,0.5,24341,2640,23021,142674,5.86
OK,m,1960-1969,82,0.12945,0.12158,0.5,21700,2638,20381,119654,5.51
OK,m,1960-1969,83,0.13535,0.12677,0.5,19062,2416,17854,99273,5.21
OK,m,1960-1969,84,0.15345,0.14252,0.5,16646,2372,15459,81419,4.89
OK,m,1960-1969,85,0.16344,0.15109,0.5,14273,2157,13195,65959,4.62
