OR: Oregon, Lifetables (period 5x1), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02517	0.02463	0.12	100000	2463	97831	7066604	70.67
1959	1-4	0.00103	0.00412	1.78	97537	402	389255	6968773	71.45
1959	5-9	0.00071	0.00354	2.16	97135	344	484699	6579518	67.74
1959	10-14	0.00054	0.00272	2.98	96791	263	483424	6094820	62.97
1959	15-19	0.00111	0.00553	2.81	96528	534	481472	5611396	58.13
1959	20-24	0.00140	0.00696	2.56	95994	668	478341	5129924	53.44
1959	25-29	0.00141	0.00703	2.5	95326	670	474954	4651583	48.80
1959	30-34	0.00160	0.00798	2.55	94656	756	471428	4176630	44.12
1959	35-39	0.00214	0.01063	2.65	93900	998	467154	3705202	39.46
1959	40-44	0.00345	0.01713	2.68	92902	1591	460810	3238048	34.85
1959	45-49	0.00543	0.02682	2.64	91311	2449	450780	2777238	30.42
1959	50-54	0.00761	0.03741	2.68	88861	3324	436588	2326458	26.18
1959	55-59	0.01289	0.06256	2.66	85537	5352	415153	1889870	22.09
1959	60-64	0.01906	0.09108	2.57	80186	7304	383190	1474716	18.39
1959	65-69	0.02786	0.13047	2.58	72882	9509	341360	1091527	14.98
1959	70-74	0.04182	0.19028	2.63	63373	12059	288314	750167	11.84
1959	75-79	0.06903	0.29542	2.56	51314	15159	219595	461853	9.00
1959	80-84	0.10739	0.42208	2.47	36155	15260	142103	242258	6.70
1959	85-89	0.17850	0.60144	2.29	20895	12567	70404	100154	4.79
1959	90-94	0.25592	0.73855	2.14	8328	6151	24033	29751	3.57
1959	95-99	0.36621	0.85745	1.9	2177	1867	5098	5717	2.63
1959	100-104	0.49354	0.92987	1.65	310	289	585	620	2.00
1959	105-109	0.62350	0.96609	1.43	22	21	34	35	1.60
1959	110+	0.72412	1.00000	1.38	1	1	1	1	1.38
1960	0	0.02403	0.02353	0.12	100000	2353	97918	7102270	71.02
1960	1-4	0.00107	0.00428	1.55	97647	418	389561	7004352	71.73
1960	5-9	0.00043	0.00214	2.52	97229	208	485630	6614791	68.03
1960	10-14	0.00043	0.00215	2.64	97021	208	484616	6129162	63.17
1960	15-19	0.00080	0.00400	2.75	96813	388	483193	5644546	58.30
1960	20-24	0.00144	0.00716	2.45	96426	690	480368	5161353	53.53
1960	25-29	0.00125	0.00623	2.4	95735	596	477127	4680985	48.90
1960	30-34	0.00143	0.00710	2.53	95139	676	474025	4203859	44.19
1960	35-39	0.00225	0.01121	2.72	94464	1059	469901	3729834	39.48
