OR: Oregon, Lifetables (period 1x10), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02445	0.02393	0.11	100000	2393	97872	6790332	67.90
1960-1969	1	0.00177	0.00177	0.5	97607	173	97520	6692460	68.57
1960-1969	2	0.00111	0.00111	0.5	97434	108	97380	6594940	67.69
1960-1969	3	0.00082	0.00082	0.5	97326	80	97286	6497560	66.76
1960-1969	4	0.00067	0.00067	0.5	97246	65	97213	6400274	65.82
1960-1969	5	0.00053	0.00053	0.5	97181	52	97155	6303060	64.86
1960-1969	6	0.00056	0.00056	0.5	97129	54	97102	6205905	63.89
1960-1969	7	0.00048	0.00048	0.5	97075	47	97051	6108803	62.93
1960-1969	8	0.00049	0.00049	0.5	97028	47	97004	6011751	61.96
1960-1969	9	0.00042	0.00042	0.5	96981	41	96960	5914747	60.99
1960-1969	10	0.00040	0.00040	0.5	96940	39	96920	5817787	60.01
1960-1969	11	0.00059	0.00059	0.5	96901	57	96872	5720866	59.04
1960-1969	12	0.00058	0.00058	0.5	96844	56	96816	5623994	58.07
1960-1969	13	0.00059	0.00059	0.5	96788	57	96759	5527178	57.11
1960-1969	14	0.00067	0.00067	0.5	96731	65	96698	5430419	56.14
1960-1969	15	0.00103	0.00103	0.5	96666	100	96616	5333720	55.18
1960-1969	16	0.00136	0.00136	0.5	96566	131	96500	5237105	54.23
1960-1969	17	0.00190	0.00190	0.5	96435	183	96343	5140605	53.31
1960-1969	18	0.00219	0.00219	0.5	96252	211	96146	5044261	52.41
1960-1969	19	0.00211	0.00211	0.5	96041	202	95940	4948115	51.52
1960-1969	20	0.00195	0.00195	0.5	95838	187	95745	4852176	50.63
1960-1969	21	0.00230	0.00230	0.5	95651	220	95541	4756431	49.73
1960-1969	22	0.00233	0.00233	0.5	95431	222	95320	4660889	48.84
1960-1969	23	0.00197	0.00197	0.5	95209	188	95115	4565569	47.95
1960-1969	24	0.00183	0.00182	0.5	95021	173	94934	4470454	47.05
1960-1969	25	0.00185	0.00185	0.5	94848	175	94760	4375520	46.13
1960-1969	26	0.00178	0.00178	0.5	94673	168	94588	4280760	45.22
1960-1969	27	0.00184	0.00184	0.5	94504	174	94417	4186171	44.30
1960-1969	28	0.00191	0.00191	0.5	94330	180	94240	4091754	43.38
1960-1969	29	0.00173	0.00173	0.5	94150	162	94069	3997514	42.46
