PA: Pennsylvania, Lifetables (period 1x5), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02079	0.02042	0.11	100000	2042	98185	7292779	72.93
1960-1964	1	0.00119	0.00118	0.5	97958	116	97900	7194594	73.45
1960-1964	2	0.00072	0.00072	0.5	97842	71	97807	7096693	72.53
1960-1964	3	0.00059	0.00059	0.5	97772	58	97743	6998886	71.58
1960-1964	4	0.00046	0.00046	0.5	97714	45	97692	6901143	70.63
1960-1964	5	0.00045	0.00045	0.5	97670	44	97648	6803451	69.66
1960-1964	6	0.00035	0.00035	0.5	97626	35	97609	6705804	68.69
1960-1964	7	0.00031	0.00031	0.5	97591	31	97576	6608195	67.71
1960-1964	8	0.00030	0.00030	0.5	97561	29	97546	6510619	66.73
1960-1964	9	0.00032	0.00032	0.5	97531	32	97516	6413073	65.75
1960-1964	10	0.00027	0.00027	0.5	97500	27	97486	6315557	64.78
1960-1964	11	0.00026	0.00026	0.5	97473	25	97461	6218071	63.79
1960-1964	12	0.00024	0.00024	0.5	97448	23	97436	6120610	62.81
1960-1964	13	0.00026	0.00026	0.5	97425	25	97412	6023174	61.82
1960-1964	14	0.00032	0.00032	0.5	97399	32	97384	5925762	60.84
1960-1964	15	0.00040	0.00040	0.5	97368	39	97349	5828378	59.86
1960-1964	16	0.00042	0.00042	0.5	97329	41	97309	5731030	58.88
1960-1964	17	0.00040	0.00040	0.5	97288	39	97269	5633721	57.91
1960-1964	18	0.00045	0.00045	0.5	97249	43	97227	5536452	56.93
1960-1964	19	0.00046	0.00046	0.5	97206	45	97183	5439225	55.96
1960-1964	20	0.00054	0.00054	0.5	97161	52	97135	5342042	54.98
1960-1964	21	0.00053	0.00053	0.5	97109	52	97083	5244907	54.01
1960-1964	22	0.00057	0.00057	0.5	97057	55	97029	5147824	53.04
1960-1964	23	0.00062	0.00062	0.5	97002	60	96972	5050794	52.07
