PA: Pennsylvania, Lifetables (period 1x1), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02859	0.02789	0.12	100000	2789	97551	6647626	66.48
1959	1	0.00149	0.00149	0.5	97211	144	97139	6550075	67.38
1959	2	0.00115	0.00115	0.5	97067	111	97011	6452936	66.48
1959	3	0.00084	0.00084	0.5	96955	82	96914	6355925	65.56
1959	4	0.00073	0.00073	0.5	96874	70	96838	6259011	64.61
1959	5	0.00071	0.00070	0.5	96803	68	96769	6162173	63.66
1959	6	0.00054	0.00054	0.5	96735	52	96709	6065404	62.70
1959	7	0.00055	0.00055	0.5	96683	53	96656	5968695	61.73
1959	8	0.00057	0.00057	0.5	96629	55	96602	5872039	60.77
1959	9	0.00040	0.00040	0.5	96575	38	96556	5775437	59.80
1959	10	0.00045	0.00045	0.5	96537	43	96515	5678881	58.83
1959	11	0.00047	0.00047	0.5	96493	45	96471	5582366	57.85
1959	12	0.00060	0.00060	0.5	96448	58	96419	5485896	56.88
1959	13	0.00049	0.00049	0.5	96390	48	96367	5389476	55.91
1959	14	0.00056	0.00055	0.5	96343	53	96316	5293110	54.94
1959	15	0.00074	0.00074	0.5	96289	72	96253	5196794	53.97
1959	16	0.00129	0.00129	0.5	96218	124	96155	5100540	53.01
1959	17	0.00113	0.00113	0.5	96093	108	96039	5004385	52.08
1959	18	0.00143	0.00143	0.5	95985	137	95916	4908346	51.14
1959	19	0.00162	0.00162	0.5	95848	155	95770	4812429	50.21
1959	20	0.00139	0.00139	0.5	95692	133	95626	4716659	49.29
1959	21	0.00180	0.00180	0.5	95559	172	95473	4621033	48.36
1959	22	0.00159	0.00159	0.5	95387	151	95311	4525560	47.44
1959	23	0.00155	0.00155	0.5	95235	147	95162	4430249	46.52
1959	24	0.00140	0.00139	0.5	95088	133	95022	4335088	45.59
1959	25	0.00130	0.00130	0.5	94955	124	94894	4240066	44.65
1959	26	0.00135	0.00135	0.5	94832	128	94768	4145172	43.71
1959	27	0.00134	0.00134	0.5	94703	127	94640	4050405	42.77
1959	28	0.00150	0.00150	0.5	94577	142	94506	3955765	41.83
1959	29	0.00156	0.00156	0.5	94435	147	94361	3861259	40.89
1959	30	0.00147	0.00147	0.5	94287	138	94218	3766898	39.95
1959	31	0.00153	0.00153	0.5	94149	144	94077	3672680	39.01
1959	32	0.00193	0.00193	0.5	94005	182	93914	3578603	38.07
1959	33	0.00168	0.00168	0.5	93824	158	93745	3484688	37.14
1959	34	0.00193	0.00192	0.5	93666	180	93576	3390943	36.20
1959	35	0.00237	0.00237	0.5	93486	221	93375	3297367	35.27
1959	36	0.00245	0.00244	0.5	93265	228	93151	3203992	34.35
1959	37	0.00229	0.00229	0.5	93037	213	92930	3110841	33.44
1959	38	0.00287	0.00286	0.5	92824	266	92691	3017911	32.51
1959	39	0.00325	0.00324	0.5	92558	300	92408	2925220	31.60
1959	40	0.00352	0.00352	0.5	92258	325	92096	2832812	30.71
1959	41	0.00366	0.00366	0.5	91933	336	91765	2740716	29.81
1959	42	0.00447	0.00446	0.5	91597	408	91393	2648951	28.92
1959	43	0.00495	0.00493	0.5	91189	450	90964	2557558	28.05
1959	44	0.00547	0.00545	0.5	90739	495	90492	2466594	27.18
1959	45	0.00609	0.00607	0.5	90244	548	89970	2376103	26.33
1959	46	0.00732	0.00730	0.5	89696	654	89369	2286132	25.49
1959	47	0.00765	0.00762	0.5	89042	678	88703	2196763	24.67
1959	48	0.00854	0.00850	0.5	88364	751	87988	2108060	23.86
1959	49	0.00947	0.00942	0.5	87613	825	87200	2020072	23.06
1959	50	0.01159	0.01152	0.5	86787	1000	86287	1932872	22.27
1959	51	0.01173	0.01166	0.5	85787	1000	85287	1846585	21.53
1959	52	0.01369	0.01359	0.5	84787	1152	84210	1761298	20.77
1959	53	0.01526	0.01515	0.5	83634	1267	83001	1677088	20.05
1959	54	0.01567	0.01555	0.5	82367	1281	81727	1594087	19.35
1959	55	0.01670	0.01656	0.5	81087	1343	80415	1512360	18.65
1959	56	0.01762	0.01747	0.5	79744	1393	79047	1431945	17.96
1959	57	0.01931	0.01912	0.5	78351	1498	77602	1352898	17.27
1959	58	0.02241	0.02216	0.5	76853	1703	76001	1275296	16.59
1959	59	0.02369	0.02342	0.5	75149	1760	74269	1199295	15.96
1959	60	0.02541	0.02509	0.5	73389	1841	72469	1125026	15.33
1959	61	0.02741	0.02704	0.5	71548	1935	70581	1052557	14.71
1959	62	0.02990	0.02946	0.5	69613	2051	68588	981976	14.11
1959	63	0.03197	0.03147	0.5	67563	2126	66500	913388	13.52
1959	64	0.03397	0.03340	0.5	65437	2186	64344	846888	12.94
1959	65	0.03792	0.03722	0.5	63251	2354	62074	782545	12.37
1959	66	0.03966	0.03889	0.5	60897	2368	59713	720471	11.83
1959	67	0.04726	0.04617	0.5	58529	2702	57178	660758	11.29
1959	68	0.04871	0.04756	0.5	55827	2655	54499	603580	10.81
1959	69	0.05129	0.05001	0.5	53172	2659	51842	549081	10.33
1959	70	0.05477	0.05331	0.5	50513	2693	49166	497239	9.84
1959	71	0.05785	0.05623	0.5	47820	2689	46476	448072	9.37
1959	72	0.06364	0.06168	0.5	45131	2784	43739	401597	8.90
1959	73	0.07127	0.06882	0.5	42348	2914	40890	357857	8.45
1959	74	0.07423	0.07158	0.5	39433	2823	38022	316967	8.04
1959	75	0.08196	0.07873	0.5	36611	2882	35170	278945	7.62
1959	76	0.08743	0.08377	0.5	33728	2825	32316	243776	7.23
1959	77	0.09296	0.08883	0.5	30903	2745	29530	211460	6.84
1959	78	0.10231	0.09733	0.5	28158	2741	26788	181929	6.46
1959	79	0.11000	0.10426	0.5	25417	2650	24092	155142	6.10
1959	80	0.12396	0.11672	0.5	22767	2657	21438	131050	5.76
1959	81	0.12852	0.12076	0.5	20110	2428	18895	109611	5.45
1959	82	0.14020	0.13102	0.5	17681	2317	16523	90716	5.13
1959	83	0.15459	0.14350	0.5	15365	2205	14262	74193	4.83
1959	84	0.16982	0.15653	0.5	13160	2060	12130	59930	4.55
1959	85	0.17760	0.16312	0.5	11100	1811	10195	47801	4.31
1959	86	0.19607	0.17856	0.5	9289	1659	8460	37606	4.05
1959	87	0.21530	0.19438	0.5	7631	1483	6889	29146	3.82
1959	88	0.22276	0.20043	0.5	6147	1232	5531	22257	3.62
1959	89	0.24017	0.21442	0.5	4915	1054	4388	16725	3.40
1959	90	0.27784	0.24395	0.5	3861	942	3390	12337	3.19
1959	91	0.24587	0.21895	0.5	2919	639	2600	8947	3.06
1959	92	0.31152	0.26954	0.5	2280	615	1973	6347	2.78
1959	93	0.35806	0.30369	0.5	1666	506	1413	4374	2.63
1959	94	0.36896	0.31150	0.5	1160	361	979	2961	2.55
1959	95	0.36303	0.30726	0.5	798	245	676	1982	2.48
1959	96	0.38522	0.32301	0.5	553	179	464	1306	2.36
1959	97	0.40790	0.33880	0.5	374	127	311	843	2.25
1959	98	0.43097	0.35457	0.5	248	88	204	532	2.15
1959	99	0.45435	0.37024	0.5	160	59	130	328	2.05
1959	100	0.47794	0.38576	0.5	101	39	81	198	1.96
1959	101	0.50162	0.40104	0.5	62	25	49	116	1.88
1959	102	0.52530	0.41603	0.5	37	15	29	67	1.81
1959	103	0.54886	0.43067	0.5	22	9	17	38	1.74
1959	104	0.57220	0.44491	0.5	12	5	10	21	1.68
1959	105	0.59523	0.45871	0.5	7	3	5	11	1.62
1959	106	0.61785	0.47203	0.5	4	2	3	6	1.57
1959	107	0.63997	0.48483	0.5	2	1	1	3	1.52
1959	108	0.66150	0.49709	0.5	1	1	1	1	1.48
1959	109	0.68239	0.50879	0.5	1	0	0	1	1.44
