PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
RI,b,1959,0,0.02431,0.02380,0.12,100000,2380,97895,7048439,70.48
RI,b,1959,1,0.00116,0.00116,0.5,97620,113,97563,6950544,71.20
RI,b,1959,2,0.00085,0.00085,0.5,97507,83,97465,6852981,70.28
RI,b,1959,3,0.00080,0.00080,0.5,97424,78,97385,6755515,69.34
RI,b,1959,4,0.00035,0.00035,0.5,97346,34,97329,6658130,68.40
RI,b,1959,5,0.00060,0.00060,0.5,97312,58,97283,6560801,67.42
RI,b,1959,6,0.00019,0.00019,0.5,97254,18,97245,6463518,66.46
RI,b,1959,7,0.00019,0.00019,0.5,97236,19,97227,6366273,65.47
RI,b,1959,8,0.00060,0.00060,0.5,97217,58,97188,6269046,64.48
RI,b,1959,9,0.00047,0.00047,0.5,97159,45,97137,6171858,63.52
RI,b,1959,10,0.00039,0.00039,0.5,97114,38,97095,6074722,62.55
RI,b,1959,11,0.00032,0.00032,0.5,97076,31,97060,5977627,61.58
RI,b,1959,12,0.00039,0.00039,0.5,97045,38,97026,5880566,60.60
RI,b,1959,13,0.00030,0.00030,0.5,97007,29,96992,5783541,59.62
RI,b,1959,14,0.00034,0.00033,0.5,96978,32,96961,5686548,58.64
RI,b,1959,15,0.00033,0.00033,0.5,96945,32,96929,5589587,57.66
RI,b,1959,16,0.00055,0.00055,0.5,96914,53,96887,5492658,56.68
RI,b,1959,17,0.00054,0.00054,0.5,96861,53,96834,5395770,55.71
RI,b,1959,18,0.00101,0.00101,0.5,96808,98,96759,5298936,54.74
RI,b,1959,19,0.00079,0.00079,0.5,96710,76,96672,5202177,53.79
RI,b,1959,20,0.00067,0.00067,0.5,96633,65,96601,5105506,52.83
RI,b,1959,21,0.00073,0.00073,0.5,96568,71,96533,5008905,51.87
RI,b,1959,22,0.00089,0.00089,0.5,96497,86,96454,4912372,50.91
RI,b,1959,23,0.00093,0.00093,0.5,96411,90,96366,4815918,49.95
RI,b,1959,24,0.00107,0.00107,0.5,96321,103,96270,4719551,49.00
RI,b,1959,25,0.00110,0.00110,0.5,96218,106,96165,4623281,48.05
RI,b,1959,26,0.00064,0.00064,0.5,96113,62,96082,4527116,47.10
RI,b,1959,27,0.00084,0.00084,0.5,96051,81,96010,4431034,46.13
RI,b,1959,28,0.00060,0.00060,0.5,95970,58,95941,4335024,45.17
RI,b,1959,29,0.00094,0.00094,0.5,95912,90,95867,4239083,44.20
RI,b,1959,30,0.00072,0.00072,0.5,95822,69,95787,4143216,43.24
RI,b,1959,31,0.00069,0.00069,0.5,95753,66,95719,4047429,42.27
RI,b,1959,32,0.00102,0.00102,0.5,95686,97,95638,3951709,41.30
RI,b,1959,33,0.00116,0.00116,0.5,95589,111,95533,3856072,40.34
RI,b,1959,34,0.00114,0.00114,0.5,95478,108,95423,3760539,39.39
RI,b,1959,35,0.00144,0.00144,0.5,95369,137,95301,3665115,38.43
RI,b,1959,36,0.00129,0.00128,0.5,95232,122,95171,3569814,37.49
RI,b,1959,37,0.00217,0.00217,0.5,95110,206,95007,3474643,36.53
RI,b,1959,38,0.00177,0.00177,0.5,94904,168,94820,3379637,35.61
RI,b,1959,39,0.00322,0.00321,0.5,94736,304,94584,3284817,34.67
RI,b,1959,40,0.00194,0.00194,0.5,94431,183,94340,3190233,33.78
RI,b,1959,41,0.00282,0.00282,0.5,94248,266,94115,3095894,32.85
RI,b,1959,42,0.00380,0.00379,0.5,93982,356,93804,3001779,31.94
RI,b,1959,43,0.00224,0.00223,0.5,93626,209,93521,2907975,31.06
RI,b,1959,44,0.00380,0.00379,0.5,93417,354,93239,2814453,30.13
RI,b,1959,45,0.00410,0.00410,0.5,93062,381,92872,2721214,29.24
RI,b,1959,46,0.00523,0.00521,0.5,92681,483,92440,2628342,28.36
RI,b,1959,47,0.00541,0.00540,0.5,92198,498,91949,2535902,27.50
RI,b,1959,48,0.00592,0.00591,0.5,91700,542,91429,2443953,26.65
RI,b,1959,49,0.00745,0.00743,0.5,91158,677,90820,2352524,25.81
RI,b,1959,50,0.00729,0.00726,0.5,90481,657,90153,2261704,25.00
RI,b,1959,51,0.00831,0.00828,0.5,89825,744,89453,2171551,24.18
RI,b,1959,52,0.00918,0.00914,0.5,89081,814,88674,2082098,23.37
RI,b,1959,53,0.00966,0.00961,0.5,88267,848,87843,1993425,22.58
RI,b,1959,54,0.01017,0.01012,0.5,87419,884,86976,1905582,21.80
RI,b,1959,55,0.01274,0.01266,0.5,86534,1096,85986,1818606,21.02
RI,b,1959,56,0.01370,0.01361,0.5,85439,1163,84857,1732619,20.28
RI,b,1959,57,0.01374,0.01365,0.5,84276,1150,83701,1647762,19.55
RI,b,1959,58,0.01398,0.01388,0.5,83126,1154,82549,1564061,18.82
RI,b,1959,59,0.01529,0.01517,0.5,81972,1244,81350,1481513,18.07
RI,b,1959,60,0.01971,0.01952,0.5,80728,1575,79940,1400163,17.34
RI,b,1959,61,0.01957,0.01938,0.5,79153,1534,78385,1320222,16.68
RI,b,1959,62,0.02090,0.02068,0.5,77618,1605,76816,1241837,16.00
RI,b,1959,63,0.02579,0.02546,0.5,76013,1936,75045,1165021,15.33
RI,b,1959,64,0.02487,0.02457,0.5,74077,1820,73167,1089976,14.71
RI,b,1959,65,0.02887,0.02846,0.5,72257,2057,71229,1016809,14.07
RI,b,1959,66,0.02995,0.02951,0.5,70201,2071,69165,945579,13.47
RI,b,1959,67,0.03258,0.03206,0.5,68130,2184,67037,876414,12.86
RI,b,1959,68,0.03659,0.03593,0.5,65945,2370,64761,809377,12.27
RI,b,1959,69,0.04077,0.03996,0.5,63576,2540,62306,744616,11.71
RI,b,1959,70,0.03983,0.03906,0.5,61035,2384,59843,682311,11.18
RI,b,1959,71,0.04985,0.04864,0.5,58652,2853,57225,622467,10.61
RI,b,1959,72,0.04605,0.04501,0.5,55799,2511,54543,565242,10.13
RI,b,1959,73,0.05325,0.05187,0.5,53287,2764,51906,510699,9.58
RI,b,1959,74,0.05745,0.05585,0.5,50524,2822,49113,458793,9.08
RI,b,1959,75,0.06633,0.06420,0.5,47702,3062,46171,409680,8.59
RI,b,1959,76,0.07029,0.06790,0.5,44640,3031,43124,363510,8.14
RI,b,1959,77,0.07170,0.06922,0.5,41608,2880,40168,320386,7.70
RI,b,1959,78,0.09702,0.09253,0.5,38728,3584,36937,280217,7.24
RI,b,1959,79,0.09893,0.09427,0.5,35145,3313,33488,243281,6.92
RI,b,1959,80,0.10135,0.09646,0.5,31832,3070,30296,209792,6.59
RI,b,1959,81,0.10261,0.09760,0.5,28761,2807,27358,179496,6.24
RI,b,1959,82,0.11274,0.10672,0.5,25954,2770,24569,152138,5.86
RI,b,1959,83,0.12377,0.11656,0.5,23184,2702,21833,127569,5.50
RI,b,1959,84,0.13577,0.12714,0.5,20482,2604,19180,105736,5.16
RI,b,1959,85,0.14877,0.13847,0.5,17878,2476,16640,86557,4.84
RI,b,1959,86,0.16284,0.15058,0.5,15402,2319,14243,69917,4.54
RI,b,1959,87,0.17803,0.16347,0.5,13083,2139,12014,55674,4.26
RI,b,1959,88,0.19435,0.17714,0.5,10944,1939,9975,43661,3.99
RI,b,1959,89,0.21185,0.19156,0.5,9006,1725,8143,33686,3.74
RI,b,1959,90,0.23054,0.20672,0.5,7280,1505,6528,25543,3.51
RI,b,1959,91,0.25043,0.22256,0.5,5775,1285,5133,19015,3.29
RI,b,1959,92,0.27148,0.23904,0.5,4490,1073,3953,13882,3.09
RI,b,1959,93,0.29369,0.25608,0.5,3417,875,2979,9929,2.91
RI,b,1959,94,0.31698,0.27362,0.5,2542,695,2194,6949,2.73
RI,b,1959,95,0.34130,0.29155,0.5,1846,538,1577,4755,2.58
RI,b,1959,96,0.36655,0.30977,0.5,1308,405,1105,3178,2.43
RI,b,1959,97,0.39261,0.32818,0.5,903,296,755,2073,2.30
RI,b,1959,98,0.41935,0.34667,0.5,607,210,501,1318,2.17
RI,b,1959,99,0.44663,0.36510,0.5,396,145,324,817,2.06
RI,b,1959,100,0.47429,0.38337,0.5,252,96,203,493,1.96
RI,b,1959,101,0.50215,0.40137,0.5,155,62,124,289,1.86
RI,b,1959,102,0.53003,0.41899,0.5,93,39,73,165,1.78
RI,b,1959,103,0.55777,0.43614,0.5,54,24,42,92,1.70
RI,b,1959,104,0.58518,0.45272,0.5,30,14,24,50,1.63
RI,b,1959,105,0.61210,0.46867,0.5,17,8,13,26,1.57
RI,b,1959,106,0.63838,0.48392,0.5,9,4,7,13,1.51
RI,b,1959,107,0.66388,0.49843,0.5,5,2,3,7,1.46
RI,b,1959,108,0.68848,0.51217,0.5,2,1,2,3,1.42
RI,b,1959,109,0.71208,0.52512,0.5,1,1,1,2,1.38
RI,b,1959,110+,0.73460,1.00000,1.36,1,1,1,1,1.36
RI,b,1960,0,0.02345,0.02297,0.11,100000,2297,97963,7057553,70.58
RI,b,1960,1,0.00142,0.00142,0.5,97703,138,97633,6959590,71.23
RI,b,1960,2,0.00094,0.00094,0.5,97564,92,97518,6861957,70.33
RI,b,1960,3,0.00096,0.00096,0.5,97473,94,97426,6764439,69.40
RI,b,1960,4,0.00098,0.00097,0.5,97379,95,97331,6667013,68.46
RI,b,1960,5,0.00035,0.00035,0.5,97284,34,97267,6569682,67.53
RI,b,1960,6,0.00030,0.00030,0.5,97250,29,97235,6472415,66.55
RI,b,1960,7,0.00031,0.00031,0.5,97221,30,97206,6375179,65.57
RI,b,1960,8,0.00032,0.00032,0.5,97191,31,97175,6277974,64.59
RI,b,1960,9,0.00033,0.00033,0.5,97160,32,97144,6180798,63.61
RI,b,1960,10,0.00007,0.00007,0.5,97128,6,97125,6083654,62.64
RI,b,1960,11,0.00039,0.00039,0.5,97121,38,97103,5986530,61.64
RI,b,1960,12,0.00019,0.00019,0.5,97084,18,97075,5889427,60.66
RI,b,1960,13,0.00059,0.00059,0.5,97065,57,97037,5792352,59.67
RI,b,1960,14,0.00037,0.00037,0.5,97009,36,96990,5695315,58.71
RI,b,1960,15,0.00033,0.00033,0.5,96972,32,96956,5598325,57.73
RI,b,1960,16,0.00073,0.00073,0.5,96940,71,96904,5501369,56.75
RI,b,1960,17,0.00055,0.00055,0.5,96869,53,96843,5404464,55.79
