PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
RI,f,1960-1964,0,0.02146,0.02106,0.11,100000,2106,98132,7383894,73.84
RI,f,1960-1964,1,0.00118,0.00118,0.5,97894,115,97836,7285762,74.43
RI,f,1960-1964,2,0.00061,0.00061,0.5,97779,60,97749,7187926,73.51
RI,f,1960-1964,3,0.00061,0.00061,0.5,97719,60,97689,7090177,72.56
RI,f,1960-1964,4,0.00057,0.00057,0.5,97659,56,97631,6992489,71.60
RI,f,1960-1964,5,0.00023,0.00023,0.5,97603,22,97592,6894858,70.64
RI,f,1960-1964,6,0.00028,0.00028,0.5,97581,27,97567,6797266,69.66
RI,f,1960-1964,7,0.00031,0.00031,0.5,97554,30,97538,6699699,68.68
RI,f,1960-1964,8,0.00041,0.00041,0.5,97523,40,97503,6602160,67.70
RI,f,1960-1964,9,0.00015,0.00015,0.5,97483,15,97476,6504657,66.73
RI,f,1960-1964,10,0.00021,0.00021,0.5,97468,20,97458,6407181,65.74
RI,f,1960-1964,11,0.00023,0.00023,0.5,97448,23,97437,6309723,64.75
RI,f,1960-1964,12,0.00031,0.00031,0.5,97425,30,97410,6212286,63.76
RI,f,1960-1964,13,0.00021,0.00021,0.5,97395,20,97385,6114876,62.78
RI,f,1960-1964,14,0.00029,0.00029,0.5,97374,29,97360,6017492,61.80
RI,f,1960-1964,15,0.00020,0.00020,0.5,97346,19,97336,5920131,60.82
RI,f,1960-1964,16,0.00029,0.00029,0.5,97327,29,97313,5822795,59.83
RI,f,1960-1964,17,0.00037,0.00037,0.5,97298,36,97280,5725482,58.84
RI,f,1960-1964,18,0.00042,0.00042,0.5,97262,41,97242,5628202,57.87
RI,f,1960-1964,19,0.00037,0.00037,0.5,97222,36,97204,5530960,56.89
RI,f,1960-1964,20,0.00038,0.00038,0.5,97186,37,97168,5433756,55.91
RI,f,1960-1964,21,0.00032,0.00032,0.5,97149,31,97134,5336588,54.93
RI,f,1960-1964,22,0.00034,0.00034,0.5,97118,33,97102,5239454,53.95
RI,f,1960-1964,23,0.00055,0.00055,0.5,97086,54,97059,5142353,52.97
RI,f,1960-1964,24,0.00049,0.00049,0.5,97032,48,97008,5045294,52.00
RI,f,1960-1964,25,0.00055,0.00055,0.5,96984,53,96957,4948286,51.02
RI,f,1960-1964,26,0.00056,0.00056,0.5,96931,54,96903,4851329,50.05
RI,f,1960-1964,27,0.00078,0.00078,0.5,96876,76,96838,4754426,49.08
RI,f,1960-1964,28,0.00086,0.00086,0.5,96800,83,96759,4657587,48.12
RI,f,1960-1964,29,0.00084,0.00084,0.5,96717,81,96676,4560829,47.16
RI,f,1960-1964,30,0.00081,0.00081,0.5,96636,78,96597,4464152,46.20
RI,f,1960-1964,31,0.00070,0.00070,0.5,96557,67,96524,4367556,45.23
RI,f,1960-1964,32,0.00078,0.00078,0.5,96490,75,96453,4271032,44.26
RI,f,1960-1964,33,0.00100,0.00100,0.5,96415,96,96367,4174579,43.30
RI,f,1960-1964,34,0.00086,0.00086,0.5,96319,83,96278,4078212,42.34
RI,f,1960-1964,35,0.00120,0.00120,0.5,96237,116,96179,3981934,41.38
RI,f,1960-1964,36,0.00144,0.00144,0.5,96121,138,96052,3885755,40.43
RI,f,1960-1964,37,0.00151,0.00151,0.5,95983,145,95910,3789703,39.48
RI,f,1960-1964,38,0.00207,0.00207,0.5,95837,198,95738,3693793,38.54
RI,f,1960-1964,39,0.00168,0.00167,0.5,95639,160,95559,3598055,37.62
RI,f,1960-1964,40,0.00165,0.00165,0.5,95479,157,95400,3502495,36.68
RI,f,1960-1964,41,0.00141,0.00140,0.5,95322,134,95255,3407095,35.74
RI,f,1960-1964,42,0.00254,0.00254,0.5,95188,241,95067,3311840,34.79
RI,f,1960-1964,43,0.00209,0.00209,0.5,94947,198,94848,3216773,33.88
