RI: Rhode Island, Lifetables (period 1x5), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02722	0.02658	0.12	100000	2658	97655	6778620	67.79
1960-1964	1	0.00122	0.00122	0.5	97342	119	97282	6680965	68.63
1960-1964	2	0.00116	0.00115	0.5	97223	112	97166	6583683	67.72
1960-1964	3	0.00059	0.00059	0.5	97110	57	97082	6486516	66.80
1960-1964	4	0.00053	0.00053	0.5	97053	51	97027	6389435	65.83
1960-1964	5	0.00056	0.00056	0.5	97002	54	96975	6292407	64.87
1960-1964	6	0.00066	0.00066	0.5	96948	64	96916	6195433	63.90
1960-1964	7	0.00049	0.00049	0.5	96884	47	96860	6098517	62.95
1960-1964	8	0.00050	0.00050	0.5	96837	48	96813	6001657	61.98
1960-1964	9	0.00046	0.00046	0.5	96789	44	96766	5904844	61.01
1960-1964	10	0.00042	0.00042	0.5	96744	40	96724	5808078	60.04
1960-1964	11	0.00042	0.00042	0.5	96704	40	96684	5711354	59.06
1960-1964	12	0.00024	0.00024	0.5	96663	23	96652	5614670	58.08
1960-1964	13	0.00045	0.00045	0.5	96640	44	96618	5518019	57.10
1960-1964	14	0.00053	0.00053	0.5	96597	51	96571	5421400	56.12
1960-1964	15	0.00059	0.00059	0.5	96545	57	96517	5324829	55.15
1960-1964	16	0.00062	0.00062	0.5	96489	60	96459	5228312	54.19
1960-1964	17	0.00090	0.00090	0.5	96428	87	96385	5131854	53.22
1960-1964	18	0.00076	0.00076	0.5	96342	73	96305	5035469	52.27
1960-1964	19	0.00122	0.00121	0.5	96268	117	96210	4939164	51.31
1960-1964	20	0.00083	0.00083	0.5	96152	80	96112	4842954	50.37
1960-1964	21	0.00098	0.00098	0.5	96072	94	96025	4746842	49.41
1960-1964	22	0.00077	0.00077	0.5	95977	74	95940	4650817	48.46
1960-1964	23	0.00072	0.00072	0.5	95903	69	95869	4554877	47.49
1960-1964	24	0.00091	0.00091	0.5	95834	87	95790	4459008	46.53
1960-1964	25	0.00106	0.00106	0.5	95747	101	95696	4363218	45.57
1960-1964	26	0.00092	0.00092	0.5	95645	88	95601	4267522	44.62
1960-1964	27	0.00113	0.00113	0.5	95557	108	95503	4171921	43.66
1960-1964	28	0.00077	0.00077	0.5	95449	73	95413	4076418	42.71
1960-1964	29	0.00120	0.00120	0.5	95376	114	95319	3981006	41.74
1960-1964	30	0.00113	0.00113	0.5	95262	108	95208	3885687	40.79
1960-1964	31	0.00154	0.00154	0.5	95154	147	95081	3790479	39.84
1960-1964	32	0.00137	0.00137	0.5	95008	130	94943	3695398	38.90
1960-1964	33	0.00105	0.00105	0.5	94878	99	94828	3600455	37.95
1960-1964	34	0.00119	0.00119	0.5	94779	113	94722	3505627	36.99
1960-1964	35	0.00129	0.00129	0.5	94666	122	94605	3410904	36.03
1960-1964	36	0.00150	0.00150	0.5	94544	142	94473	3316300	35.08
1960-1964	37	0.00195	0.00195	0.5	94402	184	94310	3221827	34.13
1960-1964	38	0.00251	0.00250	0.5	94218	236	94100	3127517	33.19
1960-1964	39	0.00266	0.00266	0.5	93982	250	93857	3033417	32.28
1960-1964	40	0.00328	0.00328	0.5	93733	307	93579	2939559	31.36
1960-1964	41	0.00279	0.00278	0.5	93426	260	93295	2845980	30.46
1960-1964	42	0.00311	0.00311	0.5	93165	290	93021	2752685	29.55
1960-1964	43	0.00421	0.00420	0.5	92876	390	92681	2659664	28.64
1960-1964	44	0.00455	0.00454	0.5	92486	420	92276	2566983	27.76
1960-1964	45	0.00508	0.00507	0.5	92066	466	91833	2474707	26.88
1960-1964	46	0.00594	0.00593	0.5	91600	543	91328	2382874	26.01
1960-1964	47	0.00707	0.00704	0.5	91057	641	90736	2291546	25.17
1960-1964	48	0.00627	0.00625	0.5	90416	565	90133	2200810	24.34
1960-1964	49	0.00792	0.00789	0.5	89850	709	89496	2110677	23.49
1960-1964	50	0.00901	0.00897	0.5	89142	799	88742	2021181	22.67
1960-1964	51	0.00981	0.00976	0.5	88342	862	87911	1932439	21.87
1960-1964	52	0.01218	0.01211	0.5	87480	1059	86950	1844528	21.09
1960-1964	53	0.01302	0.01294	0.5	86421	1118	85862	1757577	20.34
1960-1964	54	0.01439	0.01429	0.5	85303	1219	84693	1671716	19.60
1960-1964	55	0.01521	0.01509	0.5	84084	1269	83450	1587022	18.87
1960-1964	56	0.01712	0.01697	0.5	82815	1406	82112	1503573	18.16
1960-1964	57	0.01911	0.01893	0.5	81409	1541	80639	1421460	17.46
1960-1964	58	0.02045	0.02024	0.5	79868	1617	79060	1340822	16.79
1960-1964	59	0.02334	0.02307	0.5	78251	1805	77349	1261762	16.12
1960-1964	60	0.02413	0.02385	0.5	76446	1823	75535	1184413	15.49
1960-1964	61	0.02443	0.02413	0.5	74623	1801	73723	1108878	14.86
1960-1964	62	0.02999	0.02954	0.5	72822	2152	71747	1035155	14.21
1960-1964	63	0.03250	0.03198	0.5	70671	2260	69541	963408	13.63
1960-1964	64	0.03466	0.03407	0.5	68411	2331	67245	893867	13.07
1960-1964	65	0.03817	0.03745	0.5	66080	2475	64843	826622	12.51
1960-1964	66	0.04265	0.04176	0.5	63605	2656	62277	761779	11.98
1960-1964	67	0.04627	0.04522	0.5	60949	2756	59571	699502	11.48
1960-1964	68	0.04559	0.04458	0.5	58193	2594	56896	639931	11.00
1960-1964	69	0.04754	0.04644	0.5	55599	2582	54308	583035	10.49
1960-1964	70	0.05477	0.05331	0.5	53017	2827	51604	528727	9.97
1960-1964	71	0.06246	0.06057	0.5	50191	3040	48671	477123	9.51
1960-1964	72	0.06851	0.06624	0.5	47151	3123	45589	428453	9.09
1960-1964	73	0.06918	0.06687	0.5	44027	2944	42555	382864	8.70
1960-1964	74	0.07086	0.06844	0.5	41083	2812	39678	340308	8.28
1960-1964	75	0.07881	0.07582	0.5	38272	2902	36821	300631	7.86
1960-1964	76	0.08449	0.08106	0.5	35370	2867	33936	263810	7.46
1960-1964	77	0.08708	0.08345	0.5	32503	2712	31147	229874	7.07
1960-1964	78	0.09226	0.08819	0.5	29790	2627	28477	198727	6.67
1960-1964	79	0.10659	0.10119	0.5	27163	2749	25789	170250	6.27
1960-1964	80	0.11171	0.10580	0.5	24414	2583	23123	144461	5.92
1960-1964	81	0.12733	0.11971	0.5	21831	2613	20525	121338	5.56
1960-1964	82	0.13821	0.12928	0.5	19218	2484	17976	100814	5.25
1960-1964	83	0.14987	0.13942	0.5	16734	2333	15567	82838	4.95
1960-1964	84	0.16232	0.15014	0.5	14401	2162	13320	67271	4.67
1960-1964	85	0.17560	0.16142	0.5	12239	1976	11251	53951	4.41
1960-1964	86	0.18971	0.17328	0.5	10263	1778	9374	42700	4.16
1960-1964	87	0.20468	0.18568	0.5	8485	1575	7697	33326	3.93
1960-1964	88	0.22051	0.19861	0.5	6909	1372	6223	25629	3.71
1960-1964	89	0.23719	0.21205	0.5	5537	1174	4950	19406	3.50
1960-1964	90	0.25473	0.22595	0.5	4363	986	3870	14456	3.31
1960-1964	91	0.27310	0.24029	0.5	3377	811	2971	10586	3.13
1960-1964	92	0.29227	0.25501	0.5	2566	654	2239	7615	2.97
1960-1964	93	0.31221	0.27006	0.5	1911	516	1653	5376	2.81
1960-1964	94	0.33288	0.28538	0.5	1395	398	1196	3723	2.67
1960-1964	95	0.35420	0.30091	0.5	997	300	847	2527	2.53
1960-1964	96	0.37612	0.31659	0.5	697	221	587	1680	2.41
1960-1964	97	0.39856	0.33234	0.5	476	158	397	1093	2.29
1960-1964	98	0.42144	0.34809	0.5	318	111	263	696	2.19
1960-1964	99	0.44466	0.36378	0.5	207	75	170	433	2.09
1960-1964	100	0.46812	0.37933	0.5	132	50	107	264	2.00
1960-1964	101	0.49172	0.39469	0.5	82	32	66	157	1.92
1960-1964	102	0.51536	0.40977	0.5	50	20	39	91	1.84
1960-1964	103	0.53894	0.42454	0.5	29	12	23	52	1.77
1960-1964	104	0.56234	0.43892	0.5	17	7	13	29	1.70
1960-1964	105	0.58546	0.45289	0.5	9	4	7	16	1.64
1960-1964	106	0.60821	0.46638	0.5	5	2	4	8	1.59
1960-1964	107	0.63051	0.47938	0.5	3	1	2	4	1.54
1960-1964	108	0.65226	0.49185	0.5	1	1	1	2	1.50
1960-1964	109	0.67339	0.50377	0.5	1	0	1	1	1.46
1960-1964	110+	0.69384	1.00000	1.44	0	0	1	1	1.44
1965-1969	0	0.02423	0.02372	0.11	100000	2372	97889	6781767	67.82
1965-1969	1	0.00077	0.00077	0.5	97628	75	97591	6683878	68.46
1965-1969	2	0.00082	0.00082	0.5	97553	80	97513	6586287	67.51
1965-1969	3	0.00062	0.00062	0.5	97473	60	97443	6488774	66.57
1965-1969	4	0.00045	0.00045	0.5	97413	44	97391	6391331	65.61
1965-1969	5	0.00054	0.00054	0.5	97369	52	97342	6293940	64.64
1965-1969	6	0.00038	0.00038	0.5	97316	37	97298	6196598	63.67
1965-1969	7	0.00051	0.00051	0.5	97279	50	97255	6099300	62.70
1965-1969	8	0.00040	0.00040	0.5	97230	39	97210	6002045	61.73
1965-1969	9	0.00045	0.00044	0.5	97191	43	97169	5904835	60.75
1965-1969	10	0.00025	0.00025	0.5	97148	24	97136	5807665	59.78
