PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
RI,m,1960-1964,0,0.02722,0.02658,0.12,100000,2658,97655,6778620,67.79
RI,m,1960-1964,1-4,0.00088,0.00349,1.62,97342,340,388558,6680965,68.63
RI,m,1960-1964,5-9,0.00053,0.00265,2.36,97002,258,484329,6292407,64.87
RI,m,1960-1964,10-14,0.00041,0.00206,2.63,96744,199,483249,5808078,60.04
RI,m,1960-1964,15-19,0.00082,0.00408,2.84,96545,394,481876,5324829,55.15
RI,m,1960-1964,20-24,0.00084,0.00421,2.48,96152,405,479735,4842954,50.37
RI,m,1960-1964,25-29,0.00101,0.00506,2.52,95747,485,477532,4363218,45.57
RI,m,1960-1964,30-34,0.00126,0.00626,2.44,95262,596,474782,3885687,40.79
RI,m,1960-1964,35-39,0.00198,0.00986,2.87,94666,933,471345,3410904,36.03
RI,m,1960-1964,40-44,0.00359,0.01778,2.71,93733,1667,464852,2939559,31.36
RI,m,1960-1964,45-49,0.00645,0.03176,2.67,92066,2924,453526,2474707,26.88
RI,m,1960-1964,50-54,0.01165,0.05674,2.72,89142,5058,434159,2021181,22.67
RI,m,1960-1964,55-59,0.01897,0.09084,2.67,84084,7638,402609,1587022,18.87
RI,m,1960-1964,60-64,0.02897,0.13560,2.64,76446,10366,357791,1184413,15.49
RI,m,1960-1964,65-69,0.04385,0.19768,2.51,66080,13063,297895,826622,12.51
RI,m,1960-1964,70-74,0.06465,0.27813,2.49,53017,14745,228096,528727,9.97
RI,m,1960-1964,75-79,0.08873,0.36208,2.46,38272,13857,156169,300631,7.86
RI,m,1960-1964,80-84,0.13452,0.49872,2.41,24414,12176,90510,144461,5.92
RI,m,1960-1964,85-89,0.19941,0.64351,2.24,12239,7876,39495,53951,4.41
RI,m,1960-1964,90-94,0.28215,0.77147,2.06,4363,3366,11929,14456,3.31
RI,m,1960-1964,95-99,0.38225,0.86770,1.85,997,865,2263,2527,2.53
RI,m,1960-1964,100-104,0.49343,0.92840,1.64,132,122,248,264,2.00
RI,m,1960-1964,105-109,0.60580,0.96167,1.45,9,9,15,16,1.64
RI,m,1960-1964,110+,0.69384,1.00000,1.44,0,0,1,1,1.44
RI,m,1965-1969,0,0.02423,0.02372,0.11,100000,2372,97889,6781767,67.82
RI,m,1965-1969,1-4,0.00067,0.00266,1.78,97628,260,389938,6683878,68.46
RI,m,1965-1969,5-9,0.00045,0.00227,2.43,97369,221,486275,6293940,64.64
RI,m,1965-1969,10-14,0.00041,0.00206,2.98,97148,200,485335,5807665,59.78
RI,m,1965-1969,15-19,0.00084,0.00421,2.77,96948,408,483830,5322330,54.90
RI,m,1965-1969,20-24,0.00124,0.00620,2.43,96540,599,481162,4838500,50.12
RI,m,1965-1969,25-29,0.00117,0.00581,2.48,95941,557,478304,4357338,45.42
RI,m,1965-1969,30-34,0.00143,0.00714,2.52,95384,682,475233,3879033,40.67
RI,m,1965-1969,35-39,0.00243,0.01207,2.64,94702,1143,470816,3403801,35.94
RI,m,1965-1969,40-44,0.00382,0.01892,2.73,93559,1770,463785,2932985,31.35
RI,m,1965-1969,45-49,0.00644,0.03175,2.71,91789,2914,452281,2469200,26.90
RI,m,1965-1969,50-54,0.01098,0.05357,2.7,88875,4761,433399,2016919,22.69
RI,m,1965-1969,55-59,0.01847,0.08856,2.69,84114,7449,403380,1583520,18.83
RI,m,1965-1969,60-64,0.03016,0.14072,2.63,76665,10788,357750,1180140,15.39
RI,m,1965-1969,65-69,0.04415,0.19951,2.59,65876,13143,297721,822390,12.48
RI,m,1965-1969,70-74,0.06378,0.27538,2.52,52733,14521,227679,524669,9.95
RI,m,1965-1969,75-79,0.09114,0.36893,2.42,38212,14097,154677,296991,7.77
RI,m,1965-1969,80-84,0.13397,0.49645,2.39,24114,11972,89362,142313,5.90
RI,m,1965-1969,85-89,0.20074,0.64688,2.25,12143,7855,39129,52951,4.36
RI,m,1965-1969,90-94,0.29038,0.78242,2.05,4288,3355,11553,13822,3.22
RI,m,1965-1969,95-99,0.39936,0.88043,1.82,933,821,2057,2269,2.43
RI,m,1965-1969,100-104,0.51942,0.93859,1.6,112,105,202,212,1.90
RI,m,1965-1969,105-109,0.63804,0.96830,1.4,7,7,10,11,1.56
RI,m,1965-1969,110+,0.72886,1.00000,1.37,0,0,0,0,1.37
RI,m,1970-1974,0,0.02122,0.02083,0.1,100000,2083,98130,6871776,68.72
RI,m,1970-1974,1-4,0.00073,0.00291,1.75,97917,285,391029,6773646,69.18
RI,m,1970-1974,5-9,0.00041,0.00205,2.37,97632,200,487634,6382617,65.37
RI,m,1970-1974,10-14,0.00031,0.00155,2.51,97432,151,486784,5894983,60.50
RI,m,1970-1974,15-19,0.00114,0.00569,2.79,97281,553,485181,5408199,55.59
RI,m,1970-1974,20-24,0.00107,0.00533,2.37,96727,516,482283,4923019,50.90
RI,m,1970-1974,25-29,0.00131,0.00654,2.55,96212,629,479515,4440736,46.16
RI,m,1970-1974,30-34,0.00151,0.00752,2.67,95583,719,476237,3961221,41.44
RI,m,1970-1974,35-39,0.00237,0.01177,2.67,94864,1117,471717,3484984,36.74
RI,m,1970-1974,40-44,0.00393,0.01946,2.7,93747,1824,464540,3013267,32.14
RI,m,1970-1974,45-49,0.00630,0.03104,2.69,91923,2853,453033,2548727,27.73
RI,m,1970-1974,50-54,0.01053,0.05136,2.62,89070,4575,434473,2095694,23.53
RI,m,1970-1974,55-59,0.01672,0.08046,2.67,84495,6799,406663,1661221,19.66
RI,m,1970-1974,60-64,0.02667,0.12544,2.64,77696,9746,365488,1254559,16.15
RI,m,1970-1974,65-69,0.04077,0.18551,2.57,67950,12605,309145,889071,13.08
RI,m,1970-1974,70-74,0.05771,0.25268,2.54,55345,13985,242346,579926,10.48
RI,m,1970-1974,75-79,0.08716,0.35769,2.49,41360,14794,169739,337580,8.16
RI,m,1970-1974,80-84,0.12536,0.47258,2.4,26566,12555,100145,167841,6.32
RI,m,1970-1974,85-89,0.17923,0.60224,2.28,14012,8438,47082,67695,4.83
RI,m,1970-1974,90-94,0.24911,0.72568,2.12,5573,4044,16235,20613,3.70
RI,m,1970-1974,95-99,0.33461,0.82708,1.94,1529,1264,3779,4378,2.86
RI,m,1970-1974,100-104,0.43233,0.89866,1.75,264,238,550,599,2.27
RI,m,1970-1974,105-109,0.53580,0.94277,1.56,27,25,47,50,1.85
RI,m,1970-1974,110+,0.61965,1.00000,1.61,2,2,2,2,1.61
RI,m,1975-1979,0,0.01508,0.01487,0.09,100000,1487,98640,7040033,70.40
RI,m,1975-1979,1-4,0.00045,0.00180,1.98,98513,177,393693,6941394,70.46
RI,m,1975-1979,5-9,0.00028,0.00138,2.31,98336,136,491313,6547700,66.59
RI,m,1975-1979,10-14,0.00032,0.00158,2.61,98200,155,490629,6056387,61.67
RI,m,1975-1979,15-19,0.00106,0.00530,2.85,98045,519,489109,5565758,56.77
RI,m,1975-1979,20-24,0.00135,0.00674,2.67,97525,658,486096,5076650,52.05
RI,m,1975-1979,25-29,0.00133,0.00664,2.34,96868,643,482624,4590554,47.39
RI,m,1975-1979,30-34,0.00160,0.00795,2.44,96224,765,479162,4107930,42.69
RI,m,1975-1979,35-39,0.00205,0.01021,2.59,95459,975,474941,3628769,38.01
RI,m,1975-1979,40-44,0.00347,0.01719,2.75,94484,1624,468772,3153827,33.38
RI,m,1975-1979,45-49,0.00565,0.02788,2.74,92860,2588,458446,2685055,28.92
RI,m,1975-1979,50-54,0.00959,0.04688,2.63,90271,4232,441345,2226609,24.67
RI,m,1975-1979,55-59,0.01408,0.06818,2.68,86040,5866,416591,1785264,20.75
RI,m,1975-1979,60-64,0.02268,0.10775,2.68,80173,8639,380829,1368673,17.07
RI,m,1975-1979,65-69,0.03587,0.16516,2.61,71535,11815,329383,987844,13.81
RI,m,1975-1979,70-74,0.05313,0.23505,2.55,59720,14037,264220,658461,11.03
RI,m,1975-1979,75-79,0.07745,0.32483,2.52,45683,14839,191606,394242,8.63
RI,m,1975-1979,80-84,0.11625,0.44719,2.42,30844,13793,118647,202635,6.57
RI,m,1975-1979,85-89,0.17250,0.58895,2.31,17051,10042,58214,83989,4.93
RI,m,1975-1979,90-94,0.24910,0.72701,2.14,7009,5095,20456,25774,3.68
RI,m,1975-1979,95-99,0.34481,0.83775,1.93,1913,1603,4649,5319,2.78
RI,m,1975-1979,100-104,0.45477,0.91146,1.71,310,283,622,670,2.16
RI,m,1975-1979,105-109,0.56971,0.95324,1.51,27,26,46,48,1.74
RI,m,1975-1979,110+,0.66155,1.00000,1.51,1,1,2,2,1.51
RI,m,1980-1984,0,0.01149,0.01137,0.08,100000,1137,98949,7156339,71.56
RI,m,1980-1984,1-4,0.00040,0.00161,1.69,98863,159,395085,7057390,71.39
RI,m,1980-1984,5-9,0.00023,0.00117,2.46,98704,116,493225,6662304,67.50
RI,m,1980-1984,10-14,0.00027,0.00134,2.69,98588,132,492635,6169079,62.57
RI,m,1980-1984,15-19,0.00083,0.00412,2.93,98456,406,491442,5676444,57.65
RI,m,1980-1984,20-24,0.00127,0.00634,2.45,98050,622,488669,5185002,52.88
RI,m,1980-1984,25-29,0.00131,0.00651,2.47,97429,634,485543,4696333,48.20
RI,m,1980-1984,30-34,0.00147,0.00733,2.49,96795,709,482197,4210790,43.50
RI,m,1980-1984,35-39,0.00181,0.00902,2.63,96086,867,478372,3728594,38.80
RI,m,1980-1984,40-44,0.00282,0.01399,2.68,95219,1332,473001,3250221,34.13
RI,m,1980-1984,45-49,0.00514,0.02540,2.71,93887,2385,463963,2777221,29.58
RI,m,1980-1984,50-54,0.00820,0.04025,2.68,91502,3683,448949,2313258,25.28
RI,m,1980-1984,55-59,0.01354,0.06559,2.63,87819,5760,425444,1864309,21.23
RI,m,1980-1984,60-64,0.02145,0.10207,2.63,82060,8376,390452,1438865,17.53
RI,m,1980-1984,65-69,0.03193,0.14843,2.63,73684,10937,342526,1048413,14.23
RI,m,1980-1984,70-74,0.05016,0.22318,2.53,62747,14004,279195,705886,11.25
RI,m,1980-1984,75-79,0.07722,0.32395,2.51,48743,15790,204476,426691,8.75
RI,m,1980-1984,80-84,0.11145,0.43348,2.44,32953,14285,128165,222215,6.74
RI,m,1980-1984,85-89,0.16712,0.57724,2.32,18668,10776,64480,94050,5.04
RI,m,1980-1984,90-94,0.24330,0.71854,2.15,7892,5671,23309,29571,3.75
RI,m,1980-1984,95-99,0.33927,0.83295,1.94,2221,1850,5454,6262,2.82
RI,m,1980-1984,100-104,0.45027,0.90938,1.72,371,337,749,808,2.18
RI,m,1980-1984,105-109,0.56683,0.95258,1.52,34,32,57,59,1.75
RI,m,1980-1984,110+,0.66012,1.00000,1.51,2,2,2,2,1.51
RI,m,1985-1989,0,0.01057,0.01047,0.07,100000,1047,99030,7220772,72.21
RI,m,1985-1989,1-4,0.00038,0.00150,1.94,98953,149,395505,7121742,71.97
RI,m,1985-1989,5-9,0.00020,0.00099,2.36,98804,98,493764,6726237,68.08
RI,m,1985-1989,10-14,0.00030,0.00149,2.37,98707,147,493146,6232473,63.14
RI,m,1985-1989,15-19,0.00074,0.00372,2.85,98560,366,492011,5739326,58.23
RI,m,1985-1989,20-24,0.00122,0.00607,2.46,98193,596,489453,5247316,53.44
RI,m,1985-1989,25-29,0.00138,0.00685,2.53,97597,669,486333,4757863,48.75
RI,m,1985-1989,30-34,0.00184,0.00915,2.63,96929,886,482542,4271529,44.07
RI,m,1985-1989,35-39,0.00192,0.00956,2.47,96042,918,477892,3788988,39.45
RI,m,1985-1989,40-44,0.00274,0.01360,2.67,95124,1294,472607,3311096,34.81
RI,m,1985-1989,45-49,0.00428,0.02122,2.77,93831,1991,464716,2838489,30.25
RI,m,1985-1989,50-54,0.00814,0.03994,2.73,91839,3668,450873,2373773,25.85
RI,m,1985-1989,55-59,0.01241,0.06031,2.69,88171,5318,428595,1922900,21.81
RI,m,1985-1989,60-64,0.01998,0.09532,2.6,82854,7898,395333,1494306,18.04
RI,m,1985-1989,65-69,0.02905,0.13588,2.62,74956,10185,350553,1098972,14.66
RI,m,1985-1989,70-74,0.04732,0.21253,2.61,64771,13766,290931,748420,11.55
RI,m,1985-1989,75-79,0.07045,0.30020,2.54,51006,15312,217349,457489,8.97
RI,m,1985-1989,80-84,0.11228,0.43558,2.43,35694,15547,138474,240140,6.73
RI,m,1985-1989,85-89,0.16715,0.57713,2.32,20146,11627,69558,101666,5.05
RI,m,1985-1989,90-94,0.24187,0.71614,2.15,8519,6101,25224,32107,3.77
RI,m,1985-1989,95-99,0.33579,0.82950,1.95,2418,2006,5974,6883,2.85
RI,m,1985-1989,100-104,0.44448,0.90624,1.73,412,374,841,909,2.21
RI,m,1985-1989,105-109,0.55908,0.95037,1.53,39,37,66,69,1.78
RI,m,1985-1989,110+,0.65116,1.00000,1.54,2,2,3,3,1.54
RI,m,1990-1994,0,0.00806,0.00800,0.07,100000,800,99253,7355763,73.56
RI,m,1990-1994,1-4,0.00033,0.00132,1.43,99200,131,396462,7256510,73.15
RI,m,1990-1994,5-9,0.00017,0.00086,2.87,99069,86,495162,6860048,69.25
RI,m,1990-1994,10-14,0.00029,0.00147,2.87,98983,145,494608,6364886,64.30
RI,m,1990-1994,15-19,0.00064,0.00319,2.84,98838,315,493509,5870278,59.39
RI,m,1990-1994,20-24,0.00105,0.00526,2.61,98523,518,491374,5376769,54.57
RI,m,1990-1994,25-29,0.00135,0.00675,2.62,98004,662,488446,4885395,49.85
RI,m,1990-1994,30-34,0.00169,0.00843,2.63,97343,821,484771,4396949,45.17
RI,m,1990-1994,35-39,0.00238,0.01181,2.58,96522,1140,479856,3912178,40.53
RI,m,1990-1994,40-44,0.00309,0.01534,2.57,95382,1463,473352,3432322,35.99
RI,m,1990-1994,45-49,0.00405,0.02008,2.64,93919,1886,465139,2958970,31.51
RI,m,1990-1994,50-54,0.00629,0.03102,2.68,92033,2855,453556,2493832,27.10
RI,m,1990-1994,55-59,0.01037,0.05067,2.72,89178,4519,435597,2040276,22.88
RI,m,1990-1994,60-64,0.01732,0.08317,2.6,84660,7041,406426,1604679,18.95
RI,m,1990-1994,65-69,0.02725,0.12794,2.62,77618,9930,364457,1198253,15.44
RI,m,1990-1994,70-74,0.04051,0.18481,2.63,67688,12509,308828,833795,12.32
RI,m,1990-1994,75-79,0.06239,0.27029,2.53,55179,14914,239055,524968,9.51
RI,m,1990-1994,80-84,0.10209,0.40542,2.46,40265,16324,159905,285912,7.10
RI,m,1990-1994,85-89,0.15732,0.55490,2.35,23941,13285,84441,126007,5.26
RI,m,1990-1994,90-94,0.23141,0.70011,2.18,10656,7460,32239,41566,3.90
RI,m,1990-1994,95-99,0.32604,0.82058,1.97,3196,2622,8043,9327,2.92
RI,m,1990-1994,100-104,0.43697,0.90260,1.75,573,518,1184,1284,2.24
RI,m,1990-1994,105-109,0.55490,0.94941,1.54,56,53,96,100,1.79
RI,m,1990-1994,110+,0.64991,1.00000,1.54,3,3,4,4,1.54
RI,m,1995-1999,0,0.00766,0.00761,0.07,100000,761,99289,7475360,74.75
RI,m,1995-1999,1-4,0.00031,0.00126,1.71,99239,125,396671,7376071,74.33
RI,m,1995-1999,5-9,0.00017,0.00085,2.29,99114,84,495343,6979400,70.42
RI,m,1995-1999,10-14,0.00016,0.00082,2.71,99030,81,494963,6484058,65.48
RI,m,1995-1999,15-19,0.00063,0.00317,2.96,98948,314,494104,5989095,60.53
RI,m,1995-1999,20-24,0.00094,0.00471,2.54,98635,464,492034,5494991,55.71
RI,m,1995-1999,25-29,0.00078,0.00391,2.8,98171,384,490008,5002957,50.96
RI,m,1995-1999,30-34,0.00127,0.00635,2.63,97786,621,487457,4512949,46.15
RI,m,1995-1999,35-39,0.00185,0.00919,2.52,97165,893,483615,4025493,41.43
RI,m,1995-1999,40-44,0.00273,0.01355,2.66,96272,1304,478304,3541877,36.79
RI,m,1995-1999,45-49,0.00401,0.01986,2.6,94968,1886,470320,3063573,32.26
RI,m,1995-1999,50-54,0.00585,0.02883,2.62,93082,2683,459019,2593253,27.86
RI,m,1995-1999,55-59,0.00914,0.04474,2.71,90399,4045,442742,2134234,23.61
RI,m,1995-1999,60-64,0.01534,0.07406,2.66,86354,6395,416779,1691493,19.59
RI,m,1995-1999,65-69,0.02395,0.11331,2.63,79959,9060,378352,1274714,15.94
RI,m,1995-1999,70-74,0.03803,0.17420,2.59,70899,12351,324737,896362,12.64
RI,m,1995-1999,75-79,0.05816,0.25465,2.56,58548,14909,256352,571625,9.76
RI,m,1995-1999,80-84,0.09658,0.38905,2.5,43639,16978,175793,315273,7.22
RI,m,1995-1999,85-89,0.15539,0.55171,2.37,26661,14709,94659,139480,5.23
RI,m,1995-1999,90-94,0.24051,0.71636,2.18,11952,8562,35598,44821,3.75
RI,m,1995-1999,95-99,0.35162,0.84593,1.93,3390,2868,8156,9223,2.72
RI,m,1995-1999,100-104,0.48119,0.92510,1.67,522,483,1004,1068,2.04
RI,m,1995-1999,105-109,0.61417,0.96436,1.44,39,38,61,63,1.62
RI,m,1995-1999,110+,0.71720,1.00000,1.39,1,1,2,2,1.39
RI,m,2000-2004,0,0.00723,0.00719,0.06,100000,719,99328,7540965,75.41
RI,m,2000-2004,1-4,0.00022,0.00089,1.63,99281,89,396915,7441638,74.96
RI,m,2000-2004,5-9,0.00015,0.00074,2.54,99193,73,495783,7044722,71.02
