SC: South Carolina, Lifetables (period 1x1), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.03915	0.03789	0.15	100000	3789	96780	6285349	62.85
1959	1	0.00333	0.00333	0.5	96211	320	96051	6188569	64.32
1959	2	0.00232	0.00232	0.5	95891	222	95780	6092517	63.54
1959	3	0.00118	0.00118	0.5	95669	113	95613	5996737	62.68
1959	4	0.00080	0.00080	0.5	95557	76	95518	5901124	61.76
1959	5	0.00087	0.00087	0.5	95480	83	95439	5805606	60.80
1959	6	0.00124	0.00124	0.5	95398	118	95338	5710167	59.86
1959	7	0.00067	0.00067	0.5	95279	64	95247	5614828	58.93
1959	8	0.00068	0.00068	0.5	95215	65	95183	5519581	57.97
1959	9	0.00050	0.00050	0.5	95150	48	95126	5424398	57.01
1959	10	0.00064	0.00064	0.5	95103	61	95072	5329272	56.04
1959	11	0.00046	0.00046	0.5	95041	44	95020	5234200	55.07
1959	12	0.00072	0.00072	0.5	94998	68	94964	5139180	54.10
1959	13	0.00086	0.00086	0.5	94929	82	94889	5044216	53.14
1959	14	0.00087	0.00087	0.5	94848	83	94806	4949328	52.18
1959	15	0.00123	0.00123	0.5	94765	117	94706	4854522	51.23
1959	16	0.00165	0.00165	0.5	94648	156	94570	4759815	50.29
1959	17	0.00124	0.00124	0.5	94492	117	94433	4665246	49.37
1959	18	0.00186	0.00186	0.5	94375	175	94287	4570812	48.43
1959	19	0.00153	0.00153	0.5	94199	144	94127	4476525	47.52
1959	20	0.00273	0.00273	0.5	94055	257	93927	4382398	46.59
1959	21	0.00271	0.00270	0.5	93799	253	93672	4288471	45.72
1959	22	0.00231	0.00231	0.5	93545	216	93437	4194799	44.84
1959	23	0.00178	0.00178	0.5	93329	166	93246	4101362	43.95
1959	24	0.00238	0.00237	0.5	93163	221	93053	4008116	43.02
1959	25	0.00262	0.00262	0.5	92942	243	92820	3915063	42.12
1959	26	0.00298	0.00298	0.5	92699	276	92560	3822243	41.23
1959	27	0.00295	0.00295	0.5	92422	273	92286	3729682	40.35
1959	28	0.00263	0.00263	0.5	92150	242	92029	3637396	39.47
1959	29	0.00263	0.00262	0.5	91908	241	91787	3545367	38.58
1959	30	0.00348	0.00347	0.5	91667	318	91508	3453580	37.68
1959	31	0.00317	0.00316	0.5	91348	289	91204	3362073	36.80
1959	32	0.00401	0.00401	0.5	91059	365	90877	3270869	35.92
1959	33	0.00359	0.00358	0.5	90695	325	90532	3179992	35.06
1959	34	0.00405	0.00404	0.5	90370	365	90187	3089459	34.19
1959	35	0.00358	0.00357	0.5	90004	321	89843	2999272	33.32
1959	36	0.00396	0.00395	0.5	89683	354	89506	2909429	32.44
1959	37	0.00432	0.00431	0.5	89329	385	89136	2819923	31.57
1959	38	0.00452	0.00451	0.5	88944	401	88743	2730787	30.70
1959	39	0.00529	0.00527	0.5	88542	467	88309	2642044	29.84
1959	40	0.00665	0.00663	0.5	88076	584	87784	2553735	28.99
1959	41	0.00595	0.00593	0.5	87492	519	87232	2465951	28.18
1959	42	0.00749	0.00746	0.5	86973	649	86649	2378719	27.35
1959	43	0.00731	0.00728	0.5	86325	628	86010	2292070	26.55
1959	44	0.00852	0.00849	0.5	85696	727	85333	2206060	25.74
1959	45	0.00851	0.00848	0.5	84969	720	84609	2120727	24.96
1959	46	0.00991	0.00986	0.5	84249	831	83833	2036118	24.17
1959	47	0.00951	0.00946	0.5	83418	789	83023	1952285	23.40
1959	48	0.01103	0.01097	0.5	82628	906	82175	1869262	22.62
1959	49	0.01377	0.01367	0.5	81722	1117	81163	1787087	21.87
1959	50	0.01718	0.01703	0.5	80604	1373	79918	1705924	21.16
1959	51	0.01494	0.01483	0.5	79231	1175	78644	1626006	20.52
1959	52	0.01844	0.01827	0.5	78057	1426	77344	1547362	19.82
1959	53	0.01963	0.01944	0.5	76631	1490	75886	1470018	19.18
1959	54	0.02130	0.02108	0.5	75141	1584	74349	1394132	18.55
1959	55	0.02160	0.02137	0.5	73557	1572	72771	1319783	17.94
1959	56	0.02765	0.02727	0.5	71985	1963	71004	1247012	17.32
1959	57	0.02238	0.02213	0.5	70022	1550	69247	1176008	16.79
1959	58	0.02895	0.02854	0.5	68473	1954	67496	1106761	16.16
1959	59	0.02898	0.02856	0.5	66519	1900	65569	1039265	15.62
1959	60	0.03518	0.03457	0.5	64619	2234	63502	973696	15.07
1959	61	0.03611	0.03547	0.5	62385	2213	61279	910194	14.59
1959	62	0.04300	0.04209	0.5	60172	2533	58906	848915	14.11
1959	63	0.04113	0.04030	0.5	57639	2323	56478	790010	13.71
1959	64	0.03584	0.03521	0.5	55316	1948	54343	733532	13.26
1959	65	0.04250	0.04161	0.5	53369	2221	52258	679189	12.73
1959	66	0.04059	0.03978	0.5	51148	2035	50131	626931	12.26
1959	67	0.05130	0.05002	0.5	49113	2457	47885	576800	11.74
1959	68	0.05165	0.05035	0.5	46656	2349	45482	528915	11.34
1959	69	0.05072	0.04947	0.5	44307	2192	43211	483433	10.91
1959	70	0.06697	0.06480	0.5	42116	2729	40751	440222	10.45
1959	71	0.04614	0.04510	0.5	39387	1776	38498	399471	10.14
1959	72	0.06224	0.06036	0.5	37610	2270	36475	360972	9.60
1959	73	0.06265	0.06074	0.5	35340	2147	34267	324497	9.18
1959	74	0.06962	0.06728	0.5	33193	2233	32077	290231	8.74
1959	75	0.08323	0.07990	0.5	30960	2474	29723	258154	8.34
1959	76	0.06341	0.06146	0.5	28486	1751	27611	228430	8.02
1959	77	0.07734	0.07446	0.5	26736	1991	25740	200819	7.51
1959	78	0.08214	0.07890	0.5	24745	1952	23769	175079	7.08
1959	79	0.10300	0.09795	0.5	22793	2233	21676	151310	6.64
1959	80	0.12252	0.11545	0.5	20560	2374	19373	129634	6.31
1959	81	0.12857	0.12081	0.5	18186	2197	17088	110261	6.06
1959	82	0.13536	0.12678	0.5	15989	2027	14976	93173	5.83
1959	83	0.14245	0.13298	0.5	13962	1857	13034	78197	5.60
1959	84	0.14985	0.13941	0.5	12105	1688	11262	65164	5.38
1959	85	0.15756	0.14606	0.5	10418	1522	9657	53902	5.17
1959	86	0.16560	0.15293	0.5	8896	1361	8216	44245	4.97
1959	87	0.17395	0.16003	0.5	7536	1206	6933	36029	4.78
1959	88	0.18264	0.16735	0.5	6330	1059	5800	29096	4.60
1959	89	0.19166	0.17490	0.5	5270	922	4810	23296	4.42
1959	90	0.20101	0.18265	0.5	4349	794	3952	18487	4.25
1959	91	0.21070	0.19062	0.5	3554	678	3216	14535	4.09
1959	92	0.22073	0.19879	0.5	2877	572	2591	11319	3.93
1959	93	0.23110	0.20716	0.5	2305	477	2066	8729	3.79
1959	94	0.24180	0.21572	0.5	1827	394	1630	6662	3.65
1959	95	0.25284	0.22446	0.5	1433	322	1272	5032	3.51
1959	96	0.26420	0.23337	0.5	1112	259	982	3760	3.38
1959	97	0.27589	0.24245	0.5	852	207	749	2778	3.26
1959	98	0.28789	0.25167	0.5	646	162	564	2029	3.14
1959	99	0.30020	0.26102	0.5	483	126	420	1465	3.03
1959	100	0.31280	0.27050	0.5	357	97	309	1045	2.93
1959	101	0.32569	0.28008	0.5	260	73	224	736	2.83
1959	102	0.33884	0.28975	0.5	187	54	160	512	2.73
1959	103	0.35225	0.29950	0.5	133	40	113	352	2.64
1959	104	0.36589	0.30931	0.5	93	29	79	239	2.56
1959	105	0.37975	0.31915	0.5	64	21	54	160	2.48
1959	106	0.39382	0.32903	0.5	44	14	37	106	2.41
1959	107	0.40806	0.33891	0.5	29	10	24	69	2.34
1959	108	0.42245	0.34878	0.5	19	7	16	44	2.28
1959	109	0.43698	0.35863	0.5	13	5	10	28	2.24
1959	110+	0.45162	1.00000	2.21	8	8	18	18	2.21
1960	0	0.03867	0.03743	0.15	100000	3743	96814	6255782	62.56
