SC: South Carolina, Lifetables (period 1x10), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.03470	0.03369	0.14	100000	3369	97096	6315438	63.15
1960-1969	1	0.00277	0.00277	0.5	96631	268	96497	6218342	64.35
1960-1969	2	0.00176	0.00176	0.5	96363	169	96278	6121845	63.53
1960-1969	3	0.00111	0.00111	0.5	96194	107	96140	6025566	62.64
1960-1969	4	0.00095	0.00095	0.5	96087	91	96041	5929426	61.71
1960-1969	5	0.00080	0.00080	0.5	95995	77	95957	5833385	60.77
1960-1969	6	0.00073	0.00073	0.5	95919	70	95884	5737428	59.82
1960-1969	7	0.00056	0.00056	0.5	95849	54	95822	5641544	58.86
1960-1969	8	0.00064	0.00064	0.5	95795	61	95765	5545722	57.89
1960-1969	9	0.00065	0.00065	0.5	95734	62	95703	5449957	56.93
1960-1969	10	0.00056	0.00056	0.5	95672	53	95646	5354254	55.96
1960-1969	11	0.00059	0.00059	0.5	95619	56	95591	5258608	55.00
1960-1969	12	0.00069	0.00069	0.5	95563	66	95530	5163017	54.03
1960-1969	13	0.00076	0.00076	0.5	95497	73	95461	5067487	53.06
1960-1969	14	0.00105	0.00105	0.5	95424	101	95374	4972026	52.10
1960-1969	15	0.00108	0.00108	0.5	95324	103	95272	4876652	51.16
1960-1969	16	0.00159	0.00159	0.5	95221	151	95145	4781380	50.21
1960-1969	17	0.00154	0.00154	0.5	95070	146	94996	4686235	49.29
1960-1969	18	0.00187	0.00187	0.5	94923	178	94834	4591238	48.37
1960-1969	19	0.00208	0.00208	0.5	94746	197	94647	4496404	47.46
1960-1969	20	0.00229	0.00229	0.5	94549	217	94441	4401756	46.56
1960-1969	21	0.00214	0.00214	0.5	94332	202	94231	4307316	45.66
1960-1969	22	0.00241	0.00240	0.5	94130	226	94017	4213084	44.76
1960-1969	23	0.00231	0.00231	0.5	93904	217	93796	4119067	43.86
1960-1969	24	0.00235	0.00235	0.5	93687	220	93577	4025272	42.97
1960-1969	25	0.00242	0.00242	0.5	93467	226	93354	3931694	42.06
1960-1969	26	0.00245	0.00244	0.5	93241	228	93127	3838340	41.17
1960-1969	27	0.00260	0.00260	0.5	93013	242	92892	3745213	40.27
1960-1969	28	0.00269	0.00269	0.5	92771	250	92647	3652321	39.37
1960-1969	29	0.00256	0.00256	0.5	92522	237	92403	3559675	38.47
1960-1969	30	0.00315	0.00315	0.5	92285	291	92140	3467271	37.57
1960-1969	31	0.00315	0.00314	0.5	91994	289	91850	3375132	36.69
1960-1969	32	0.00326	0.00325	0.5	91705	298	91556	3283282	35.80
1960-1969	33	0.00354	0.00354	0.5	91407	323	91246	3191726	34.92
1960-1969	34	0.00351	0.00351	0.5	91084	319	90924	3100480	34.04
1960-1969	35	0.00391	0.00390	0.5	90765	354	90587	3009556	33.16
1960-1969	36	0.00387	0.00386	0.5	90410	349	90236	2918969	32.29
1960-1969	37	0.00447	0.00446	0.5	90061	401	89861	2828733	31.41
1960-1969	38	0.00491	0.00489	0.5	89660	439	89440	2738872	30.55
1960-1969	39	0.00546	0.00545	0.5	89221	486	88978	2649432	29.70
1960-1969	40	0.00620	0.00618	0.5	88735	549	88461	2560454	28.86
1960-1969	41	0.00601	0.00599	0.5	88186	528	87922	2471993	28.03
1960-1969	42	0.00737	0.00734	0.5	87658	643	87336	2384071	27.20
1960-1969	43	0.00800	0.00797	0.5	87015	693	86668	2296734	26.39
1960-1969	44	0.00833	0.00830	0.5	86322	716	85964	2210066	25.60
1960-1969	45	0.00935	0.00931	0.5	85606	797	85207	2124103	24.81
1960-1969	46	0.00950	0.00946	0.5	84809	802	84408	2038895	24.04
1960-1969	47	0.01115	0.01109	0.5	84007	932	83541	1954487	23.27
1960-1969	48	0.01169	0.01162	0.5	83076	965	82593	1870946	22.52
1960-1969	49	0.01242	0.01234	0.5	82110	1013	81604	1788353	21.78
1960-1969	50	0.01496	0.01485	0.5	81097	1204	80495	1706749	21.05
1960-1969	51	0.01481	0.01470	0.5	79893	1174	79306	1626254	20.36
1960-1969	52	0.01688	0.01674	0.5	78719	1317	78060	1546949	19.65
1960-1969	53	0.01832	0.01816	0.5	77401	1405	76699	1468889	18.98
1960-1969	54	0.01922	0.01903	0.5	75996	1447	75273	1392190	18.32
1960-1969	55	0.02184	0.02161	0.5	74549	1611	73744	1316917	17.67
1960-1969	56	0.02305	0.02279	0.5	72939	1662	72107	1243173	17.04
1960-1969	57	0.02424	0.02395	0.5	71276	1707	70423	1171066	16.43
1960-1969	58	0.02600	0.02566	0.5	69569	1785	68677	1100643	15.82
1960-1969	59	0.02753	0.02716	0.5	67784	1841	66864	1031966	15.22
1960-1969	60	0.03233	0.03181	0.5	65943	2098	64894	965103	14.64
1960-1969	61	0.03278	0.03225	0.5	63845	2059	62816	900208	14.10
1960-1969	62	0.03919	0.03844	0.5	61786	2375	60599	837393	13.55
1960-1969	63	0.03795	0.03724	0.5	59411	2213	58305	776794	13.07
1960-1969	64	0.04038	0.03958	0.5	57199	2264	56067	718489	12.56
1960-1969	65	0.04925	0.04807	0.5	54935	2641	53614	662422	12.06
1960-1969	66	0.04862	0.04746	0.5	52294	2482	51053	608808	11.64
1960-1969	67	0.05457	0.05312	0.5	49812	2646	48489	557755	11.20
1960-1969	68	0.05432	0.05288	0.5	47166	2494	45919	509266	10.80
1960-1969	69	0.05599	0.05447	0.5	44672	2433	43455	463347	10.37
1960-1969	70	0.06648	0.06434	0.5	42239	2718	40880	419892	9.94
1960-1969	71	0.06080	0.05900	0.5	39521	2332	38355	379012	9.59
1960-1969	72	0.07029	0.06790	0.5	37189	2525	35927	340657	9.16
1960-1969	73	0.07029	0.06791	0.5	34664	2354	33487	304730	8.79
1960-1969	74	0.07375	0.07113	0.5	32310	2298	31161	271243	8.40
1960-1969	75	0.08134	0.07816	0.5	30012	2346	28839	240082	8.00
1960-1969	76	0.08094	0.07779	0.5	27666	2152	26590	211243	7.64
1960-1969	77	0.08275	0.07946	0.5	25514	2027	24500	184653	7.24
1960-1969	78	0.09372	0.08953	0.5	23487	2103	22435	160153	6.82
1960-1969	79	0.09474	0.09045	0.5	21384	1934	20417	137718	6.44
1960-1969	80	0.12570	0.11827	0.5	19450	2300	18299	117301	6.03
1960-1969	81	0.13102	0.12296	0.5	17149	2109	16095	99002	5.77
1960-1969	82	0.13937	0.13029	0.5	15041	1960	14061	82907	5.51
1960-1969	83	0.14817	0.13795	0.5	13081	1804	12179	68846	5.26
1960-1969	84	0.15742	0.14593	0.5	11276	1646	10454	56667	5.03
1960-1969	85	0.16713	0.15424	0.5	9631	1485	8888	46214	4.80
1960-1969	86	0.17731	0.16287	0.5	8145	1327	7482	37325	4.58
1960-1969	87	0.18798	0.17183	0.5	6819	1172	6233	29843	4.38
1960-1969	88	0.19913	0.18110	0.5	5647	1023	5136	23610	4.18
1960-1969	89	0.21078	0.19068	0.5	4624	882	4183	18475	4.00
1960-1969	90	0.22291	0.20056	0.5	3743	751	3367	14291	3.82
1960-1969	91	0.23553	0.21072	0.5	2992	630	2677	10924	3.65
1960-1969	92	0.24864	0.22115	0.5	2362	522	2100	8247	3.49
1960-1969	93	0.26223	0.23183	0.5	1839	426	1626	6147	3.34
1960-1969	94	0.27629	0.24276	0.5	1413	343	1241	4521	3.20
1960-1969	95	0.29081	0.25389	0.5	1070	272	934	3279	3.07
1960-1969	96	0.30576	0.26522	0.5	798	212	692	2345	2.94
1960-1969	97	0.32114	0.27671	0.5	587	162	505	1653	2.82
1960-1969	98	0.33691	0.28834	0.5	424	122	363	1147	2.70
1960-1969	99	0.35306	0.30009	0.5	302	91	257	784	2.60
1960-1969	100	0.36955	0.31192	0.5	211	66	178	528	2.50
1960-1969	101	0.38635	0.32380	0.5	145	47	122	349	2.40
1960-1969	102	0.40343	0.33571	0.5	98	33	82	228	2.31
1960-1969	103	0.42074	0.34761	0.5	65	23	54	146	2.23
1960-1969	104	0.43825	0.35948	0.5	43	15	35	92	2.15
1960-1969	105	0.45591	0.37128	0.5	27	10	22	57	2.08
1960-1969	106	0.47369	0.38298	0.5	17	7	14	35	2.01
1960-1969	107	0.49153	0.39456	0.5	11	4	8	21	1.95
1960-1969	108	0.50939	0.40599	0.5	6	3	5	12	1.90
1960-1969	109	0.52723	0.41724	0.5	4	2	3	7	1.86
1960-1969	110+	0.54501	1.00000	1.83	2	2	4	4	1.83
1970-1979	0	0.02340	0.02292	0.11	100000	2292	97955	6543087	65.43
1970-1979	1	0.00135	0.00135	0.5	97708	132	97642	6445132	65.96
1970-1979	2	0.00099	0.00099	0.5	97576	97	97528	6347490	65.05
1970-1979	3	0.00070	0.00070	0.5	97480	68	97446	6249962	64.12
1970-1979	4	0.00061	0.00061	0.5	97412	59	97382	6152516	63.16
1970-1979	5	0.00061	0.00061	0.5	97353	60	97323	6055134	62.20
1970-1979	6	0.00060	0.00060	0.5	97293	58	97264	5957811	61.24
1970-1979	7	0.00053	0.00053	0.5	97235	51	97210	5860546	60.27
1970-1979	8	0.00056	0.00056	0.5	97184	55	97157	5763337	59.30
1970-1979	9	0.00052	0.00052	0.5	97129	50	97104	5666180	58.34
1970-1979	10	0.00054	0.00054	0.5	97079	52	97053	5569076	57.37
1970-1979	11	0.00043	0.00043	0.5	97027	42	97006	5472023	56.40
1970-1979	12	0.00053	0.00053	0.5	96985	51	96959	5375017	55.42
1970-1979	13	0.00067	0.00067	0.5	96933	65	96901	5278058	54.45
1970-1979	14	0.00081	0.00081	0.5	96868	79	96829	5181157	53.49
1970-1979	15	0.00102	0.00102	0.5	96790	99	96740	5084328	52.53
1970-1979	16	0.00145	0.00144	0.5	96690	140	96621	4987588	51.58
1970-1979	17	0.00184	0.00184	0.5	96551	178	96462	4890967	50.66
1970-1979	18	0.00193	0.00193	0.5	96373	186	96280	4794505	49.75
1970-1979	19	0.00201	0.00201	0.5	96187	193	96090	4698225	48.84
1970-1979	20	0.00204	0.00204	0.5	95994	196	95896	4602135	47.94
1970-1979	21	0.00218	0.00217	0.5	95798	208	95694	4506239	47.04
1970-1979	22	0.00218	0.00218	0.5	95590	209	95486	4410545	46.14
1970-1979	23	0.00209	0.00209	0.5	95381	199	95282	4315059	45.24
1970-1979	24	0.00224	0.00224	0.5	95182	213	95076	4219777	44.33
1970-1979	25	0.00223	0.00222	0.5	94969	211	94864	4124701	43.43
1970-1979	26	0.00234	0.00233	0.5	94758	221	94648	4029838	42.53
1970-1979	27	0.00255	0.00254	0.5	94537	240	94417	3935190	41.63
1970-1979	28	0.00262	0.00261	0.5	94297	246	94174	3840773	40.73
