SD: South Dakota, Lifetables (period 5x5), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02570	0.02513	0.12	100000	2513	97788	7107045	71.07
1960-1964	1-4	0.00105	0.00419	1.66	97487	408	388990	7009257	71.90
1960-1964	5-9	0.00045	0.00225	2.43	97079	219	484831	6620267	68.19
1960-1964	10-14	0.00054	0.00267	2.76	96860	259	483723	6135435	63.34
1960-1964	15-19	0.00132	0.00660	2.61	96601	638	481485	5651713	58.51
1960-1964	20-24	0.00189	0.00939	2.46	95964	901	477525	5170227	53.88
1960-1964	25-29	0.00173	0.00863	2.59	95063	821	473333	4692702	49.36
1960-1964	30-34	0.00173	0.00861	2.53	94242	811	469202	4219369	44.77
1960-1964	35-39	0.00220	0.01093	2.67	93430	1021	464775	3750167	40.14
1960-1964	40-44	0.00295	0.01465	2.65	92410	1354	458867	3285391	35.55
1960-1964	45-49	0.00458	0.02267	2.79	91055	2064	450725	2826524	31.04
1960-1964	50-54	0.00738	0.03627	2.66	88991	3228	437406	2375800	26.70
1960-1964	55-59	0.01149	0.05590	2.57	85763	4794	417183	1938393	22.60
1960-1964	60-64	0.01735	0.08335	2.64	80969	6749	388917	1521211	18.79
1960-1964	65-69	0.02643	0.12429	2.6	74220	9225	348997	1132294	15.26
1960-1964	70-74	0.04137	0.18816	2.6	64995	12230	295618	783297	12.05
1960-1964	75-79	0.06520	0.28115	2.55	52766	14835	227537	487679	9.24
1960-1964	80-84	0.10470	0.41445	2.49	37930	15720	150138	260142	6.86
1960-1964	85-89	0.16758	0.57980	2.34	22210	12878	76843	110004	4.95
1960-1964	90-94	0.25691	0.74063	2.14	9333	6912	26904	33161	3.55
1960-1964	95-99	0.37237	0.86282	1.89	2421	2089	5609	6257	2.58
1960-1964	100-104	0.50530	0.93470	1.63	332	310	614	648	1.95
1960-1964	105-109	0.63923	0.96912	1.41	22	21	33	34	1.56
1960-1964	110+	0.74130	1.00000	1.35	1	1	1	1	1.35
1965-1969	0	0.02209	0.02166	0.11	100000	2166	98071	7194432	71.94
1965-1969	1-4	0.00101	0.00403	1.63	97834	394	390403	7096362	72.53
1965-1969	5-9	0.00044	0.00221	2.27	97440	215	486610	6705959	68.82
1965-1969	10-14	0.00048	0.00239	2.74	97225	232	485599	6219349	63.97
1965-1969	15-19	0.00137	0.00681	2.72	96993	660	483459	5733749	59.12
1965-1969	20-24	0.00176	0.00877	2.47	96332	845	479527	5250290	54.50
1965-1969	25-29	0.00143	0.00711	2.65	95487	679	475845	4770763	49.96
1965-1969	30-34	0.00151	0.00750	2.43	94808	711	472214	4294918	45.30
1965-1969	35-39	0.00206	0.01027	2.69	94097	967	468251	3822703	40.62
1965-1969	40-44	0.00303	0.01505	2.64	93131	1402	462346	3354453	36.02
1965-1969	45-49	0.00469	0.02318	2.67	91729	2126	453683	2892106	31.53
1965-1969	50-54	0.00711	0.03497	2.66	89602	3134	440692	2438423	27.21
1965-1969	55-59	0.01082	0.05279	2.68	86469	4564	421740	1997731	23.10
1965-1969	60-64	0.01652	0.07953	2.68	81904	6514	394386	1575991	19.24
1965-1969	65-69	0.02492	0.11748	2.57	75390	8857	355384	1181605	15.67
1965-1969	70-74	0.03837	0.17578	2.62	66533	11695	304829	826221	12.42
1965-1969	75-79	0.06250	0.27071	2.53	54838	14845	237531	521392	9.51
1965-1969	80-84	0.10066	0.40166	2.49	39993	16064	159579	283861	7.10
1965-1969	85-89	0.15817	0.55769	2.36	23929	13345	84370	124282	5.19
1965-1969	90-94	0.23960	0.71426	2.17	10584	7560	31552	39912	3.77
1965-1969	95-99	0.34570	0.84025	1.94	3024	2541	7351	8360	2.76
1965-1969	100-104	0.47042	0.92014	1.69	483	445	945	1009	2.09
1965-1969	105-109	0.60041	0.96137	1.46	39	37	62	64	1.66
1965-1969	110+	0.70259	1.00000	1.42	1	1	2	2	1.42
1970-1974	0	0.01922	0.01890	0.1	100000	1890	98302	7244962	72.45
1970-1974	1-4	0.00108	0.00429	1.48	98110	421	391379	7146659	72.84
1970-1974	5-9	0.00050	0.00248	2.49	97689	242	487840	6755281	69.15
1970-1974	10-14	0.00047	0.00235	2.8	97447	229	486730	6267441	64.32
1970-1974	15-19	0.00140	0.00698	2.71	97218	679	484535	5780711	59.46
1970-1974	20-24	0.00164	0.00817	2.38	96539	788	480628	5296176	54.86
1970-1974	25-29	0.00142	0.00710	2.6	95751	680	477124	4815548	50.29
1970-1974	30-34	0.00176	0.00875	2.65	95071	832	473399	4338424	45.63
1970-1974	35-39	0.00207	0.01029	2.63	94239	970	468895	3865025	41.01
1970-1974	40-44	0.00334	0.01655	2.72	93269	1544	462818	3396130	36.41
1970-1974	45-49	0.00460	0.02275	2.73	91725	2087	453889	2933313	31.98
1970-1974	50-54	0.00672	0.03308	2.69	89638	2965	441354	2479423	27.66
1970-1974	55-59	0.01079	0.05257	2.57	86673	4556	422292	2038070	23.51
1970-1974	60-64	0.01620	0.07807	2.67	82117	6411	395671	1615778	19.68
1970-1974	65-69	0.02444	0.11544	2.6	75706	8739	357577	1220106	16.12
1970-1974	70-74	0.03751	0.17221	2.62	66967	11532	307417	862530	12.88
1970-1974	75-79	0.05782	0.25309	2.54	55435	14030	242663	555113	10.01
1970-1974	80-84	0.09136	0.37208	2.51	41405	15406	168635	312450	7.55
1970-1974	85-89	0.14486	0.52546	2.39	25999	13661	94306	143815	5.53
1970-1974	90-94	0.22169	0.68524	2.21	12338	8454	38135	49509	4.01
1970-1974	95-99	0.32357	0.81954	1.99	3883	3183	9836	11374	2.93
1970-1974	100-104	0.44589	0.90847	1.74	701	637	1428	1538	2.20
1970-1974	105-109	0.57656	0.95589	1.5	64	61	106	111	1.72
1970-1974	110+	0.68113	1.00000	1.47	3	3	4	4	1.47
1975-1979	0	0.01523	0.01502	0.09	100000	1502	98634	7418733	74.19
1975-1979	1-4	0.00082	0.00329	1.61	98498	324	393215	7320100	74.32
1975-1979	5-9	0.00039	0.00193	2.43	98173	189	490380	6926885	70.56
1975-1979	10-14	0.00046	0.00229	2.91	97984	224	489451	6436505	65.69
1975-1979	15-19	0.00115	0.00571	2.72	97760	559	487524	5947054	60.83
1975-1979	20-24	0.00141	0.00704	2.56	97201	684	484339	5459530	56.17
1975-1979	25-29	0.00124	0.00618	2.5	96517	596	481094	4975191	51.55
1975-1979	30-34	0.00146	0.00729	2.56	95921	699	477896	4494097	46.85
1975-1979	35-39	0.00224	0.01115	2.66	95222	1061	473624	4016202	42.18
1975-1979	40-44	0.00309	0.01533	2.72	94160	1443	467510	3542577	37.62
1975-1979	45-49	0.00418	0.02070	2.69	92717	1919	459154	3075067	33.17
1975-1979	50-54	0.00642	0.03160	2.6	90798	2869	447100	2615913	28.81
1975-1979	55-59	0.00943	0.04610	2.6	87928	4053	429931	2168813	24.67
1975-1979	60-64	0.01447	0.06998	2.65	83875	5870	405563	1738882	20.73
1975-1979	65-69	0.02237	0.10612	2.58	78005	8278	370018	1333319	17.09
1975-1979	70-74	0.03346	0.15490	2.61	69727	10801	322786	963301	13.82
1975-1979	75-79	0.05061	0.22531	2.57	58927	13277	262337	640515	10.87
1975-1979	80-84	0.07903	0.33057	2.53	45650	15091	190947	378178	8.28
1975-1979	85-89	0.12495	0.47293	2.43	30559	14452	115664	187231	6.13
1975-1979	90-94	0.19395	0.63481	2.28	16107	10225	52717	71566	4.44
1975-1979	95-99	0.29076	0.78451	2.07	5882	4615	15871	18849	3.20
1975-1979	100-104	0.41371	0.89124	1.81	1268	1130	2730	2978	2.35
1975-1979	105-109	0.55137	0.94974	1.55	138	131	237	248	1.80
1975-1979	110+	0.66429	1.00000	1.51	7	7	10	10	1.51
1980-1984	0	0.01067	0.01057	0.08	100000	1057	99025	7542534	75.43
1980-1984	1-4	0.00068	0.00270	1.52	98943	267	395108	7443509	75.23
1980-1984	5-9	0.00035	0.00173	2.22	98676	171	492903	7048400	71.43
1980-1984	10-14	0.00029	0.00143	2.9	98505	141	492227	6555497	66.55
1980-1984	15-19	0.00106	0.00530	2.72	98364	521	490630	6063270	61.64
1980-1984	20-24	0.00117	0.00585	2.45	97843	572	487754	5572641	56.96
1980-1984	25-29	0.00111	0.00552	2.5	97271	537	485013	5084887	52.28
1980-1984	30-34	0.00117	0.00582	2.49	96734	563	482256	4599874	47.55
1980-1984	35-39	0.00183	0.00912	2.67	96171	877	478807	4117618	42.82
1980-1984	40-44	0.00222	0.01103	2.63	95294	1051	473978	3638811	38.19
1980-1984	45-49	0.00395	0.01959	2.63	94242	1846	466836	3164833	33.58
1980-1984	50-54	0.00633	0.03116	2.62	92397	2879	455119	2697997	29.20
1980-1984	55-59	0.00914	0.04476	2.67	89517	4006	438234	2242878	25.06
1980-1984	60-64	0.01445	0.06991	2.7	85511	5978	413822	1804644	21.10
1980-1984	65-69	0.02126	0.10115	2.61	79533	8045	378455	1390822	17.49
1980-1984	70-74	0.03170	0.14728	2.59	71488	10529	332098	1012366	14.16
1980-1984	75-79	0.04869	0.21784	2.59	60959	13280	272748	680268	11.16
1980-1984	80-84	0.07470	0.31558	2.54	47680	15047	201421	407520	8.55
1980-1984	85-89	0.11943	0.45753	2.45	32633	14931	125021	206098	6.32
1980-1984	90-94	0.18650	0.61991	2.3	17702	10974	58841	81077	4.58
1980-1984	95-99	0.28046	0.77183	2.09	6728	5193	18517	22236	3.30
1980-1984	100-104	0.40017	0.88251	1.83	1535	1355	3386	3719	2.42
1980-1984	105-109	0.53547	0.94493	1.58	180	170	318	334	1.85
1980-1984	110+	0.64747	1.00000	1.54	10	10	15	15	1.54
1985-1989	0	0.01062	0.01051	0.08	100000	1051	99031	7626738	76.27
1985-1989	1-4	0.00065	0.00259	1.48	98949	256	395150	7527707	76.08
1985-1989	5-9	0.00024	0.00121	2.55	98693	119	493172	7132557	72.27
1985-1989	10-14	0.00022	0.00112	2.66	98574	110	492611	6639385	67.35
1985-1989	15-19	0.00093	0.00464	2.81	98464	457	491316	6146774	62.43
1985-1989	20-24	0.00107	0.00532	2.46	98007	522	488711	5655458	57.70
1985-1989	25-29	0.00108	0.00540	2.56	97485	526	486141	5166747	53.00
1985-1989	30-34	0.00116	0.00579	2.44	96959	561	483356	4680607	48.27
1985-1989	35-39	0.00136	0.00679	2.49	96398	655	480345	4197251	43.54
1985-1989	40-44	0.00218	0.01082	2.56	95743	1036	476191	3716906	38.82
1985-1989	45-49	0.00356	0.01766	2.71	94707	1672	469706	3240715	34.22
1985-1989	50-54	0.00546	0.02693	2.6	93035	2506	459169	2771009	29.78
1985-1989	55-59	0.00852	0.04178	2.67	90529	3782	443851	2311840	25.54
1985-1989	60-64	0.01283	0.06228	2.69	86747	5403	421248	1867989	21.53
1985-1989	65-69	0.02045	0.09751	2.62	81344	7932	387877	1446741	17.79
1985-1989	70-74	0.03102	0.14433	2.59	73412	10595	341563	1058864	14.42
1985-1989	75-79	0.04666	0.20922	2.53	62817	13143	281687	717301	11.42
1985-1989	80-84	0.07089	0.30209	2.55	49674	15006	211669	435614	8.77
1985-1989	85-89	0.11467	0.44406	2.46	34668	15395	134248	223946	6.46
1985-1989	90-94	0.18179	0.61061	2.31	19274	11769	64739	89698	4.65
1985-1989	95-99	0.27777	0.76904	2.1	7505	5772	20779	24960	3.33
1985-1989	100-104	0.40181	0.88416	1.83	1733	1533	3814	4181	2.41
1985-1989	105-109	0.54267	0.94746	1.57	201	190	351	367	1.83
1985-1989	110+	0.65899	1.00000	1.52	11	11	16	16	1.52
1990-1994	0	0.01004	0.00994	0.08	100000	994	99081	7702928	77.03
1990-1994	1-4	0.00048	0.00192	1.71	99006	190	395586	7603847	76.80
1990-1994	5-9	0.00027	0.00133	2.14	98815	132	493701	7208261	72.95
1990-1994	10-14	0.00025	0.00125	2.93	98684	123	493163	6714560	68.04
1990-1994	15-19	0.00100	0.00498	2.74	98560	491	491691	6221397	63.12
1990-1994	20-24	0.00107	0.00531	2.72	98069	521	489159	5729706	58.43
1990-1994	25-29	0.00101	0.00505	2.67	97548	492	486594	5240546	53.72
1990-1994	30-34	0.00108	0.00540	2.59	97056	524	484017	4753952	48.98
1990-1994	35-39	0.00137	0.00681	2.72	96532	657	481158	4269936	44.23
1990-1994	40-44	0.00195	0.00973	2.73	95874	933	477255	3788777	39.52
1990-1994	45-49	0.00350	0.01735	2.62	94941	1647	470793	3311522	34.88
1990-1994	50-54	0.00477	0.02356	2.59	93294	2198	461184	2840729	30.45
1990-1994	55-59	0.00789	0.03871	2.66	91097	3526	447227	2379545	26.12
1990-1994	60-64	0.01206	0.05863	2.62	87570	5134	425633	1932318	22.07
1990-1994	65-69	0.01893	0.09058	2.62	82436	7467	394426	1506685	18.28
1990-1994	70-74	0.02898	0.13558	2.62	74969	10164	350682	1112259	14.84
1990-1994	75-79	0.04304	0.19490	2.58	64805	12630	293470	761577	11.75
1990-1994	80-84	0.06745	0.28966	2.57	52174	15113	224074	468107	8.97
1990-1994	85-89	0.11049	0.43196	2.48	37062	16009	144887	244032	6.58
1990-1994	90-94	0.17804	0.60317	2.33	21052	12698	71320	99145	4.71
1990-1994	95-99	0.27665	0.76829	2.11	8354	6418	23200	27825	3.33
1990-1994	100-104	0.40572	0.88726	1.83	1936	1718	4233	4625	2.39
1990-1994	105-109	0.55245	0.95062	1.55	218	207	376	392	1.79
1990-1994	110+	0.67294	1.00000	1.49	11	11	16	16	1.49
1995-1999	0	0.00853	0.00846	0.07	100000	846	99215	7749731	77.50
1995-1999	1-4	0.00041	0.00164	1.61	99154	162	396228	7650516	77.16
1995-1999	5-9	0.00019	0.00095	2.11	98992	94	494687	7254289	73.28
1995-1999	10-14	0.00032	0.00159	2.85	98898	157	494150	6759602	68.35
1995-1999	15-19	0.00090	0.00449	2.66	98741	443	492666	6265452	63.45
1995-1999	20-24	0.00095	0.00472	2.42	98297	464	490292	5772786	58.73
1995-1999	25-29	0.00108	0.00540	2.56	97834	528	487881	5282494	53.99
1995-1999	30-34	0.00117	0.00584	2.46	97306	569	485085	4794613	49.27
1995-1999	35-39	0.00151	0.00750	2.53	96737	726	481894	4309528	44.55
1995-1999	40-44	0.00197	0.00981	2.64	96011	942	477837	3827633	39.87
1995-1999	45-49	0.00307	0.01525	2.7	95069	1449	472013	3349796	35.24
1995-1999	50-54	0.00492	0.02434	2.68	93620	2279	462804	2877783	30.74
1995-1999	55-59	0.00752	0.03694	2.65	91341	3374	448774	2414979	26.44
1995-1999	60-64	0.01148	0.05588	2.63	87967	4916	428190	1966205	22.35
1995-1999	65-69	0.01739	0.08346	2.6	83052	6932	398602	1538015	18.52
1995-1999	70-74	0.02772	0.13008	2.64	76120	9902	357257	1139413	14.97
1995-1999	75-79	0.04141	0.18839	2.61	66218	12475	301282	782156	11.81
1995-1999	80-84	0.06660	0.28681	2.58	53743	15414	231439	480874	8.95
1995-1999	85-89	0.11206	0.43689	2.48	38329	16746	149429	249435	6.51
1995-1999	90-94	0.18216	0.61193	2.32	21583	13208	72505	100006	4.63
1995-1999	95-99	0.28181	0.77451	2.09	8376	6487	23020	27501	3.28
1995-1999	100-104	0.40906	0.88894	1.82	1889	1679	4104	4481	2.37
1995-1999	105-109	0.55162	0.95010	1.55	210	199	361	377	1.80
1995-1999	110+	0.66824	1.00000	1.5	10	10	16	16	1.50
2000-2004	0	0.00712	0.00707	0.07	100000	707	99341	7811748	78.12
2000-2004	1-4	0.00045	0.00179	1.78	99293	178	396776	7712407	77.67
2000-2004	5-9	0.00029	0.00144	2.26	99114	143	495181	7315631	73.81
2000-2004	10-14	0.00031	0.00157	3.02	98972	156	494551	6820450	68.91
2000-2004	15-19	0.00079	0.00393	2.73	98816	389	493201	6325899	64.02
2000-2004	20-24	0.00100	0.00500	2.52	98428	492	490915	5832698	59.26
2000-2004	25-29	0.00101	0.00502	2.47	97935	491	488434	5341783	54.54
2000-2004	30-34	0.00127	0.00634	2.65	97444	618	485772	4853350	49.81
2000-2004	35-39	0.00156	0.00778	2.64	96826	754	482355	4367578	45.11
2000-2004	40-44	0.00198	0.00985	2.65	96073	946	478138	3885222	40.44
2000-2004	45-49	0.00310	0.01539	2.59	95127	1464	472101	3407084	35.82
2000-2004	50-54	0.00450	0.02225	2.71	93663	2084	463540	2934982	31.34
2000-2004	55-59	0.00667	0.03285	2.67	91578	3008	450887	2471442	26.99
2000-2004	60-64	0.01051	0.05130	2.66	88570	4543	432242	2020555	22.81
2000-2004	65-69	0.01639	0.07888	2.61	84027	6628	404313	1588314	18.90
2000-2004	70-74	0.02531	0.11936	2.62	77399	9239	364988	1184000	15.30
2000-2004	75-79	0.04002	0.18270	2.62	68160	12453	311126	819012	12.02
2000-2004	80-84	0.06255	0.27199	2.6	55708	15152	242226	507887	9.12
2000-2004	85-89	0.10895	0.42813	2.5	40556	17363	159363	265660	6.55
2000-2004	90-94	0.18315	0.61497	2.33	23193	14263	77876	106298	4.58
2000-2004	95-99	0.29140	0.78744	2.08	8930	7032	24131	28422	3.18
2000-2004	100-104	0.43083	0.90276	1.78	1898	1714	3977	4291	2.26
2000-2004	105-109	0.58472	0.95911	1.5	185	177	303	313	1.70
2000-2004	110+	0.70747	1.00000	1.41	8	8	11	11	1.41
2005-2009	0	0.00734	0.00729	0.07	100000	729	99321	7894289	78.94
2005-2009	1-4	0.00033	0.00131	1.82	99271	130	396801	7794968	78.52
2005-2009	5-9	0.00018	0.00092	2.67	99141	92	495492	7398168	74.62
2005-2009	10-14	0.00021	0.00106	3.13	99049	105	495052	6902676	69.69
2005-2009	15-19	0.00086	0.00431	2.72	98945	426	493754	6407624	64.76
2005-2009	20-24	0.00098	0.00489	2.65	98519	482	491462	5913870	60.03
2005-2009	25-29	0.00100	0.00498	2.56	98037	488	488993	5422408	55.31
2005-2009	30-34	0.00113	0.00564	2.64	97549	550	486449	4933415	50.57
2005-2009	35-39	0.00145	0.00724	2.7	96999	703	483381	4446967	45.85
2005-2009	40-44	0.00204	0.01017	2.66	96296	979	479188	3963586	41.16
2005-2009	45-49	0.00300	0.01488	2.71	95317	1418	473333	3484397	36.56
2005-2009	50-54	0.00405	0.02006	2.63	93899	1884	465021	3011064	32.07
2005-2009	55-59	0.00637	0.03138	2.65	92015	2887	453291	2546043	27.67
2005-2009	60-64	0.01011	0.04938	2.63	89128	4401	435226	2092752	23.48
2005-2009	65-69	0.01509	0.07280	2.59	84727	6168	408790	1657526	19.56
2005-2009	70-74	0.02238	0.10622	2.62	78558	8345	372907	1248736	15.90
