PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
SD,m,1959,0,0.02984,0.02908,0.13,100000,2908,97456,6756214,67.56
SD,m,1959,1-4,0.00155,0.00619,1.65,97092,601,386956,6658758,68.58
SD,m,1959,5-9,0.00051,0.00255,2.4,96492,246,481818,6271802,65.00
SD,m,1959,10-14,0.00096,0.00477,3.31,96246,459,480453,5789984,60.16
SD,m,1959,15-19,0.00207,0.01028,3,95786,985,476966,5309531,55.43
SD,m,1959,20-24,0.00257,0.01278,2.28,94801,1211,470714,4832565,50.98
SD,m,1959,25-29,0.00220,0.01093,2.72,93590,1023,465617,4361851,46.61
SD,m,1959,30-34,0.00216,0.01073,2.76,92567,994,460605,3896234,42.09
SD,m,1959,35-39,0.00299,0.01485,2.59,91573,1360,454593,3435629,37.52
SD,m,1959,40-44,0.00400,0.01982,2.85,90213,1788,447228,2981036,33.04
SD,m,1959,45-49,0.00634,0.03124,2.67,88425,2762,435702,2533808,28.65
SD,m,1959,50-54,0.01015,0.04953,2.59,85663,4243,418089,2098106,24.49
SD,m,1959,55-59,0.01543,0.07446,2.66,81420,6063,392895,1680018,20.63
SD,m,1959,60-64,0.02284,0.10844,2.68,75357,8172,357804,1287123,17.08
SD,m,1959,65-69,0.03256,0.15110,2.62,67185,10152,311812,929318,13.83
SD,m,1959,70-74,0.05141,0.22781,2.5,57033,12992,252720,617507,10.83
SD,m,1959,75-79,0.07804,0.32688,2.52,44041,14396,184477,364787,8.28
SD,m,1959,80-84,0.12795,0.48085,2.42,29645,14255,111407,180310,6.08
SD,m,1959,85-89,0.19399,0.63395,2.27,15390,9756,50295,68903,4.48
SD,m,1959,90-94,0.28213,0.77249,2.07,5634,4352,15425,18608,3.30
SD,m,1959,95-99,0.39022,0.87428,1.84,1282,1121,2872,3184,2.48
SD,m,1959,100-104,0.51031,0.93543,1.61,161,151,295,312,1.94
SD,m,1959,105-109,0.62996,0.96686,1.42,10,10,16,16,1.58
SD,m,1959,110+,0.72206,1.00000,1.38,0,0,0,0,1.38
SD,m,1960,0,0.03400,0.03303,0.14,100000,3303,97147,6729037,67.29
SD,m,1960,1-4,0.00135,0.00537,1.94,96697,519,385720,6631890,68.58
SD,m,1960,5-9,0.00081,0.00402,2.62,96178,387,479969,6246170,64.94
SD,m,1960,10-14,0.00088,0.00439,2.83,95791,420,478043,5766201,60.20
SD,m,1960,15-19,0.00151,0.00752,2.86,95371,717,475317,5288159,55.45
SD,m,1960,20-24,0.00219,0.01087,1.97,94654,1029,470157,4812841,50.85
SD,m,1960,25-29,0.00235,0.01170,2.86,93625,1095,465778,4342684,46.38
SD,m,1960,30-34,0.00241,0.01200,2.54,92530,1110,459923,3876906,41.90
SD,m,1960,35-39,0.00280,0.01392,3.04,91420,1272,454611,3416982,37.38
SD,m,1960,40-44,0.00381,0.01888,2.67,90148,1702,446764,2962371,32.86
SD,m,1960,45-49,0.00579,0.02861,2.84,88446,2531,436763,2515607,28.44
SD,m,1960,50-54,0.00989,0.04830,2.6,85915,4150,419623,2078844,24.20
SD,m,1960,55-59,0.01654,0.07939,2.47,81765,6491,392403,1659221,20.29
SD,m,1960,60-64,0.02320,0.11028,2.76,75273,8301,357732,1266818,16.83
SD,m,1960,65-69,0.03431,0.15814,2.52,66972,10591,308648,909086,13.57
SD,m,1960,70-74,0.05261,0.23259,2.51,56382,13114,249268,600438,10.65
SD,m,1960,75-79,0.08285,0.34506,2.58,43268,14930,180200,351170,8.12
SD,m,1960,80-84,0.12955,0.48514,2.41,28338,13748,106122,170971,6.03
SD,m,1960,85-89,0.19589,0.63760,2.26,14590,9302,47488,64849,4.44
SD,m,1960,90-94,0.28418,0.77495,2.07,5287,4097,14418,17361,3.28
SD,m,1960,95-99,0.39216,0.87557,1.84,1190,1042,2657,2942,2.47
SD,m,1960,100-104,0.51187,0.93595,1.61,148,139,271,286,1.93
SD,m,1960,105-109,0.63097,0.96703,1.41,9,9,15,15,1.58
SD,m,1960,110+,0.72261,1.00000,1.38,0,0,0,0,1.38
SD,m,1961,0,0.02913,0.02840,0.12,100000,2840,97510,6787755,67.88
SD,m,1961,1-4,0.00089,0.00356,1.31,97160,346,387708,6690245,68.86
SD,m,1961,5-9,0.00062,0.00309,2.65,96813,299,483366,6302537,65.10
SD,m,1961,10-14,0.00074,0.00369,2.42,96514,356,481655,5819172,60.29
SD,m,1961,15-19,0.00169,0.00844,2.33,96158,811,478624,5337517,55.51
SD,m,1961,20-24,0.00272,0.01350,2.53,95347,1287,473552,4858893,50.96
SD,m,1961,25-29,0.00247,0.01229,2.42,94060,1156,467322,4385341,46.62
SD,m,1961,30-34,0.00254,0.01260,2.38,92904,1170,461453,3918018,42.17
SD,m,1961,35-39,0.00279,0.01387,2.65,91734,1273,455675,3456566,37.68
SD,m,1961,40-44,0.00381,0.01888,2.67,90461,1708,448333,3000891,33.17
SD,m,1961,45-49,0.00683,0.03366,2.77,88753,2987,437088,2552558,28.76
SD,m,1961,50-54,0.00987,0.04830,2.76,85766,4142,419535,2115469,24.67
SD,m,1961,55-59,0.01433,0.06929,2.63,81623,5656,394723,1695934,20.78
SD,m,1961,60-64,0.02298,0.10904,2.66,75968,8284,360480,1301212,17.13
SD,m,1961,65-69,0.03457,0.15984,2.65,67684,10819,312965,940732,13.90
