PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
TN,f,1960-1969,0,0.02351,0.02303,0.12,100000,2303,97971,7345372,73.45
TN,f,1960-1969,1-4,0.00098,0.00392,1.5,97697,383,389830,7247402,74.18
TN,f,1960-1969,5-9,0.00042,0.00208,2.3,97314,202,486024,6857572,70.47
TN,f,1960-1969,10-14,0.00035,0.00174,2.66,97112,169,485165,6371547,65.61
TN,f,1960-1969,15-19,0.00060,0.00298,2.75,96943,289,484064,5886382,60.72
TN,f,1960-1969,20-24,0.00078,0.00390,2.49,96654,377,482323,5402318,55.89
TN,f,1960-1969,25-29,0.00097,0.00485,2.65,96277,467,480288,4919995,51.10
TN,f,1960-1969,30-34,0.00131,0.00651,2.68,95810,624,477601,4439707,46.34
TN,f,1960-1969,35-39,0.00192,0.00954,2.65,95186,908,473793,3962106,41.62
TN,f,1960-1969,40-44,0.00296,0.01468,2.64,94278,1384,468123,3488313,37.00
TN,f,1960-1969,45-49,0.00434,0.02147,2.68,92894,1994,459845,3020189,32.51
TN,f,1960-1969,50-54,0.00621,0.03062,2.62,90900,2783,447886,2560345,28.17
TN,f,1960-1969,55-59,0.00931,0.04553,2.63,88117,4012,431088,2112459,23.97
TN,f,1960-1969,60-64,0.01400,0.06776,2.63,84105,5699,407018,1681371,19.99
TN,f,1960-1969,65-69,0.02197,0.10441,2.64,78406,8186,372692,1274353,16.25
TN,f,1960-1969,70-74,0.03487,0.16109,2.64,70220,11312,324394,901661,12.84
TN,f,1960-1969,75-79,0.05781,0.25353,2.58,58908,14935,258327,577267,9.80
TN,f,1960-1969,80-84,0.09683,0.39069,2.53,43973,17180,177430,318939,7.25
TN,f,1960-1969,85-89,0.15665,0.55442,2.37,26793,14855,94829,141509,5.28
TN,f,1960-1969,90-94,0.23022,0.69770,2.18,11939,8330,36181,46680,3.91
TN,f,1960-1969,95-99,0.32679,0.82192,1.98,3609,2966,9078,10499,2.91
TN,f,1960-1969,100-104,0.44278,0.90616,1.74,643,582,1315,1421,2.21
TN,f,1960-1969,105-109,0.56578,0.95267,1.52,60,57,102,106,1.76
TN,f,1960-1969,110+,0.66432,1.00000,1.51,3,3,4,4,1.51
TN,f,1970-1979,0,0.01622,0.01598,0.1,100000,1598,98559,7579165,75.79
TN,f,1970-1979,1-4,0.00068,0.00270,1.6,98402,266,392969,7480606,76.02
TN,f,1970-1979,5-9,0.00033,0.00164,2.34,98136,161,490251,7087637,72.22
TN,f,1970-1979,10-14,0.00028,0.00142,2.79,97975,139,489569,6597386,67.34
TN,f,1970-1979,15-19,0.00061,0.00307,2.8,97836,300,488523,6107817,62.43
TN,f,1970-1979,20-24,0.00070,0.00351,2.53,97536,342,486838,5619294,57.61
TN,f,1970-1979,25-29,0.00080,0.00397,2.6,97194,386,485047,5132456,52.81
TN,f,1970-1979,30-34,0.00105,0.00526,2.65,96809,509,482847,4647409,48.01
TN,f,1970-1979,35-39,0.00159,0.00791,2.72,96299,762,479762,4164562,43.25
TN,f,1970-1979,40-44,0.00252,0.01251,2.68,95537,1195,474910,3684800,38.57
TN,f,1970-1979,45-49,0.00382,0.01896,2.7,94342,1788,467603,3209890,34.02
TN,f,1970-1979,50-54,0.00576,0.02843,2.64,92554,2632,456562,2742287,29.63
TN,f,1970-1979,55-59,0.00810,0.03976,2.65,89922,3575,441200,2285725,25.42
TN,f,1970-1979,60-64,0.01219,0.05925,2.64,86347,5116,419650,1844525,21.36
TN,f,1970-1979,65-69,0.01835,0.08792,2.64,81231,7142,389265,1424875,17.54
TN,f,1970-1979,70-74,0.02957,0.13822,2.64,74089,10240,346251,1035610,13.98
TN,f,1970-1979,75-79,0.04871,0.21808,2.6,63849,13924,285868,689358,10.80
TN,f,1970-1979,80-84,0.08156,0.34005,2.56,49925,16977,208161,403491,8.08
TN,f,1970-1979,85-89,0.13209,0.49267,2.42,32948,16233,122889,195329,5.93
TN,f,1970-1979,90-94,0.20151,0.64854,2.25,16716,10841,53797,72441,4.33
TN,f,1970-1979,95-99,0.29515,0.78868,2.05,5875,4633,15699,18643,3.17
TN,f,1970-1979,100-104,0.41015,0.88792,1.81,1241,1102,2688,2945,2.37
TN,f,1970-1979,105-109,0.53610,0.94439,1.57,139,131,245,257,1.85
TN,f,1970-1979,110+,0.63882,1.00000,1.57,8,8,12,12,1.57
TN,f,1980-1989,0,0.01057,0.01047,0.08,100000,1047,99039,7774896,77.75
TN,f,1980-1989,1-4,0.00045,0.00180,1.59,98953,178,395382,7675857,77.57
TN,f,1980-1989,5-9,0.00022,0.00112,2.27,98775,110,493572,7280475,73.71
TN,f,1980-1989,10-14,0.00025,0.00125,2.64,98664,123,493032,6786903,68.79
TN,f,1980-1989,15-19,0.00053,0.00267,2.76,98541,263,492117,6293871,63.87
TN,f,1980-1989,20-24,0.00058,0.00288,2.56,98278,283,490700,5801754,59.03
TN,f,1980-1989,25-29,0.00072,0.00357,2.62,97995,350,489141,5311054,54.20
TN,f,1980-1989,30-34,0.00087,0.00434,2.62,97645,424,487215,4821912,49.38
TN,f,1980-1989,35-39,0.00125,0.00623,2.7,97221,605,484714,4334698,44.59
