PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
TN,m,1960-1964,0,0.03338,0.03244,0.13,100000,3244,97192,6620249,66.20
TN,m,1960-1964,1,0.00181,0.00181,0.5,96756,175,96668,6523056,67.42
TN,m,1960-1964,2,0.00120,0.00120,0.5,96580,116,96522,6426388,66.54
TN,m,1960-1964,3,0.00080,0.00080,0.5,96465,77,96426,6329866,65.62
TN,m,1960-1964,4,0.00076,0.00076,0.5,96387,73,96351,6233440,64.67
TN,m,1960-1964,5,0.00060,0.00060,0.5,96314,57,96285,6137089,63.72
TN,m,1960-1964,6,0.00050,0.00050,0.5,96257,48,96232,6040804,62.76
TN,m,1960-1964,7,0.00055,0.00055,0.5,96208,53,96182,5944572,61.79
TN,m,1960-1964,8,0.00049,0.00049,0.5,96155,47,96131,5848390,60.82
TN,m,1960-1964,9,0.00050,0.00050,0.5,96108,48,96084,5752259,59.85
TN,m,1960-1964,10,0.00052,0.00052,0.5,96060,50,96035,5656175,58.88
TN,m,1960-1964,11,0.00057,0.00057,0.5,96010,55,95982,5560140,57.91
TN,m,1960-1964,12,0.00051,0.00051,0.5,95955,49,95930,5464158,56.95
TN,m,1960-1964,13,0.00062,0.00062,0.5,95906,59,95876,5368228,55.97
TN,m,1960-1964,14,0.00082,0.00082,0.5,95846,79,95807,5272352,55.01
TN,m,1960-1964,15,0.00089,0.00089,0.5,95768,85,95725,5176545,54.05
TN,m,1960-1964,16,0.00137,0.00137,0.5,95683,131,95617,5080819,53.10
TN,m,1960-1964,17,0.00156,0.00156,0.5,95552,149,95477,4985202,52.17
TN,m,1960-1964,18,0.00154,0.00154,0.5,95403,147,95329,4889725,51.25
TN,m,1960-1964,19,0.00170,0.00170,0.5,95256,162,95175,4794395,50.33
TN,m,1960-1964,20,0.00182,0.00182,0.5,95094,173,95008,4699220,49.42
TN,m,1960-1964,21,0.00189,0.00189,0.5,94921,179,94832,4604213,48.51
TN,m,1960-1964,22,0.00185,0.00185,0.5,94742,175,94655,4509381,47.60
TN,m,1960-1964,23,0.00178,0.00178,0.5,94567,168,94483,4414726,46.68
TN,m,1960-1964,24,0.00192,0.00191,0.5,94399,181,94309,4320243,45.77
TN,m,1960-1964,25,0.00192,0.00192,0.5,94219,181,94128,4225934,44.85
TN,m,1960-1964,26,0.00206,0.00206,0.5,94038,193,93941,4131806,43.94
TN,m,1960-1964,27,0.00204,0.00204,0.5,93845,191,93749,4037865,43.03
TN,m,1960-1964,28,0.00208,0.00208,0.5,93653,195,93556,3944116,42.11
TN,m,1960-1964,29,0.00196,0.00196,0.5,93458,183,93367,3850560,41.20
TN,m,1960-1964,30,0.00214,0.00214,0.5,93275,199,93175,3757193,40.28
TN,m,1960-1964,31,0.00218,0.00218,0.5,93076,203,92974,3664018,39.37
TN,m,1960-1964,32,0.00237,0.00236,0.5,92873,219,92763,3571043,38.45
TN,m,1960-1964,33,0.00247,0.00247,0.5,92654,228,92539,3478280,37.54
TN,m,1960-1964,34,0.00302,0.00301,0.5,92425,279,92286,3385741,36.63
TN,m,1960-1964,35,0.00283,0.00283,0.5,92147,260,92016,3293455,35.74
TN,m,1960-1964,36,0.00305,0.00304,0.5,91886,280,91746,3201439,34.84
TN,m,1960-1964,37,0.00325,0.00324,0.5,91607,297,91458,3109692,33.95
TN,m,1960-1964,38,0.00354,0.00353,0.5,91309,322,91148,3018234,33.06
TN,m,1960-1964,39,0.00382,0.00382,0.5,90987,347,90813,2927086,32.17
TN,m,1960-1964,40,0.00442,0.00441,0.5,90640,400,90440,2836273,31.29
TN,m,1960-1964,41,0.00461,0.00460,0.5,90240,415,90033,2745833,30.43
TN,m,1960-1964,42,0.00492,0.00490,0.5,89825,441,89605,2655800,29.57
TN,m,1960-1964,43,0.00581,0.00580,0.5,89385,518,89125,2566195,28.71
TN,m,1960-1964,44,0.00636,0.00633,0.5,88866,563,88585,2477070,27.87
TN,m,1960-1964,45,0.00641,0.00639,0.5,88303,565,88021,2388485,27.05
TN,m,1960-1964,46,0.00715,0.00712,0.5,87739,625,87426,2300463,26.22
TN,m,1960-1964,47,0.00807,0.00803,0.5,87114,700,86764,2213037,25.40
TN,m,1960-1964,48,0.00891,0.00887,0.5,86414,767,86031,2126273,24.61
TN,m,1960-1964,49,0.00984,0.00979,0.5,85647,839,85228,2040242,23.82
TN,m,1960-1964,50,0.01029,0.01024,0.5,84808,868,84374,1955015,23.05
TN,m,1960-1964,51,0.01207,0.01200,0.5,83940,1007,83437,1870640,22.29
TN,m,1960-1964,52,0.01359,0.01350,0.5,82933,1119,82374,1787203,21.55
TN,m,1960-1964,53,0.01367,0.01358,0.5,81814,1111,81259,1704830,20.84
TN,m,1960-1964,54,0.01458,0.01448,0.5,80703,1168,80119,1623571,20.12
TN,m,1960-1964,55,0.01600,0.01587,0.5,79535,1262,78904,1543452,19.41
TN,m,1960-1964,56,0.01724,0.01709,0.5,78273,1338,77604,1464548,18.71
TN,m,1960-1964,57,0.01922,0.01903,0.5,76935,1464,76203,1386944,18.03
