TN: Tennessee, Lifetables (period 5x5), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.03338	0.03244	0.13	100000	3244	97192	6620249	66.20
1960-1964	1-4	0.00114	0.00456	1.61	96756	442	385967	6523056	67.42
1960-1964	5-9	0.00053	0.00264	2.42	96314	254	480914	6137089	63.72
1960-1964	10-14	0.00061	0.00304	2.71	96060	292	479630	5656175	58.88
1960-1964	15-19	0.00141	0.00703	2.75	95768	674	477324	5176545	54.05
1960-1964	20-24	0.00185	0.00921	2.51	95094	876	473286	4699220	49.42
1960-1964	25-29	0.00201	0.01001	2.51	94219	943	468741	4225934	44.85
1960-1964	30-34	0.00243	0.01210	2.66	93275	1129	463738	3757193	40.28
1960-1964	35-39	0.00330	0.01635	2.64	92147	1507	457182	3293455	35.74
1960-1964	40-44	0.00522	0.02578	2.68	90640	2336	447788	2836273	31.29
1960-1964	45-49	0.00806	0.03958	2.7	88303	3495	433470	2388485	27.05
1960-1964	50-54	0.01281	0.06218	2.63	84808	5273	411563	1955015	23.05
1960-1964	55-59	0.01888	0.09032	2.62	79535	7184	380587	1543452	19.41
1960-1964	60-64	0.02723	0.12793	2.64	72351	9256	339906	1162864	16.07
1960-1964	65-69	0.04054	0.18442	2.56	63095	11636	287038	822958	13.04
1960-1964	70-74	0.05825	0.25473	2.54	51459	13108	225044	535920	10.41
1960-1964	75-79	0.08397	0.34642	2.47	38351	13286	158209	310876	8.11
1960-1964	80-84	0.12773	0.48027	2.42	25066	12038	94246	152667	6.09
1960-1964	85-89	0.19759	0.64184	2.27	13027	8361	42317	58421	4.48
1960-1964	90-94	0.27038	0.75260	2.05	4666	3512	12987	16104	3.45
1960-1964	95-99	0.35687	0.84738	1.9	1154	978	2741	3116	2.70
1960-1964	100-104	0.46151	0.91413	1.7	176	161	349	375	2.13
1960-1964	105-109	0.57000	0.95295	1.51	15	14	25	26	1.74
1960-1964	110+	0.65668	1.00000	1.52	1	1	1	1	1.52
1965-1969	0	0.02850	0.02780	0.12	100000	2780	97557	6609718	66.10
1965-1969	1-4	0.00105	0.00417	1.53	97220	406	387876	6512161	66.98
1965-1969	5-9	0.00052	0.00259	2.37	96814	251	483410	6124285	63.26
1965-1969	10-14	0.00061	0.00304	2.81	96563	293	482173	5640875	58.42
1965-1969	15-19	0.00174	0.00865	2.82	96270	833	479534	5158702	53.59
1965-1969	20-24	0.00209	0.01041	2.56	95437	993	474761	4679168	49.03
1965-1969	25-29	0.00206	0.01026	2.48	94444	969	469773	4204407	44.52
1965-1969	30-34	0.00238	0.01183	2.66	93475	1106	464789	3734634	39.95
1965-1969	35-39	0.00348	0.01725	2.63	92369	1593	458073	3269845	35.40
1965-1969	40-44	0.00548	0.02707	2.7	90776	2458	448220	2811772	30.97
1965-1969	45-49	0.00827	0.04059	2.67	88318	3585	433255	2363551	26.76
1965-1969	50-54	0.01327	0.06432	2.64	84733	5450	410807	1930297	22.78
1965-1969	55-59	0.01929	0.09220	2.61	79283	7310	378965	1519489	19.17
1965-1969	60-64	0.02804	0.13143	2.61	71973	9459	337301	1140525	15.85
1965-1969	65-69	0.04152	0.18844	2.55	62514	11780	283741	803224	12.85
1965-1969	70-74	0.06095	0.26534	2.56	50734	13461	220855	519483	10.24
1965-1969	75-79	0.08810	0.35979	2.45	37272	13410	152212	298628	8.01
1965-1969	80-84	0.12780	0.48185	2.45	23862	11498	89972	146417	6.14
1965-1969	85-89	0.19408	0.63484	2.28	12364	7849	40444	56445	4.57
1965-1969	90-94	0.26038	0.74532	2.13	4515	3365	12923	16001	3.54
1965-1969	95-99	0.36013	0.85031	1.9	1150	978	2715	3077	2.68
1965-1969	100-104	0.46704	0.91689	1.69	172	158	338	363	2.11
1965-1969	105-109	0.57745	0.95497	1.5	14	14	24	25	1.72
1965-1969	110+	0.66533	1.00000	1.5	1	1	1	1	1.50
1970-1974	0	0.02301	0.02255	0.11	100000	2255	97986	6646283	66.46
1970-1974	1-4	0.00091	0.00364	1.59	97745	356	390124	6548297	66.99
1970-1974	5-9	0.00051	0.00253	2.36	97389	246	486297	6158173	63.23
1970-1974	10-14	0.00061	0.00303	2.84	97143	294	485082	5671876	58.39
1970-1974	15-19	0.00181	0.00899	2.79	96849	871	482319	5186793	53.56
1970-1974	20-24	0.00239	0.01188	2.56	95978	1141	477110	4704475	49.02
