PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
TX,b,1960-1964,0,0.02810,0.02743,0.13,100000,2743,97604,7047736,70.48
TX,b,1960-1964,1,0.00219,0.00219,0.5,97257,213,97151,6950133,71.46
TX,b,1960-1964,2,0.00115,0.00115,0.5,97045,112,96989,6852982,70.62
TX,b,1960-1964,3,0.00085,0.00085,0.5,96933,82,96892,6755993,69.70
TX,b,1960-1964,4,0.00068,0.00068,0.5,96851,66,96818,6659101,68.76
TX,b,1960-1964,5,0.00058,0.00058,0.5,96785,56,96757,6562283,67.80
TX,b,1960-1964,6,0.00056,0.00056,0.5,96729,54,96702,6465526,66.84
TX,b,1960-1964,7,0.00044,0.00044,0.5,96675,42,96654,6368824,65.88
TX,b,1960-1964,8,0.00045,0.00045,0.5,96633,43,96611,6272170,64.91
TX,b,1960-1964,9,0.00039,0.00039,0.5,96590,38,96571,6175559,63.94
TX,b,1960-1964,10,0.00039,0.00039,0.5,96552,38,96533,6078988,62.96
TX,b,1960-1964,11,0.00038,0.00038,0.5,96514,37,96495,5982456,61.99
TX,b,1960-1964,12,0.00040,0.00040,0.5,96477,39,96457,5885961,61.01
TX,b,1960-1964,13,0.00048,0.00048,0.5,96438,46,96415,5789503,60.03
TX,b,1960-1964,14,0.00061,0.00061,0.5,96392,59,96362,5693089,59.06
TX,b,1960-1964,15,0.00074,0.00074,0.5,96332,72,96297,5596727,58.10
TX,b,1960-1964,16,0.00091,0.00091,0.5,96261,87,96217,5500430,57.14
TX,b,1960-1964,17,0.00099,0.00099,0.5,96173,95,96126,5404213,56.19
TX,b,1960-1964,18,0.00107,0.00107,0.5,96078,103,96027,5308087,55.25
TX,b,1960-1964,19,0.00132,0.00132,0.5,95976,126,95913,5212060,54.31
TX,b,1960-1964,20,0.00122,0.00122,0.5,95850,117,95791,5116147,53.38
TX,b,1960-1964,21,0.00134,0.00134,0.5,95733,128,95668,5020356,52.44
TX,b,1960-1964,22,0.00142,0.00142,0.5,95604,135,95536,4924688,51.51
TX,b,1960-1964,23,0.00136,0.00135,0.5,95469,129,95404,4829152,50.58
TX,b,1960-1964,24,0.00141,0.00141,0.5,95339,134,95272,4733748,49.65
TX,b,1960-1964,25,0.00134,0.00134,0.5,95205,128,95141,4638475,48.72
TX,b,1960-1964,26,0.00134,0.00134,0.5,95077,128,95013,4543335,47.79
