TX: Texas, Lifetables (period 1x10), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02291	0.02246	0.12	100000	2246	98017	7450203	74.50
1960-1969	1	0.00192	0.00191	0.5	97754	187	97661	7352186	75.21
1960-1969	2	0.00104	0.00104	0.5	97567	101	97517	7254525	74.35
1960-1969	3	0.00073	0.00073	0.5	97466	71	97430	7157009	73.43
1960-1969	4	0.00059	0.00059	0.5	97395	58	97366	7059578	72.48
1960-1969	5	0.00051	0.00051	0.5	97337	50	97312	6962213	71.53
1960-1969	6	0.00045	0.00045	0.5	97287	43	97265	6864901	70.56
1960-1969	7	0.00036	0.00036	0.5	97243	35	97226	6767636	69.59
1960-1969	8	0.00036	0.00036	0.5	97208	35	97191	6670410	68.62
1960-1969	9	0.00031	0.00031	0.5	97173	30	97158	6573219	67.64
1960-1969	10	0.00027	0.00027	0.5	97143	26	97130	6476061	66.66
1960-1969	11	0.00030	0.00030	0.5	97117	29	97102	6378931	65.68
1960-1969	12	0.00034	0.00034	0.5	97088	33	97071	6281828	64.70
1960-1969	13	0.00032	0.00032	0.5	97054	31	97039	6184757	63.72
1960-1969	14	0.00038	0.00038	0.5	97023	37	97005	6087718	62.74
1960-1969	15	0.00050	0.00050	0.5	96987	48	96962	5990714	61.77
1960-1969	16	0.00054	0.00054	0.5	96938	52	96912	5893751	60.80
1960-1969	17	0.00062	0.00062	0.5	96886	60	96856	5796839	59.83
1960-1969	18	0.00067	0.00067	0.5	96826	65	96793	5699983	58.87
1960-1969	19	0.00077	0.00077	0.5	96761	74	96724	5603190	57.91
1960-1969	20	0.00073	0.00073	0.5	96687	71	96652	5506466	56.95
1960-1969	21	0.00079	0.00079	0.5	96616	77	96578	5409814	55.99
1960-1969	22	0.00081	0.00081	0.5	96540	78	96501	5313236	55.04
1960-1969	23	0.00079	0.00079	0.5	96462	77	96424	5216735	54.08
1960-1969	24	0.00090	0.00090	0.5	96385	87	96342	5120312	53.12
1960-1969	25	0.00090	0.00090	0.5	96299	86	96255	5023970	52.17
1960-1969	26	0.00086	0.00086	0.5	96212	83	96171	4927714	51.22
1960-1969	27	0.00085	0.00085	0.5	96130	81	96089	4831543	50.26
1960-1969	28	0.00099	0.00099	0.5	96048	95	96001	4735455	49.30
1960-1969	29	0.00098	0.00098	0.5	95953	94	95906	4639454	48.35
1960-1969	30	0.00102	0.00102	0.5	95859	97	95811	4543547	47.40
1960-1969	31	0.00113	0.00113	0.5	95762	109	95708	4447737	46.45
1960-1969	32	0.00122	0.00122	0.5	95653	116	95595	4352029	45.50
1960-1969	33	0.00132	0.00131	0.5	95537	126	95474	4256434	44.55
1960-1969	34	0.00146	0.00146	0.5	95411	139	95342	4160960	43.61
1960-1969	35	0.00158	0.00158	0.5	95272	151	95197	4065618	42.67
1960-1969	36	0.00164	0.00163	0.5	95122	155	95044	3970421	41.74
