TX: Texas, Lifetables (period 5x1), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02619	0.02561	0.13	100000	2561	97763	7413839	74.14
1959	1-4	0.00118	0.00470	1.45	97439	458	388589	7316076	75.08
1959	5-9	0.00046	0.00231	2.4	96981	224	484321	6927487	71.43
1959	10-14	0.00038	0.00189	2.75	96757	183	483373	6443166	66.59
1959	15-19	0.00065	0.00327	2.69	96574	316	482143	5959793	61.71
1959	20-24	0.00079	0.00394	2.5	96259	379	480347	5477650	56.91
1959	25-29	0.00094	0.00468	2.48	95880	449	478264	4997304	52.12
1959	30-34	0.00131	0.00652	2.63	95431	622	475678	4519039	47.35
1959	35-39	0.00172	0.00858	2.64	94809	813	472121	4043361	42.65
1959	40-44	0.00266	0.01322	2.69	93996	1243	467103	3571240	37.99
1959	45-49	0.00403	0.01995	2.7	92753	1850	459517	3104137	33.47
1959	50-54	0.00592	0.02919	2.7	90903	2654	448417	2644620	29.09
1959	55-59	0.00851	0.04173	2.67	88249	3683	432646	2196204	24.89
1959	60-64	0.01245	0.06047	2.61	84566	5114	410599	1763558	20.85
1959	65-69	0.01940	0.09271	2.61	79452	7366	379686	1352958	17.03
1959	70-74	0.03102	0.14455	2.65	72086	10420	335915	973272	13.50
1959	75-79	0.05221	0.23251	2.65	61666	14338	274638	637357	10.34
1959	80-84	0.08858	0.36400	2.55	47328	17227	194489	362720	7.66
1959	85-89	0.14326	0.52214	2.4	30100	15717	109703	168230	5.59
1959	90-94	0.22073	0.67726	2.15	14384	9742	44133	58527	4.07
1959	95-99	0.30374	0.79784	2.03	4642	3704	12194	14394	3.10
1959	100-104	0.41572	0.89087	1.79	938	836	2011	2200	2.34
1959	105-109	0.53735	0.94448	1.57	102	97	180	189	1.84
1959	110+	0.63635	1.00000	1.57	6	6	9	9	1.57
1960	0	0.02632	0.02573	0.13	100000	2573	97753	7391256	73.91
1960	1-4	0.00130	0.00517	1.55	97427	503	388474	7293503	74.86
1960	5-9	0.00046	0.00228	2.3	96924	221	484021	6905029	71.24
1960	10-14	0.00032	0.00159	2.59	96703	153	483143	6421008	66.40
1960	15-19	0.00055	0.00275	2.74	96549	265	482145	5937865	61.50
1960	20-24	0.00079	0.00395	2.72	96284	380	480551	5455719	56.66
1960	25-29	0.00086	0.00428	2.45	95903	411	478468	4975168	51.88
1960	30-34	0.00128	0.00636	2.54	95493	607	475968	4496700	47.09
1960	35-39	0.00170	0.00845	2.65	94885	802	472543	4020732	42.37
1960	40-44	0.00277	0.01378	2.72	94084	1297	467455	3548190	37.71
1960	45-49	0.00386	0.01911	2.67	92787	1773	459795	3080734	33.20
1960	50-54	0.00597	0.02941	2.63	91014	2677	448731	2620939	28.80
1960	55-59	0.00892	0.04372	2.73	88337	3862	432914	2172208	24.59
1960	60-64	0.01282	0.06223	2.66	84475	5257	410099	1739294	20.59
1960	65-69	0.01993	0.09515	2.63	79218	7538	378259	1329195	16.78
1960	70-74	0.03261	0.15143	2.64	71680	10854	332812	950936	13.27
1960	75-79	0.05275	0.23406	2.6	60826	14237	269901	618124	10.16
1960	80-84	0.09132	0.37267	2.53	46589	17362	190126	348224	7.47
1960	85-89	0.15152	0.54166	2.37	29227	15831	104480	158098	5.41
1960	90-94	0.22372	0.68884	2.21	13396	9228	41246	53618	4.00
1960	95-99	0.31913	0.81451	1.99	4168	3395	10639	12373	2.97
1960	100-104	0.43594	0.90271	1.75	773	698	1601	1734	2.24
1960	105-109	0.56070	0.95142	1.53	75	72	128	133	1.77
1960	110+	0.66098	1.00000	1.51	4	4	6	6	1.51
1961	0	0.02342	0.02295	0.12	100000	2295	97977	7462332	74.62
1961	1-4	0.00106	0.00422	1.52	97705	412	389800	7364354	75.37
1961	5-9	0.00042	0.00210	2.31	97293	204	485917	6974555	71.69
1961	10-14	0.00032	0.00158	2.63	97089	153	485081	6488638	66.83
1961	15-19	0.00056	0.00278	2.47	96936	270	483996	6003557	61.93
1961	20-24	0.00072	0.00360	2.67	96666	348	482520	5519561	57.10
1961	25-29	0.00094	0.00468	2.69	96318	451	480548	5037041	52.30
1961	30-34	0.00115	0.00572	2.63	95867	549	478037	4556492	47.53
1961	35-39	0.00181	0.00902	2.63	95319	859	474561	4078455	42.79
1961	40-44	0.00260	0.01290	2.7	94459	1219	469498	3603894	38.15
1961	45-49	0.00397	0.01968	2.69	93241	1835	461973	3134397	33.62
1961	50-54	0.00585	0.02885	2.63	91406	2637	450786	2672423	29.24
1961	55-59	0.00787	0.03861	2.63	88769	3427	435713	2221638	25.03
1961	60-64	0.01269	0.06159	2.59	85342	5256	414063	1785924	20.93
1961	65-69	0.01898	0.09080	2.63	80086	7272	383160	1371862	17.13
1961	70-74	0.03065	0.14284	2.62	72814	10401	339302	988702	13.58
1961	75-79	0.05000	0.22315	2.59	62413	13927	278564	649400	10.40
1961	80-84	0.08751	0.35964	2.52	48486	17437	199254	370836	7.65
1961	85-89	0.14373	0.52379	2.41	31048	16263	113147	171583	5.53
1961	90-94	0.22817	0.69684	2.21	14786	10303	45155	58435	3.95
1961	95-99	0.31939	0.81531	2	4482	3655	11442	13280	2.96
1961	100-104	0.44057	0.90560	1.75	828	750	1702	1838	2.22
1961	105-109	0.56975	0.95406	1.51	78	75	131	136	1.74
1961	110+	0.67302	1.00000	1.49	4	4	5	5	1.49
1962	0	0.02369	0.02320	0.12	100000	2320	97956	7414718	74.15
1962	1-4	0.00120	0.00480	1.43	97680	469	389511	7316761	74.91
1962	5-9	0.00043	0.00213	2.16	97210	207	485464	6927250	71.26
1962	10-14	0.00032	0.00160	2.65	97003	155	484650	6441786	66.41
1962	15-19	0.00059	0.00296	2.81	96848	287	483610	5957135	61.51
1962	20-24	0.00071	0.00353	2.7	96561	341	482021	5473526	56.68
1962	25-29	0.00098	0.00487	2.64	96220	469	479994	4991504	51.88
1962	30-34	0.00123	0.00615	2.67	95751	588	477387	4511510	47.12
1962	35-39	0.00176	0.00877	2.68	95163	834	473876	4034123	42.39
1962	40-44	0.00287	0.01426	2.7	94329	1345	468549	3560247	37.74
1962	45-49	0.00410	0.02030	2.6	92983	1888	460394	3091699	33.25
1962	50-54	0.00580	0.02861	2.63	91096	2606	449308	2631305	28.89
1962	55-59	0.00822	0.04029	2.61	88489	3565	433936	2181997	24.66
1962	60-64	0.01302	0.06317	2.68	84924	5365	412174	1748061	20.58
1962	65-69	0.02056	0.09800	2.61	79559	7797	379188	1335887	16.79
1962	70-74	0.03086	0.14376	2.62	71762	10316	334277	956700	13.33
1962	75-79	0.05228	0.23223	2.6	61446	14270	272930	622422	10.13
1962	80-84	0.09266	0.37804	2.57	47176	17834	192463	349492	7.41
1962	85-89	0.15008	0.54297	2.45	29342	15932	106155	157029	5.35
1962	90-94	0.23772	0.71042	2.17	13410	9527	40076	50874	3.79
1962	95-99	0.34298	0.83846	1.95	3883	3256	9493	10798	2.78
1962	100-104	0.47226	0.92133	1.69	627	578	1224	1305	2.08
1962	105-109	0.60616	0.96276	1.46	49	48	78	81	1.64
1962	110+	0.71050	1.00000	1.41	2	2	3	3	1.41
1963	0	0.02469	0.02417	0.12	100000	2417	97878	7411598	74.12
1963	1-4	0.00114	0.00453	1.53	97583	442	389242	7313720	74.95
1963	5-9	0.00039	0.00192	2.22	97141	187	485185	6924478	71.28
1963	10-14	0.00034	0.00170	2.58	96954	165	484372	6439293	66.42
1963	15-19	0.00062	0.00310	2.61	96790	300	483233	5954920	61.52
1963	20-24	0.00083	0.00416	2.55	96490	402	481463	5471688	56.71
1963	25-29	0.00088	0.00439	2.61	96088	422	479432	4990224	51.93
1963	30-34	0.00133	0.00661	2.62	95666	633	476829	4510793	47.15
1963	35-39	0.00199	0.00990	2.77	95034	940	473076	4033964	42.45
1963	40-44	0.00279	0.01386	2.61	94093	1304	467348	3560888	37.84
1963	45-49	0.00390	0.01931	2.64	92789	1792	459719	3093540	33.34
1963	50-54	0.00592	0.02920	2.67	90997	2658	448788	2633821	28.94
1963	55-59	0.00861	0.04216	2.6	88340	3725	432771	2185034	24.73
1963	60-64	0.01303	0.06324	2.67	84615	5351	410589	1752263	20.71
1963	65-69	0.01979	0.09439	2.57	79264	7482	378132	1341673	16.93
1963	70-74	0.03126	0.14544	2.61	71782	10440	334008	963541	13.42
1963	75-79	0.05096	0.22665	2.56	61342	13903	272821	629533	10.26
1963	80-84	0.09175	0.37521	2.57	47439	17800	193998	356712	7.52
1963	85-89	0.14554	0.52620	2.37	29639	15596	107158	162714	5.49
1963	90-94	0.22731	0.69246	2.18	14043	9724	42779	55556	3.96
1963	95-99	0.32020	0.81577	1.99	4319	3523	11003	12777	2.96
1963	100-104	0.43862	0.90429	1.75	796	719	1640	1774	2.23
1963	105-109	0.56490	0.95263	1.52	76	73	128	134	1.76
1963	110+	0.66614	1.00000	1.5	4	4	5	5	1.50
1964	0	0.02402	0.02353	0.12	100000	2353	97930	7453136	74.53
1964	1-4	0.00112	0.00446	1.36	97647	435	389439	7355206	75.32
1964	5-9	0.00040	0.00198	2.18	97212	193	485516	6965767	71.66
1964	10-14	0.00035	0.00174	2.76	97019	169	484719	6480251	66.79
1964	15-19	0.00065	0.00325	2.69	96851	315	483526	5995533	61.90
1964	20-24	0.00083	0.00413	2.61	96536	399	481726	5512006	57.10
1964	25-29	0.00085	0.00426	2.43	96137	410	479631	5030280	52.32
1964	30-34	0.00114	0.00566	2.68	95727	542	477378	4550650	47.54
1964	35-39	0.00192	0.00954	2.65	95185	908	473789	4073271	42.79
1964	40-44	0.00271	0.01346	2.79	94277	1269	468585	3599482	38.18
1964	45-49	0.00390	0.01931	2.68	93008	1796	460865	3130897	33.66
1964	50-54	0.00590	0.02908	2.66	91212	2652	449855	2670032	29.27
1964	55-59	0.00860	0.04215	2.64	88560	3733	433979	2220177	25.07
1964	60-64	0.01235	0.06002	2.68	84827	5092	412327	1786199	21.06
1964	65-69	0.01934	0.09250	2.64	79735	7376	381295	1373872	17.23
1964	70-74	0.03027	0.14126	2.64	72359	10222	337673	992577	13.72
1964	75-79	0.04883	0.21783	2.53	62138	13536	277202	654905	10.54
1964	80-84	0.08546	0.35364	2.56	48602	17188	201113	377702	7.77
1964	85-89	0.14140	0.51924	2.44	31415	16312	115359	176589	5.62
1964	90-94	0.21864	0.67685	2.19	15103	10222	46754	61230	4.05
1964	95-99	0.31874	0.81494	2	4880	3977	12478	14476	2.97
1964	100-104	0.44212	0.90663	1.75	903	819	1852	1998	2.21
1964	105-109	0.57360	0.95517	1.51	84	81	140	146	1.73
1964	110+	0.67846	1.00000	1.47	4	4	6	6	1.47
1965	0	0.02201	0.02159	0.11	100000	2159	98089	7479809	74.80
1965	1-4	0.00106	0.00422	1.45	97841	413	390314	7381720	75.45
1965	5-9	0.00040	0.00197	2.29	97429	192	486622	6991406	71.76
1965	10-14	0.00031	0.00156	2.72	97236	152	485834	6504784	66.90
1965	15-19	0.00051	0.00254	2.65	97084	246	484842	6018949	62.00
1965	20-24	0.00086	0.00431	2.55	96838	417	483170	5534107	57.15
