TX: Texas, Lifetables (period 5x1), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.03361	0.03266	0.14	100000	3266	97176	6704208	67.04
1959	1-4	0.00133	0.00531	1.63	96734	514	385720	6607032	68.30
1959	5-9	0.00056	0.00279	2.37	96220	269	480395	6221312	64.66
1959	10-14	0.00063	0.00315	2.84	95952	302	479106	5740917	59.83
1959	15-19	0.00135	0.00673	2.64	95650	644	476732	5261812	55.01
1959	20-24	0.00199	0.00992	2.38	95006	943	472554	4785080	50.37
1959	25-29	0.00196	0.00975	2.46	94063	918	467989	4312525	45.85
1959	30-34	0.00216	0.01076	2.6	93145	1002	463320	3844536	41.27
1959	35-39	0.00309	0.01533	2.68	92143	1413	457443	3381216	36.70
1959	40-44	0.00451	0.02232	2.69	90730	2025	448970	2923773	32.22
1959	45-49	0.00711	0.03496	2.66	88706	3101	436275	2474803	27.90
1959	50-54	0.01157	0.05631	2.63	85604	4820	416583	2038528	23.81
1959	55-59	0.01745	0.08373	2.6	80784	6764	387685	1621945	20.08
1959	60-64	0.02565	0.12080	2.6	74020	8942	348633	1234260	16.67
1959	65-69	0.03782	0.17328	2.59	65079	11277	298170	885627	13.61
1959	70-74	0.05270	0.23293	2.51	53802	12532	237809	587457	10.92
1959	75-79	0.07799	0.32714	2.54	41270	13501	173122	349648	8.47
1959	80-84	0.12301	0.46915	2.47	27769	13028	105903	176526	6.36
1959	85-89	0.18415	0.61661	2.32	14741	9090	49360	70623	4.79
1959	90-94	0.24370	0.72034	2.16	5652	4071	16705	21263	3.76
1959	95-99	0.33196	0.82460	1.95	1581	1303	3926	4558	2.88
1959	100-104	0.42963	0.89717	1.75	277	249	579	632	2.28
1959	105-109	0.53329	0.94198	1.57	29	27	50	53	1.86
1959	110+	0.61738	1.00000	1.62	2	2	3	3	1.62
1960	0	0.03376	0.03281	0.14	100000	3281	97164	6679493	66.79
1960	1-4	0.00137	0.00545	1.57	96719	527	385597	6582329	68.06
1960	5-9	0.00059	0.00294	2.39	96193	282	480227	6196732	64.42
1960	10-14	0.00068	0.00341	2.75	95910	327	478816	5716504	59.60
1960	15-19	0.00134	0.00666	2.7	95583	636	476449	5237689	54.80
1960	20-24	0.00185	0.00922	2.49	94947	876	472532	4761239	50.15
1960	25-29	0.00173	0.00864	2.52	94071	812	468342	4288707	45.59
1960	30-34	0.00219	0.01092	2.64	93259	1018	463889	3820366	40.97
1960	35-39	0.00298	0.01479	2.7	92241	1365	458059	3356477	36.39
1960	40-44	0.00453	0.02241	2.71	90876	2037	449725	2898418	31.89
1960	45-49	0.00744	0.03659	2.7	88840	3251	436724	2448693	27.56
1960	50-54	0.01153	0.05612	2.67	85589	4804	416752	2011970	23.51
1960	55-59	0.01697	0.08159	2.65	80785	6592	388464	1595218	19.75
1960	60-64	0.02705	0.12699	2.6	74194	9422	348356	1206754	16.26
1960	65-69	0.03902	0.17799	2.54	64772	11529	295454	858398	13.25
1960	70-74	0.05619	0.24652	2.51	53243	13126	233593	562944	10.57
1960	75-79	0.08194	0.34068	2.53	40118	13667	166797	329351	8.21
1960	80-84	0.12881	0.48426	2.44	26451	12809	99440	162554	6.15
1960	85-89	0.18847	0.62149	2.26	13642	8478	44984	63113	4.63
1960	90-94	0.26665	0.75942	2.17	5164	3921	14706	18129	3.51
1960	95-99	0.34901	0.84040	1.92	1242	1044	2991	3423	2.76
1960	100-104	0.45054	0.90855	1.72	198	180	400	432	2.18
1960	105-109	0.55663	0.94917	1.53	18	17	31	32	1.78
1960	110+	0.64190	1.00000	1.56	1	1	1	1	1.56
1961	0	0.03093	0.03012	0.13	100000	3012	97374	6732796	67.33
1961	1-4	0.00121	0.00483	1.56	96988	469	386811	6635422	68.41
1961	5-9	0.00058	0.00287	2.33	96519	277	481858	6248611	64.74
1961	10-14	0.00060	0.00300	2.83	96242	289	480584	5766753	59.92
1961	15-19	0.00138	0.00687	2.71	95954	660	478261	5286169	55.09
1961	20-24	0.00184	0.00918	2.62	95294	875	474388	4807908	50.45
1961	25-29	0.00186	0.00924	2.48	94419	873	469893	4333520	45.90
1961	30-34	0.00218	0.01086	2.66	93547	1016	465360	3863627	41.30
1961	35-39	0.00304	0.01508	2.61	92531	1395	459324	3398267	36.73
1961	40-44	0.00457	0.02262	2.66	91135	2062	450863	2938943	32.25
1961	45-49	0.00674	0.03319	2.66	89074	2957	438462	2488081	27.93
1961	50-54	0.01123	0.05468	2.63	86117	4709	419443	2049619	23.80
1961	55-59	0.01699	0.08164	2.61	81408	6646	391143	1630176	20.02
1961	60-64	0.02635	0.12400	2.63	74762	9271	351871	1239033	16.57
1961	65-69	0.03793	0.17338	2.52	65491	11355	299339	887162	13.55
1961	70-74	0.05484	0.24152	2.53	54136	13075	238428	587823	10.86
1961	75-79	0.07718	0.32425	2.54	41061	13314	172512	349395	8.51
1961	80-84	0.12073	0.46106	2.44	27747	12793	105963	176883	6.37
1961	85-89	0.18606	0.61974	2.31	14954	9267	49809	70920	4.74
1961	90-94	0.24537	0.72333	2.16	5686	4113	16763	21110	3.71
1961	95-99	0.34747	0.83962	1.92	1573	1321	3802	4348	2.76
1961	100-104	0.45366	0.91055	1.71	252	230	506	546	2.16
1961	105-109	0.56458	0.95165	1.52	23	21	38	40	1.76
1961	110+	0.65343	1.00000	1.53	1	1	2	2	1.53
1962	0	0.03153	0.03069	0.13	100000	3069	97329	6699850	67.00
1962	1-4	0.00135	0.00539	1.51	96931	522	386426	6602522	68.12
1962	5-9	0.00051	0.00254	2.34	96409	245	481392	6216095	64.48
1962	10-14	0.00055	0.00274	2.69	96164	264	480211	5734703	59.63
1962	15-19	0.00132	0.00660	2.9	95900	633	478173	5254492	54.79
1962	20-24	0.00200	0.00995	2.54	95267	948	474005	4776319	50.14
1962	25-29	0.00182	0.00908	2.5	94319	856	469455	4302314	45.61
1962	30-34	0.00213	0.01058	2.44	93463	988	464788	3832859	41.01
1962	35-39	0.00306	0.01517	2.66	92475	1403	459095	3368071	36.42
1962	40-44	0.00447	0.02211	2.63	91072	2014	450586	2908975	31.94
1962	45-49	0.00707	0.03478	2.73	89058	3097	438244	2458389	27.60
1962	50-54	0.01152	0.05604	2.61	85961	4818	418310	2020145	23.50
1962	55-59	0.01770	0.08492	2.61	81143	6891	389236	1601835	19.74
1962	60-64	0.02639	0.12419	2.64	74252	9221	349479	1212599	16.33
1962	65-69	0.03971	0.18065	2.5	65031	11748	295840	863120	13.27
1962	70-74	0.05549	0.24455	2.58	53283	13030	234838	567280	10.65
1962	75-79	0.08012	0.33373	2.5	40252	13433	167663	332442	8.26
1962	80-84	0.12596	0.47454	2.4	26819	12727	101038	164778	6.14
1962	85-89	0.19389	0.63394	2.27	14092	8934	46077	63740	4.52
1962	90-94	0.27211	0.75515	2.05	5159	3896	14316	17663	3.42
1962	95-99	0.36395	0.85362	1.89	1263	1078	2962	3347	2.65
1962	100-104	0.47306	0.91977	1.68	185	170	359	385	2.08
1962	105-109	0.58523	0.95698	1.48	15	14	24	25	1.70
1962	110+	0.67415	1.00000	1.48	1	1	1	1	1.48
1963	0	0.03074	0.02993	0.13	100000	2993	97388	6690551	66.91
1963	1-4	0.00117	0.00467	1.54	97007	453	386913	6593162	67.97
1963	5-9	0.00054	0.00269	2.38	96554	259	482090	6206249	64.28
1963	10-14	0.00053	0.00264	2.79	96295	254	480910	5724159	59.44
1963	15-19	0.00143	0.00710	2.8	96040	682	478700	5243249	54.59
1963	20-24	0.00184	0.00915	2.45	95358	872	474569	4764549	49.96
1963	25-29	0.00196	0.00977	2.54	94486	923	470156	4289979	45.40
1963	30-34	0.00221	0.01101	2.61	93563	1030	465354	3819823	40.83
1963	35-39	0.00320	0.01586	2.65	92533	1468	459211	3354469	36.25
1963	40-44	0.00446	0.02209	2.67	91065	2011	450640	2895258	31.79
1963	45-49	0.00746	0.03668	2.69	89054	3267	437712	2444618	27.45
1963	50-54	0.01167	0.05680	2.67	85787	4872	417603	2006906	23.39
1963	55-59	0.01771	0.08494	2.61	80915	6873	388145	1589303	19.64
1963	60-64	0.02617	0.12307	2.58	74041	9112	348172	1201158	16.22
1963	65-69	0.04064	0.18479	2.55	64929	11998	295200	852986	13.14
1963	70-74	0.05817	0.25456	2.55	52931	13474	231637	557785	10.54
1963	75-79	0.07761	0.32320	2.42	39457	12752	164324	326149	8.27
1963	80-84	0.12657	0.47561	2.39	26704	12701	100343	161825	6.06
1963	85-89	0.20298	0.65063	2.24	14003	9111	44885	61482	4.39
1963	90-94	0.27366	0.76013	2.08	4892	3719	13589	16597	3.39
1963	95-99	0.37735	0.86440	1.87	1174	1014	2688	3008	2.56
1963	100-104	0.49104	0.92767	1.65	159	148	301	320	2.01
1963	105-109	0.60622	0.96190	1.45	12	11	18	19	1.64
1963	110+	0.69639	1.00000	1.44	0	0	1	1	1.44
1964	0	0.03118	0.03035	0.13	100000	3035	97355	6701876	67.02
1964	1-4	0.00127	0.00506	1.45	96965	491	386608	6604520	68.11
1964	5-9	0.00052	0.00260	2.33	96474	251	481699	6217912	64.45
1964	10-14	0.00054	0.00268	2.87	96223	258	480563	5736213	59.61
1964	15-19	0.00151	0.00755	2.85	95965	724	478262	5255650	54.77
1964	20-24	0.00205	0.01021	2.53	95240	972	473798	4777387	50.16
1964	25-29	0.00178	0.00886	2.46	94268	835	469222	4303589	45.65
1964	30-34	0.00222	0.01106	2.66	93433	1033	464748	3834367	41.04
1964	35-39	0.00317	0.01575	2.7	92400	1455	458647	3369620	36.47
1964	40-44	0.00445	0.02204	2.64	90944	2005	449993	2910973	32.01
1964	45-49	0.00711	0.03495	2.64	88940	3109	437363	2460980	27.67
1964	50-54	0.01128	0.05496	2.71	85831	4717	418341	2023616	23.58
1964	55-59	0.01766	0.08468	2.58	81114	6868	388959	1605276	19.79
1964	60-64	0.02664	0.12516	2.59	74245	9293	348803	1216316	16.38
1964	65-69	0.04023	0.18318	2.56	64953	11898	295765	867514	13.36
1964	70-74	0.05703	0.25001	2.54	53055	13264	232596	571748	10.78
1964	75-79	0.07767	0.32273	2.38	39790	12841	165339	339152	8.52
1964	80-84	0.12000	0.45767	2.41	26949	12334	102778	173813	6.45
1964	85-89	0.17895	0.60741	2.36	14615	8877	49608	71035	4.86
1964	90-94	0.24575	0.72298	2.15	5738	4148	16880	21427	3.73
1964	95-99	0.33465	0.82754	1.95	1590	1315	3931	4547	2.86
1964	100-104	0.43583	0.90093	1.74	274	247	567	616	2.25
