PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
UT,b,1959,0,0.01993,0.01958,0.1,100000,1958,98244,7162340,71.62
UT,b,1959,1-4,0.00114,0.00454,1.54,98042,445,391073,7064095,72.05
UT,b,1959,5-9,0.00054,0.00270,2.07,97597,264,487210,6673023,68.37
UT,b,1959,10-14,0.00058,0.00292,2.7,97333,284,486013,6185812,63.55
UT,b,1959,15-19,0.00132,0.00657,2.77,97049,637,483823,5699799,58.73
UT,b,1959,20-24,0.00135,0.00672,2.43,96412,648,480398,5215976,54.10
UT,b,1959,25-29,0.00127,0.00632,2.22,95764,606,477135,4735579,49.45
UT,b,1959,30-34,0.00110,0.00546,2.62,95159,520,474555,4258444,44.75
UT,b,1959,35-39,0.00156,0.00775,2.53,94639,734,471381,3783889,39.98
UT,b,1959,40-44,0.00295,0.01465,2.56,93905,1376,466168,3312508,35.28
UT,b,1959,45-49,0.00453,0.02243,2.73,92529,2075,457933,2846340,30.76
UT,b,1959,50-54,0.00779,0.03828,2.68,90454,3463,444232,2388407,26.40
UT,b,1959,55-59,0.01138,0.05548,2.76,86991,4826,424124,1944175,22.35
UT,b,1959,60-64,0.01866,0.08932,2.62,82165,7339,393387,1520051,18.50
UT,b,1959,65-69,0.02904,0.13591,2.65,74826,10170,350250,1126664,15.06
UT,b,1959,70-74,0.04067,0.18506,2.57,64656,11965,294237,776415,12.01
UT,b,1959,75-79,0.06549,0.28375,2.65,52691,14951,228284,482178,9.15
UT,b,1959,80-84,0.11123,0.43320,2.45,37740,16349,146986,253894,6.73
UT,b,1959,85-89,0.16836,0.58017,2.32,21391,12410,73715,106908,5.00
UT,b,1959,90-94,0.24680,0.72418,2.15,8981,6504,26352,33193,3.70
UT,b,1959,95-99,0.34676,0.84016,1.93,2477,2081,6002,6841,2.76
UT,b,1959,100-104,0.46298,0.91598,1.7,396,363,783,840,2.12
UT,b,1959,105-109,0.58453,0.95732,1.49,33,32,54,57,1.70
UT,b,1959,110+,0.68121,1.00000,1.47,1,1,2,2,1.47
UT,b,1960,0,0.01993,0.01958,0.1,100000,1958,98245,7174666,71.75
UT,b,1960,1-4,0.00101,0.00403,1.7,98042,395,391262,7076421,72.18
UT,b,1960,5-9,0.00055,0.00273,2.22,97647,266,487497,6685159,68.46
UT,b,1960,10-14,0.00053,0.00262,2.56,97381,255,486282,6197662,63.64
UT,b,1960,15-19,0.00114,0.00569,2.73,97126,552,484375,5711380,58.80
UT,b,1960,20-24,0.00106,0.00528,2.27,96573,510,481471,5227005,54.12
UT,b,1960,25-29,0.00121,0.00606,2.65,96063,582,478951,4745534,49.40
UT,b,1960,30-34,0.00122,0.00609,2.7,95481,582,476068,4266582,44.68
