PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
UT,f,1959,0,0.01758,0.01730,0.1,100000,1730,98447,7486525,74.87
UT,f,1959,1,0.00200,0.00200,0.5,98270,196,98171,7388079,75.18
UT,f,1959,2,0.00097,0.00097,0.5,98073,95,98026,7289907,74.33
UT,f,1959,3,0.00058,0.00058,0.5,97978,57,97950,7191882,73.40
UT,f,1959,4,0.00034,0.00034,0.5,97921,33,97905,7093932,72.45
UT,f,1959,5,0.00043,0.00043,0.5,97888,42,97867,6996027,71.47
UT,f,1959,6,0.00053,0.00053,0.5,97846,52,97821,6898160,70.50
UT,f,1959,7,0.00065,0.00065,0.5,97795,63,97763,6800339,69.54
UT,f,1959,8,0.00030,0.00030,0.5,97732,29,97717,6702576,68.58
UT,f,1959,9,0.00030,0.00030,0.5,97703,30,97688,6604859,67.60
UT,f,1959,10,0.00081,0.00081,0.5,97673,79,97634,6507171,66.62
UT,f,1959,11,0.00051,0.00051,0.5,97594,50,97569,6409537,65.68
UT,f,1959,12,0.00054,0.00054,0.5,97544,53,97518,6311968,64.71
UT,f,1959,13,0.00037,0.00037,0.5,97492,36,97473,6214450,63.74
UT,f,1959,14,0.00093,0.00093,0.5,97455,91,97410,6116977,62.77
UT,f,1959,15,0.00051,0.00051,0.5,97365,50,97340,6019567,61.82
UT,f,1959,16,0.00050,0.00050,0.5,97315,48,97291,5922227,60.86
UT,f,1959,17,0.00076,0.00076,0.5,97267,74,97230,5824936,59.89
UT,f,1959,18,0.00107,0.00107,0.5,97193,104,97141,5727706,58.93
UT,f,1959,19,0.00042,0.00042,0.5,97089,41,97068,5630565,57.99
UT,f,1959,20,0.00102,0.00102,0.5,97048,99,96999,5533497,57.02
UT,f,1959,21,0.00124,0.00124,0.5,96949,120,96889,5436498,56.08
UT,f,1959,22,0.00130,0.00130,0.5,96829,126,96766,5339609,55.14
UT,f,1959,23,0.00066,0.00066,0.5,96703,64,96671,5242842,54.22
UT,f,1959,24,0.00068,0.00068,0.5,96639,66,96606,5146171,53.25
UT,f,1959,25,0.00139,0.00139,0.5,96574,134,96506,5049565,52.29
UT,f,1959,26,0.00108,0.00107,0.5,96439,104,96387,4953058,51.36
UT,f,1959,27,0.00109,0.00109,0.5,96336,105,96283,4856671,50.41
UT,f,1959,28,0.00053,0.00053,0.5,96231,51,96205,4760388,49.47
UT,f,1959,29,0.00088,0.00088,0.5,96180,85,96137,4664183,48.49
UT,f,1959,30,0.00071,0.00071,0.5,96095,68,96060,4568046,47.54
UT,f,1959,31,0.00123,0.00123,0.5,96026,118,95967,4471985,46.57
UT,f,1959,32,0.00109,0.00109,0.5,95908,105,95855,4376018,45.63
UT,f,1959,33,0.00129,0.00129,0.5,95803,124,95741,4280163,44.68
UT,f,1959,34,0.00089,0.00089,0.5,95679,85,95637,4184422,43.73
UT,f,1959,35,0.00018,0.00018,0.5,95594,17,95586,4088785,42.77
UT,f,1959,36,0.00092,0.00092,0.5,95577,88,95533,3993199,41.78
UT,f,1959,37,0.00131,0.00131,0.5,95490,125,95427,3897665,40.82
UT,f,1959,38,0.00169,0.00169,0.5,95365,161,95284,3802238,39.87
