PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
VA,b,1960-1969,0,0.02722,0.02659,0.12,100000,2659,97670,6926597,69.27
VA,b,1960-1969,1-4,0.00097,0.00388,1.64,97341,377,388476,6828926,70.15
VA,b,1960-1969,5-9,0.00044,0.00221,2.29,96964,214,484241,6440451,66.42
VA,b,1960-1969,10-14,0.00043,0.00216,2.63,96750,209,483256,5956210,61.56
VA,b,1960-1969,15-19,0.00096,0.00481,2.81,96541,465,481687,5472954,56.69
VA,b,1960-1969,20-24,0.00123,0.00615,2.51,96076,591,478913,4991267,51.95
VA,b,1960-1969,25-29,0.00136,0.00677,2.55,95486,647,475847,4512354,47.26
VA,b,1960-1969,30-34,0.00177,0.00880,2.64,94839,834,472228,4036508,42.56
VA,b,1960-1969,35-39,0.00264,0.01312,2.67,94005,1234,467149,3564280,37.92
VA,b,1960-1969,40-44,0.00413,0.02046,2.67,92771,1898,459437,3097131,33.38
VA,b,1960-1969,45-49,0.00653,0.03216,2.67,90874,2923,447561,2637693,29.03
VA,b,1960-1969,50-54,0.01039,0.05070,2.64,87951,4459,429220,2190133,24.90
VA,b,1960-1969,55-59,0.01513,0.07303,2.64,83492,6098,403058,1760913,21.09
VA,b,1960-1969,60-64,0.02266,0.10747,2.6,77394,8318,367042,1357855,17.54
VA,b,1960-1969,65-69,0.03340,0.15442,2.56,69077,10667,319315,990813,14.34
VA,b,1960-1969,70-74,0.04903,0.21895,2.56,58410,12789,260847,671498,11.50
VA,b,1960-1969,75-79,0.07133,0.30263,2.5,45621,13806,193565,410651,9.00
VA,b,1960-1969,80-84,0.10815,0.42432,2.46,31815,13500,124821,217086,6.82
VA,b,1960-1969,85-89,0.16835,0.57969,2.31,18315,10617,63067,92266,5.04
VA,b,1960-1969,90-94,0.23969,0.71297,2.16,7698,5489,22899,29198,3.79
VA,b,1960-1969,95-99,0.33488,0.82894,1.95,2210,1832,5469,6300,2.85
VA,b,1960-1969,100-104,0.44618,0.90743,1.73,378,343,769,830,2.20
VA,b,1960-1969,105-109,0.56425,0.95200,1.52,35,33,59,62,1.76
VA,b,1960-1969,110+,0.65934,1.00000,1.52,2,2,3,3,1.52
VA,b,1970-1979,0,0.01802,0.01774,0.1,100000,1774,98401,7173058,71.73
VA,b,1970-1979,1-4,0.00066,0.00263,1.68,98226,258,392307,7074657,72.02
VA,b,1970-1979,5-9,0.00035,0.00174,2.35,97968,171,489387,6682350,68.21
VA,b,1970-1979,10-14,0.00038,0.00189,2.72,97797,185,488564,6192963,63.32
VA,b,1970-1979,15-19,0.00095,0.00474,2.81,97612,463,487048,5704399,58.44
VA,b,1970-1979,20-24,0.00117,0.00582,2.43,97149,566,484289,5217351,53.70
VA,b,1970-1979,25-29,0.00120,0.00596,2.56,96583,575,481514,4733063,49.00
VA,b,1970-1979,30-34,0.00143,0.00715,2.64,96008,686,478418,4251548,44.28
VA,b,1970-1979,35-39,0.00213,0.01059,2.7,95322,1010,474283,3773131,39.58
VA,b,1970-1979,40-44,0.00357,0.01772,2.72,94312,1671,467745,3298848,34.98
VA,b,1970-1979,45-49,0.00570,0.02815,2.67,92641,2608,457129,2831103,30.56
VA,b,1970-1979,50-54,0.00881,0.04317,2.64,90034,3886,441007,2373974,26.37
VA,b,1970-1979,55-59,0.01342,0.06504,2.63,86147,5603,417477,1932968,22.44
VA,b,1970-1979,60-64,0.02006,0.09573,2.62,80544,7710,384337,1515490,18.82
VA,b,1970-1979,65-69,0.02868,0.13411,2.58,72834,9768,340541,1131153,15.53
VA,b,1970-1979,70-74,0.04301,0.19462,2.56,63066,12274,285365,790612,12.54
VA,b,1970-1979,75-79,0.06200,0.26890,2.54,50792,13658,220299,505248,9.95
VA,b,1970-1979,80-84,0.09107,0.37064,2.49,37134,13764,151132,284948,7.67
VA,b,1970-1979,85-89,0.14028,0.51329,2.39,23371,11996,85516,133816,5.73
VA,b,1970-1979,90-94,0.20818,0.66009,2.23,11375,7508,36066,48300,4.25
VA,b,1970-1979,95-99,0.29694,0.78981,2.04,3866,3054,10284,12233,3.16
VA,b,1970-1979,100-104,0.40549,0.88434,1.81,813,719,1772,1950,2.40
VA,b,1970-1979,105-109,0.52555,0.94068,1.59,94,88,168,177,1.88
VA,b,1970-1979,110+,0.62456,1.00000,1.6,6,6,9,9,1.60
VA,b,1980-1989,0,0.01180,0.01168,0.08,100000,1168,98927,7439765,74.40
VA,b,1980-1989,1-4,0.00049,0.00195,1.6,98832,193,394864,7340838,74.28
VA,b,1980-1989,5-9,0.00024,0.00118,2.34,98639,116,492886,6945974,70.42
VA,b,1980-1989,10-14,0.00024,0.00118,2.8,98523,116,492358,6453088,65.50
VA,b,1980-1989,15-19,0.00075,0.00376,2.79,98406,370,491213,5960730,60.57
VA,b,1980-1989,20-24,0.00096,0.00479,2.53,98036,470,489021,5469517,55.79
VA,b,1980-1989,25-29,0.00104,0.00517,2.52,97567,504,486582,4980497,51.05
VA,b,1980-1989,30-34,0.00119,0.00595,2.54,97062,578,483891,4493915,46.30
VA,b,1980-1989,35-39,0.00154,0.00769,2.64,96485,742,480672,4010023,41.56
VA,b,1980-1989,40-44,0.00237,0.01179,2.68,95743,1129,476090,3529352,36.86
VA,b,1980-1989,45-49,0.00402,0.01991,2.71,94614,1883,468753,3053262,32.27
VA,b,1980-1989,50-54,0.00676,0.03327,2.69,92730,3085,456513,2584509,27.87
VA,b,1980-1989,55-59,0.01095,0.05340,2.66,89646,4787,437037,2127996,23.74
VA,b,1980-1989,60-64,0.01692,0.08135,2.63,84858,6903,407953,1690959,19.93
VA,b,1980-1989,65-69,0.02533,0.11944,2.61,77955,9311,367512,1283006,16.46
VA,b,1980-1989,70-74,0.03785,0.17342,2.59,68645,11905,314504,915494,13.34
VA,b,1980-1989,75-79,0.05585,0.24534,2.52,56740,13921,249232,600990,10.59
VA,b,1980-1989,80-84,0.08154,0.33869,2.5,42819,14502,177846,351758,8.21
VA,b,1980-1989,85-89,0.12536,0.47349,2.42,28317,13408,106949,173912,6.14
VA,b,1980-1989,90-94,0.19292,0.63175,2.27,14909,9419,48824,66963,4.49
VA,b,1980-1989,95-99,0.28163,0.77219,2.08,5490,4240,15054,18139,3.30
VA,b,1980-1989,100-104,0.39288,0.87662,1.84,1251,1096,2791,3085,2.47
VA,b,1980-1989,105-109,0.51825,0.93866,1.6,154,145,280,295,1.91
VA,b,1980-1989,110+,0.62253,1.00000,1.61,9,9,15,15,1.61
VA,b,1990-1999,0,0.00883,0.00876,0.07,100000,876,99188,7598355,75.98
VA,b,1990-1999,1-4,0.00036,0.00144,1.69,99124,143,396165,7499168,75.65
VA,b,1990-1999,5-9,0.00017,0.00084,2.46,98981,83,494695,7103002,71.76
VA,b,1990-1999,10-14,0.00022,0.00111,2.84,98898,110,494254,6608307,66.82
VA,b,1990-1999,15-19,0.00074,0.00372,2.83,98788,367,493142,6114054,61.89
VA,b,1990-1999,20-24,0.00090,0.00447,2.5,98421,440,491004,5620911,57.11
VA,b,1990-1999,25-29,0.00096,0.00480,2.55,97981,470,488751,5129908,52.36
VA,b,1990-1999,30-34,0.00122,0.00608,2.63,97510,593,486145,4641157,47.60
VA,b,1990-1999,35-39,0.00165,0.00823,2.6,96918,798,482676,4155012,42.87
VA,b,1990-1999,40-44,0.00227,0.01127,2.65,96120,1084,478050,3672336,38.21
VA,b,1990-1999,45-49,0.00327,0.01623,2.66,95036,1543,471565,3194286,33.61
VA,b,1990-1999,50-54,0.00522,0.02579,2.68,93493,2411,461876,2722720,29.12
VA,b,1990-1999,55-59,0.00864,0.04237,2.68,91082,3859,446445,2260845,24.82
VA,b,1990-1999,60-64,0.01424,0.06890,2.66,87224,6010,422038,1814400,20.80
VA,b,1990-1999,65-69,0.02172,0.10330,2.63,81214,8390,386214,1392362,17.14
VA,b,1990-1999,70-74,0.03365,0.15570,2.61,72824,11338,336974,1006148,13.82
VA,b,1990-1999,75-79,0.05065,0.22548,2.57,61486,13864,273707,669174,10.88
VA,b,1990-1999,80-84,0.07815,0.32750,2.53,47622,15596,199571,395467,8.30
VA,b,1990-1999,85-89,0.12470,0.47197,2.43,32025,15115,121212,195896,6.12
VA,b,1990-1999,90-94,0.19541,0.63780,2.28,16910,10785,55194,74684,4.42
VA,b,1990-1999,95-99,0.29330,0.78746,2.06,6125,4823,16444,19490,3.18
VA,b,1990-1999,100-104,0.41586,0.89236,1.8,1302,1162,2793,3045,2.34
VA,b,1990-1999,105-109,0.55166,0.94967,1.55,140,133,241,252,1.80
VA,b,1990-1999,110+,0.66254,1.00000,1.51,7,7,11,11,1.51
VA,b,2000-2009,0,0.00760,0.00755,0.07,100000,755,99298,7775143,77.75
VA,b,2000-2009,1-4,0.00027,0.00107,1.62,99245,106,396729,7675845,77.34
VA,b,2000-2009,5-9,0.00013,0.00064,2.41,99139,63,495534,7279116,73.42
VA,b,2000-2009,10-14,0.00016,0.00080,2.82,99076,80,495208,6783582,68.47
VA,b,2000-2009,15-19,0.00057,0.00285,2.95,98997,282,494405,6288373,63.52
VA,b,2000-2009,20-24,0.00087,0.00435,2.53,98715,430,492513,5793968,58.69
VA,b,2000-2009,25-29,0.00088,0.00441,2.53,98285,433,490357,5301455,53.94
VA,b,2000-2009,30-34,0.00097,0.00482,2.63,97852,472,488139,4811099,49.17
VA,b,2000-2009,35-39,0.00137,0.00683,2.66,97380,665,485341,4322960,44.39
VA,b,2000-2009,40-44,0.00210,0.01047,2.67,96715,1012,481216,3837619,39.68
VA,b,2000-2009,45-49,0.00319,0.01584,2.65,95702,1516,474950,3356404,35.07
VA,b,2000-2009,50-54,0.00476,0.02354,2.64,94187,2217,465693,2881453,30.59
VA,b,2000-2009,55-59,0.00708,0.03482,2.64,91969,3202,452295,2415760,26.27
VA,b,2000-2009,60-64,0.01102,0.05374,2.67,88767,4770,432725,1963465,22.12
VA,b,2000-2009,65-69,0.01745,0.08382,2.65,83997,7041,403416,1530740,18.22
VA,b,2000-2009,70-74,0.02749,0.12900,2.62,76956,9927,361115,1127325,14.65
VA,b,2000-2009,75-79,0.04373,0.19790,2.6,67029,13265,303358,766210,11.43
VA,b,2000-2009,80-84,0.07070,0.30152,2.56,53763,16211,229292,462852,8.61
VA,b,2000-2009,85-89,0.11868,0.45644,2.47,37553,17140,144420,233561,6.22
VA,b,2000-2009,90-94,0.19627,0.64073,2.29,20412,13079,66635,89140,4.37
VA,b,2000-2009,95-99,0.30489,0.80213,2.05,7334,5882,19294,22505,3.07
VA,b,2000-2009,100-104,0.44120,0.90768,1.76,1451,1317,2985,3211,2.21
VA,b,2000-2009,105-109,0.58873,0.95967,1.49,134,129,218,226,1.69
VA,b,2000-2009,110+,0.70565,1.00000,1.42,5,5,8,8,1.42
VA,b,2010-2017,0,0.00623,0.00620,0.07,100000,620,99421,7926931,79.27
VA,b,2010-2017,1-4,0.00023,0.00093,1.56,99380,93,397294,7827511,78.76
VA,b,2010-2017,5-9,0.00011,0.00057,2.44,99287,57,496291,7430217,74.84
VA,b,2010-2017,10-14,0.00012,0.00061,2.85,99230,60,496022,6933926,69.88
VA,b,2010-2017,15-19,0.00043,0.00217,2.98,99170,215,495416,6437904,64.92
VA,b,2010-2017,20-24,0.00078,0.00388,2.63,98955,384,493864,5942488,60.05
VA,b,2010-2017,25-29,0.00091,0.00455,2.52,98571,449,491739,5448624,55.28
VA,b,2010-2017,30-34,0.00104,0.00521,2.57,98122,511,489370,4956885,50.52
VA,b,2010-2017,35-39,0.00130,0.00647,2.57,97611,632,486520,4467515,45.77
VA,b,2010-2017,40-44,0.00183,0.00911,2.66,96979,884,482831,3980995,41.05
VA,b,2010-2017,45-49,0.00279,0.01386,2.67,96095,1332,477376,3498164,36.40
VA,b,2010-2017,50-54,0.00453,0.02240,2.66,94763,2123,468852,3020788,31.88
VA,b,2010-2017,55-59,0.00679,0.03344,2.64,92640,3098,455887,2551936,27.55
VA,b,2010-2017,60-64,0.00992,0.04844,2.62,89543,4337,437371,2096049,23.41
VA,b,2010-2017,65-69,0.01451,0.07011,2.63,85206,5974,411864,1658678,19.47
VA,b,2010-2017,70-74,0.02277,0.10805,2.64,79231,8561,375971,1246815,15.74
VA,b,2010-2017,75-79,0.03649,0.16793,2.63,70670,11867,325223,870843,12.32
VA,b,2010-2017,80-84,0.06116,0.26638,2.58,58803,15664,256115,545621,9.28
VA,b,2010-2017,85-89,0.10480,0.41591,2.52,43139,17942,171196,289505,6.71
VA,b,2010-2017,90-94,0.17748,0.60248,2.34,25197,15181,85537,118309,4.70
VA,b,2010-2017,95-99,0.28208,0.77599,2.1,10016,7773,27555,32772,3.27
VA,b,2010-2017,100-104,0.41790,0.89515,1.81,2244,2008,4806,5217,2.32
VA,b,2010-2017,105-109,0.56874,0.95509,1.52,235,225,395,410,1.74
VA,b,2010-2017,110+,0.69013,1.00000,1.45,11,11,15,15,1.45
