VA: Virginia, Lifetables (period 5x5), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02958	0.02884	0.13	100000	2884	97492	6901537	69.02
1960-1964	1-4	0.00102	0.00406	1.64	97116	394	387534	6804045	70.06
1960-1964	5-9	0.00046	0.00232	2.28	96722	224	482999	6416511	66.34
1960-1964	10-14	0.00042	0.00212	2.67	96498	205	482011	5933512	61.49
1960-1964	15-19	0.00092	0.00458	2.79	96293	441	480491	5451501	56.61
1960-1964	20-24	0.00112	0.00560	2.51	95852	537	477920	4971010	51.86
1960-1964	25-29	0.00136	0.00675	2.6	95315	644	475026	4493090	47.14
1960-1964	30-34	0.00172	0.00858	2.7	94671	812	471484	4018063	42.44
1960-1964	35-39	0.00267	0.01327	2.64	93859	1246	466359	3546579	37.79
1960-1964	40-44	0.00410	0.02029	2.68	92613	1879	458714	3080220	33.26
1960-1964	45-49	0.00664	0.03268	2.68	90735	2965	446801	2621506	28.89
1960-1964	50-54	0.01045	0.05098	2.63	87770	4475	428232	2174705	24.78
1960-1964	55-59	0.01522	0.07345	2.65	83295	6118	402126	1746473	20.97
1960-1964	60-64	0.02306	0.10926	2.61	77177	8432	365713	1344347	17.42
1960-1964	65-69	0.03373	0.15577	2.55	68744	10709	317512	978634	14.24
1960-1964	70-74	0.04973	0.22160	2.55	58036	12861	258619	661122	11.39
1960-1964	75-79	0.07118	0.30212	2.5	45175	13648	191732	402503	8.91
1960-1964	80-84	0.11232	0.43630	2.44	31526	13755	122457	210771	6.69
1960-1964	85-89	0.17119	0.58628	2.31	17772	10419	60862	88314	4.97
1960-1964	90-94	0.24461	0.72027	2.15	7352	5296	21650	27453	3.73
1960-1964	95-99	0.33908	0.83257	1.94	2057	1712	5050	5803	2.82
1960-1964	100-104	0.44849	0.90836	1.73	344	313	697	753	2.19
1960-1964	105-109	0.56388	0.95174	1.52	32	30	53	56	1.76
1960-1964	110+	0.65664	1.00000	1.52	2	2	2	2	1.52
1965-1969	0	0.02455	0.02403	0.12	100000	2403	97877	6953363	69.53
1965-1969	1-4	0.00092	0.00368	1.64	97597	359	389542	6855486	70.24
1965-1969	5-9	0.00042	0.00210	2.3	97238	204	485640	6465945	66.50
1965-1969	10-14	0.00044	0.00220	2.6	97034	213	484657	5980305	61.63
1965-1969	15-19	0.00100	0.00500	2.82	96821	484	483048	5495648	56.76
1965-1969	20-24	0.00132	0.00660	2.52	96337	636	480107	5012600	52.03
1965-1969	25-29	0.00136	0.00678	2.52	95701	649	476895	4532493	47.36
1965-1969	30-34	0.00181	0.00901	2.59	95052	856	473199	4055598	42.67
1965-1969	35-39	0.00261	0.01296	2.7	94196	1221	468169	3582399	38.03
1965-1969	40-44	0.00417	0.02063	2.66	92975	1918	460386	3114230	33.50
1965-1969	45-49	0.00644	0.03171	2.66	91058	2887	448533	2653844	29.14
1965-1969	50-54	0.01033	0.05043	2.65	88170	4447	430385	2205311	25.01
1965-1969	55-59	0.01505	0.07267	2.62	83724	6084	404157	1774927	21.20
1965-1969	60-64	0.02231	0.10588	2.6	77640	8221	368471	1370769	17.66
1965-1969	65-69	0.03312	0.15320	2.56	69419	10635	321138	1002299	14.44
1965-1969	70-74	0.04839	0.21654	2.57	58784	12729	263031	681161	11.59
