PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
VT,m,1960-1964,0,0.02877,0.02806,0.12,100000,2806,97537,6701157,67.01
VT,m,1960-1964,1-4,0.00101,0.00402,1.61,97194,391,387840,6603620,67.94
VT,m,1960-1964,5-9,0.00046,0.00228,2.43,96803,221,483447,6215780,64.21
VT,m,1960-1964,10-14,0.00060,0.00299,3.04,96582,289,482344,5732333,59.35
VT,m,1960-1964,15-19,0.00142,0.00710,2.75,96293,684,479926,5249990,54.52
VT,m,1960-1964,20-24,0.00192,0.00955,2.43,95610,913,475701,4770063,49.89
VT,m,1960-1964,25-29,0.00169,0.00841,2.26,94697,796,471301,4294363,45.35
VT,m,1960-1964,30-34,0.00190,0.00946,2.67,93901,888,467435,3823061,40.71
VT,m,1960-1964,35-39,0.00249,0.01240,2.81,93013,1154,462534,3355626,36.08
VT,m,1960-1964,40-44,0.00454,0.02243,2.55,91859,2060,454248,2893093,31.49
VT,m,1960-1964,45-49,0.00740,0.03638,2.76,89799,3267,441662,2438845,27.16
VT,m,1960-1964,50-54,0.01125,0.05482,2.71,86532,4744,421788,1997183,23.08
VT,m,1960-1964,55-59,0.01755,0.08436,2.73,81788,6900,393268,1575395,19.26
VT,m,1960-1964,60-64,0.02655,0.12488,2.63,74888,9352,352257,1182127,15.79
VT,m,1960-1964,65-69,0.04129,0.18841,2.68,65536,12348,299039,829870,12.66
VT,m,1960-1964,70-74,0.06390,0.27623,2.55,53188,14692,229939,530831,9.98
VT,m,1960-1964,75-79,0.08716,0.35686,2.46,38496,13738,157620,300891,7.82
VT,m,1960-1964,80-84,0.13733,0.50578,2.4,24758,12522,91184,143271,5.79
VT,m,1960-1964,85-89,0.20692,0.65841,2.24,12236,8056,38935,52088,4.26
VT,m,1960-1964,90-94,0.29861,0.79203,2.04,4180,3310,11086,13153,3.15
VT,m,1960-1964,95-99,0.40933,0.88689,1.81,869,771,1883,2067,2.38
VT,m,1960-1964,100-104,0.53025,0.94221,1.58,98,93,175,183,1.87
VT,m,1960-1964,105-109,0.64853,0.97012,1.39,6,6,8,9,1.54
