PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
WA,b,1960-1964,0,0.02278,0.02232,0.11,100000,2232,98017,7130521,71.31
WA,b,1960-1964,1,0.00138,0.00138,0.5,97768,135,97700,7032504,71.93
WA,b,1960-1964,2,0.00088,0.00088,0.5,97633,86,97590,6934804,71.03
WA,b,1960-1964,3,0.00073,0.00073,0.5,97547,71,97511,6837213,70.09
WA,b,1960-1964,4,0.00061,0.00061,0.5,97476,59,97446,6739702,69.14
WA,b,1960-1964,5,0.00054,0.00054,0.5,97417,53,97390,6642256,68.18
WA,b,1960-1964,6,0.00044,0.00044,0.5,97364,43,97343,6544865,67.22
WA,b,1960-1964,7,0.00044,0.00044,0.5,97321,42,97300,6447523,66.25
WA,b,1960-1964,8,0.00035,0.00035,0.5,97279,34,97261,6350223,65.28
WA,b,1960-1964,9,0.00031,0.00031,0.5,97244,30,97229,6252961,64.30
WA,b,1960-1964,10,0.00038,0.00038,0.5,97214,37,97196,6155732,63.32
WA,b,1960-1964,11,0.00038,0.00038,0.5,97178,37,97159,6058536,62.34
WA,b,1960-1964,12,0.00037,0.00037,0.5,97141,36,97123,5961376,61.37
WA,b,1960-1964,13,0.00042,0.00042,0.5,97106,41,97085,5864253,60.39
WA,b,1960-1964,14,0.00049,0.00048,0.5,97064,47,97041,5767168,59.42
WA,b,1960-1964,15,0.00054,0.00054,0.5,97017,52,96991,5670127,58.44
WA,b,1960-1964,16,0.00073,0.00073,0.5,96965,71,96930,5573136,57.48
WA,b,1960-1964,17,0.00095,0.00095,0.5,96894,92,96848,5476206,56.52
WA,b,1960-1964,18,0.00087,0.00087,0.5,96802,84,96760,5379358,55.57
WA,b,1960-1964,19,0.00097,0.00097,0.5,96718,94,96671,5282598,54.62
WA,b,1960-1964,20,0.00095,0.00095,0.5,96624,92,96579,5185927,53.67
WA,b,1960-1964,21,0.00130,0.00130,0.5,96533,125,96470,5089348,52.72
WA,b,1960-1964,22,0.00106,0.00106,0.5,96408,102,96356,4992878,51.79
WA,b,1960-1964,23,0.00116,0.00116,0.5,96305,112,96249,4896522,50.84
WA,b,1960-1964,24,0.00112,0.00112,0.5,96194,108,96140,4800272,49.90
WA,b,1960-1964,25,0.00107,0.00107,0.5,96086,103,96034,4704132,48.96
WA,b,1960-1964,26,0.00104,0.00104,0.5,95983,100,95933,4608098,48.01
WA,b,1960-1964,27,0.00104,0.00104,0.5,95883,100,95833,4512165,47.06
WA,b,1960-1964,28,0.00117,0.00117,0.5,95783,112,95727,4416333,46.11
WA,b,1960-1964,29,0.00116,0.00116,0.5,95671,111,95615,4320606,45.16
WA,b,1960-1964,30,0.00112,0.00112,0.5,95560,107,95507,4224990,44.21
WA,b,1960-1964,31,0.00142,0.00142,0.5,95453,136,95385,4129484,43.26
WA,b,1960-1964,32,0.00152,0.00152,0.5,95317,145,95245,4034098,42.32
WA,b,1960-1964,33,0.00142,0.00142,0.5,95172,135,95105,3938854,41.39
WA,b,1960-1964,34,0.00156,0.00156,0.5,95037,149,94963,3843749,40.44
WA,b,1960-1964,35,0.00167,0.00167,0.5,94889,158,94810,3748786,39.51
WA,b,1960-1964,36,0.00181,0.00181,0.5,94731,171,94645,3653976,38.57
WA,b,1960-1964,37,0.00202,0.00202,0.5,94559,191,94463,3559331,37.64
WA,b,1960-1964,38,0.00212,0.00211,0.5,94368,199,94268,3464868,36.72
WA,b,1960-1964,39,0.00259,0.00259,0.5,94168,244,94046,3370599,35.79
WA,b,1960-1964,40,0.00267,0.00267,0.5,93924,251,93799,3276553,34.88
WA,b,1960-1964,41,0.00283,0.00283,0.5,93674,265,93541,3182754,33.98
