WA: Washington, Lifetables (period 1x10), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.01834	0.01804	0.1	100000	1804	98384	7527587	75.28
1960-1969	1	0.00116	0.00116	0.5	98196	114	98139	7429203	75.66
1960-1969	2	0.00076	0.00076	0.5	98082	75	98045	7331064	74.74
1960-1969	3	0.00059	0.00059	0.5	98007	58	97979	7233019	73.80
1960-1969	4	0.00055	0.00055	0.5	97950	54	97923	7135041	72.84
1960-1969	5	0.00045	0.00045	0.5	97896	44	97874	7037118	71.88
1960-1969	6	0.00037	0.00037	0.5	97852	36	97834	6939243	70.92
1960-1969	7	0.00032	0.00032	0.5	97816	31	97801	6841409	69.94
1960-1969	8	0.00032	0.00032	0.5	97785	31	97769	6743609	68.96
1960-1969	9	0.00023	0.00023	0.5	97754	23	97743	6645839	67.99
1960-1969	10	0.00025	0.00025	0.5	97731	25	97719	6548097	67.00
1960-1969	11	0.00030	0.00030	0.5	97706	29	97692	6450378	66.02
1960-1969	12	0.00025	0.00025	0.5	97677	24	97665	6352686	65.04
1960-1969	13	0.00036	0.00036	0.5	97653	35	97636	6255021	64.05
1960-1969	14	0.00034	0.00034	0.5	97618	33	97602	6157385	63.08
1960-1969	15	0.00036	0.00036	0.5	97585	35	97568	6059784	62.10
1960-1969	16	0.00037	0.00037	0.5	97550	36	97532	5962216	61.12
1960-1969	17	0.00056	0.00056	0.5	97514	55	97486	5864684	60.14
1960-1969	18	0.00053	0.00053	0.5	97459	52	97433	5767198	59.18
1960-1969	19	0.00067	0.00067	0.5	97407	65	97374	5669765	58.21
1960-1969	20	0.00058	0.00058	0.5	97341	56	97313	5572391	57.25
1960-1969	21	0.00068	0.00068	0.5	97285	66	97252	5475078	56.28
1960-1969	22	0.00062	0.00062	0.5	97219	60	97189	5377825	55.32
1960-1969	23	0.00072	0.00072	0.5	97159	70	97124	5280636	54.35
1960-1969	24	0.00064	0.00064	0.5	97089	62	97058	5183513	53.39
1960-1969	25	0.00069	0.00069	0.5	97027	67	96993	5086455	52.42
1960-1969	26	0.00077	0.00077	0.5	96959	75	96922	4989462	51.46
1960-1969	27	0.00080	0.00080	0.5	96884	78	96845	4892540	50.50
1960-1969	28	0.00071	0.00071	0.5	96807	69	96772	4795695	49.54
1960-1969	29	0.00085	0.00085	0.5	96738	82	96697	4698922	48.57
1960-1969	30	0.00083	0.00083	0.5	96656	81	96616	4602225	47.61
1960-1969	31	0.00095	0.00095	0.5	96575	92	96529	4505610	46.65
1960-1969	32	0.00105	0.00105	0.5	96484	101	96433	4409080	45.70
1960-1969	33	0.00112	0.00112	0.5	96382	108	96328	4312647	44.75
1960-1969	34	0.00132	0.00132	0.5	96274	127	96211	4216319	43.79
1960-1969	35	0.00133	0.00133	0.5	96147	128	96083	4120108	42.85
1960-1969	36	0.00141	0.00141	0.5	96019	135	95951	4024026	41.91
1960-1969	37	0.00152	0.00152	0.5	95883	146	95810	3928075	40.97
1960-1969	38	0.00161	0.00161	0.5	95737	154	95660	3832265	40.03
1960-1969	39	0.00202	0.00202	0.5	95583	193	95487	3736604	39.09
1960-1969	40	0.00208	0.00207	0.5	95391	198	95292	3641117	38.17
1960-1969	41	0.00215	0.00215	0.5	95193	204	95090	3545826	37.25
1960-1969	42	0.00220	0.00219	0.5	94988	208	94884	3450735	36.33
1960-1969	43	0.00270	0.00270	0.5	94780	256	94652	3355851	35.41
1960-1969	44	0.00256	0.00256	0.5	94524	242	94403	3261199	34.50
1960-1969	45	0.00318	0.00318	0.5	94283	300	94133	3166796	33.59
1960-1969	46	0.00322	0.00321	0.5	93983	302	93832	3072663	32.69
1960-1969	47	0.00342	0.00342	0.5	93681	320	93521	2978831	31.80
1960-1969	48	0.00397	0.00396	0.5	93361	370	93176	2885310	30.90
1960-1969	49	0.00438	0.00437	0.5	92991	406	92788	2792134	30.03
1960-1969	50	0.00498	0.00496	0.5	92585	459	92355	2699346	29.16
1960-1969	51	0.00492	0.00491	0.5	92125	452	91899	2606991	28.30
1960-1969	52	0.00562	0.00561	0.5	91673	514	91416	2515092	27.44
1960-1969	53	0.00612	0.00610	0.5	91159	556	90881	2423676	26.59
1960-1969	54	0.00634	0.00632	0.5	90603	573	90316	2332795	25.75
1960-1969	55	0.00661	0.00658	0.5	90030	593	89734	2242479	24.91
1960-1969	56	0.00762	0.00759	0.5	89437	679	89098	2152745	24.07
1960-1969	57	0.00801	0.00798	0.5	88759	708	88405	2063647	23.25
1960-1969	58	0.00873	0.00869	0.5	88050	765	87668	1975242	22.43
1960-1969	59	0.00914	0.00910	0.5	87285	794	86888	1887574	21.63
1960-1969	60	0.01015	0.01010	0.5	86491	873	86054	1800686	20.82
1960-1969	61	0.01101	0.01095	0.5	85618	937	85149	1714632	20.03
1960-1969	62	0.01211	0.01204	0.5	84680	1019	84170	1629483	19.24
1960-1969	63	0.01308	0.01300	0.5	83661	1087	83117	1545312	18.47
1960-1969	64	0.01456	0.01445	0.5	82573	1193	81977	1462195	17.71
1960-1969	65	0.01554	0.01542	0.5	81380	1255	80753	1380219	16.96
1960-1969	66	0.01701	0.01687	0.5	80125	1352	79449	1299466	16.22
1960-1969	67	0.01896	0.01879	0.5	78774	1480	78034	1220016	15.49
1960-1969	68	0.02112	0.02090	0.5	77294	1615	76486	1141983	14.77
1960-1969	69	0.02258	0.02232	0.5	75679	1689	74834	1065497	14.08
1960-1969	70	0.02530	0.02499	0.5	73989	1849	73065	990663	13.39
1960-1969	71	0.02713	0.02677	0.5	72140	1931	71175	917598	12.72
1960-1969	72	0.03055	0.03009	0.5	70209	2113	69153	846423	12.06
1960-1969	73	0.03501	0.03440	0.5	68097	2343	66925	777270	11.41
1960-1969	74	0.03703	0.03636	0.5	65754	2391	64559	710345	10.80
1960-1969	75	0.04436	0.04340	0.5	63363	2750	61988	645787	10.19
1960-1969	76	0.04707	0.04599	0.5	60613	2788	59219	583798	9.63
1960-1969	77	0.05239	0.05105	0.5	57826	2952	56350	524579	9.07
1960-1969	78	0.06026	0.05850	0.5	54874	3210	53269	468229	8.53
1960-1969	79	0.06587	0.06377	0.5	51664	3294	50017	414961	8.03
1960-1969	80	0.07150	0.06903	0.5	48369	3339	46700	364944	7.54
1960-1969	81	0.07913	0.07612	0.5	45030	3428	43317	318244	7.07
1960-1969	82	0.08857	0.08481	0.5	41603	3528	39839	274927	6.61
1960-1969	83	0.10051	0.09570	0.5	38075	3644	36253	235089	6.17
1960-1969	84	0.11281	0.10678	0.5	34431	3677	32593	198836	5.77
1960-1969	85	0.12119	0.11426	0.5	30754	3514	28997	166243	5.41
1960-1969	86	0.13859	0.12961	0.5	27240	3531	25475	137246	5.04
1960-1969	87	0.15427	0.14322	0.5	23709	3396	22012	111772	4.71
1960-1969	88	0.16863	0.15551	0.5	20314	3159	18734	89760	4.42
1960-1969	89	0.17898	0.16427	0.5	17155	2818	15746	71026	4.14
1960-1969	90	0.20024	0.18201	0.5	14337	2609	13032	55280	3.86
1960-1969	91	0.21521	0.19430	0.5	11727	2279	10588	42248	3.60
1960-1969	92	0.24157	0.21553	0.5	9449	2036	8430	31661	3.35
1960-1969	93	0.26376	0.23303	0.5	7412	1727	6548	23230	3.13
1960-1969	94	0.28721	0.25115	0.5	5685	1428	4971	16682	2.93
1960-1969	95	0.31187	0.26980	0.5	4257	1149	3683	11711	2.75
1960-1969	96	0.33764	0.28887	0.5	3109	898	2660	8028	2.58
1960-1969	97	0.36441	0.30825	0.5	2211	681	1870	5369	2.43
1960-1969	98	0.39205	0.32779	0.5	1529	501	1279	3499	2.29
1960-1969	99	0.42040	0.34738	0.5	1028	357	849	2220	2.16
1960-1969	100	0.44928	0.36687	0.5	671	246	548	1371	2.04
1960-1969	101	0.47851	0.38613	0.5	425	164	343	823	1.94
1960-1969	102	0.50789	0.40503	0.5	261	106	208	480	1.84
1960-1969	103	0.53722	0.42347	0.5	155	66	122	272	1.76
1960-1969	104	0.56628	0.44133	0.5	89	39	70	150	1.68
1960-1969	105	0.59490	0.45852	0.5	50	23	39	80	1.61
1960-1969	106	0.62289	0.47497	0.5	27	13	21	42	1.54
1960-1969	107	0.65008	0.49061	0.5	14	7	11	21	1.49
1960-1969	108	0.67633	0.50542	0.5	7	4	5	10	1.44
1960-1969	109	0.70152	0.51935	0.5	4	2	3	5	1.40
1960-1969	110+	0.72554	1.00000	1.38	2	2	2	2	1.38
1970-1979	0	0.01321	0.01306	0.09	100000	1306	98812	7724135	77.24
1970-1979	1	0.00090	0.00090	0.5	98694	89	98650	7625323	77.26
1970-1979	2	0.00064	0.00064	0.5	98606	63	98574	7526673	76.33
1970-1979	3	0.00051	0.00051	0.5	98542	51	98517	7428099	75.38
1970-1979	4	0.00043	0.00043	0.5	98492	42	98471	7329582	74.42
1970-1979	5	0.00031	0.00031	0.5	98449	30	98434	7231111	73.45
1970-1979	6	0.00035	0.00035	0.5	98419	34	98402	7132677	72.47
1970-1979	7	0.00029	0.00029	0.5	98385	29	98370	7034275	71.50
1970-1979	8	0.00024	0.00024	0.5	98356	23	98344	6935904	70.52
1970-1979	9	0.00027	0.00027	0.5	98333	26	98319	6837560	69.54
1970-1979	10	0.00025	0.00025	0.5	98306	25	98294	6739241	68.55
1970-1979	11	0.00025	0.00025	0.5	98281	24	98269	6640947	67.57
1970-1979	12	0.00023	0.00023	0.5	98257	22	98246	6542678	66.59
1970-1979	13	0.00029	0.00029	0.5	98235	29	98220	6444431	65.60
1970-1979	14	0.00033	0.00033	0.5	98206	32	98190	6346211	64.62
1970-1979	15	0.00040	0.00040	0.5	98174	39	98154	6248021	63.64
1970-1979	16	0.00052	0.00052	0.5	98135	51	98109	6149867	62.67
1970-1979	17	0.00052	0.00052	0.5	98084	51	98058	6051757	61.70
1970-1979	18	0.00071	0.00071	0.5	98033	69	97998	5953699	60.73
1970-1979	19	0.00063	0.00063	0.5	97964	62	97933	5855701	59.77
1970-1979	20	0.00067	0.00067	0.5	97902	65	97869	5757768	58.81
1970-1979	21	0.00069	0.00069	0.5	97837	67	97803	5659899	57.85
1970-1979	22	0.00065	0.00065	0.5	97769	63	97738	5562096	56.89
1970-1979	23	0.00066	0.00066	0.5	97706	64	97674	5464358	55.93
1970-1979	24	0.00067	0.00067	0.5	97642	65	97609	5366684	54.96
1970-1979	25	0.00064	0.00064	0.5	97577	62	97546	5269075	54.00
1970-1979	26	0.00068	0.00068	0.5	97515	67	97481	5171529	53.03
1970-1979	27	0.00063	0.00063	0.5	97448	62	97417	5074048	52.07
1970-1979	28	0.00070	0.00070	0.5	97386	68	97352	4976631	51.10
1970-1979	29	0.00074	0.00074	0.5	97318	72	97282	4879279	50.14
1970-1979	30	0.00076	0.00076	0.5	97246	74	97209	4781996	49.17
1970-1979	31	0.00087	0.00087	0.5	97173	85	97130	4684787	48.21
1970-1979	32	0.00083	0.00083	0.5	97088	81	97047	4587657	47.25
1970-1979	33	0.00094	0.00094	0.5	97007	91	96961	4490609	46.29
1970-1979	34	0.00090	0.00090	0.5	96916	87	96872	4393648	45.33
1970-1979	35	0.00108	0.00108	0.5	96828	104	96776	4296776	44.38
1970-1979	36	0.00122	0.00122	0.5	96724	118	96665	4200000	43.42
1970-1979	37	0.00131	0.00131	0.5	96606	127	96543	4103334	42.47
1970-1979	38	0.00131	0.00131	0.5	96480	126	96416	4006792	41.53
1970-1979	39	0.00144	0.00144	0.5	96353	138	96284	3910375	40.58
1970-1979	40	0.00160	0.00160	0.5	96215	154	96138	3814091	39.64
1970-1979	41	0.00179	0.00179	0.5	96061	172	95975	3717953	38.70
1970-1979	42	0.00211	0.00210	0.5	95889	202	95788	3621978	37.77
1970-1979	43	0.00239	0.00239	0.5	95687	228	95573	3526189	36.85
1970-1979	44	0.00233	0.00233	0.5	95459	222	95348	3430616	35.94
1970-1979	45	0.00271	0.00270	0.5	95237	258	95108	3335268	35.02
1970-1979	46	0.00315	0.00315	0.5	94980	299	94830	3240160	34.11
1970-1979	47	0.00366	0.00365	0.5	94681	346	94508	3145330	33.22
1970-1979	48	0.00356	0.00356	0.5	94335	336	94167	3050822	32.34
1970-1979	49	0.00403	0.00402	0.5	93999	378	93810	2956655	31.45
1970-1979	50	0.00462	0.00461	0.5	93621	431	93406	2862844	30.58
1970-1979	51	0.00467	0.00466	0.5	93190	434	92973	2769438	29.72
1970-1979	52	0.00526	0.00524	0.5	92756	486	92513	2676465	28.85
1970-1979	53	0.00563	0.00562	0.5	92270	518	92011	2583952	28.00
1970-1979	54	0.00610	0.00609	0.5	91752	558	91473	2491941	27.16
1970-1979	55	0.00635	0.00633	0.5	91194	577	90905	2400468	26.32
1970-1979	56	0.00690	0.00687	0.5	90616	623	90305	2309563	25.49
1970-1979	57	0.00774	0.00771	0.5	89993	694	89647	2219258	24.66
1970-1979	58	0.00842	0.00838	0.5	89300	749	88925	2129612	23.85
1970-1979	59	0.00895	0.00891	0.5	88551	789	88157	2040686	23.05
1970-1979	60	0.00936	0.00931	0.5	87762	817	87354	1952530	22.25
1970-1979	61	0.01086	0.01080	0.5	86945	939	86476	1865176	21.45
1970-1979	62	0.01113	0.01107	0.5	86006	952	85530	1778700	20.68
1970-1979	63	0.01205	0.01198	0.5	85054	1019	84545	1693170	19.91
1970-1979	64	0.01382	0.01373	0.5	84036	1154	83459	1608625	19.14
1970-1979	65	0.01377	0.01367	0.5	82882	1133	82316	1525166	18.40
1970-1979	66	0.01472	0.01462	0.5	81749	1195	81152	1442850	17.65
1970-1979	67	0.01656	0.01642	0.5	80554	1323	79893	1361698	16.90
1970-1979	68	0.01831	0.01815	0.5	79231	1438	78512	1281806	16.18
1970-1979	69	0.02045	0.02024	0.5	77793	1575	77006	1203293	15.47
1970-1979	70	0.02150	0.02127	0.5	76219	1621	75408	1126287	14.78
1970-1979	71	0.02430	0.02401	0.5	74598	1791	73702	1050879	14.09
1970-1979	72	0.02714	0.02678	0.5	72806	1950	71831	977177	13.42
1970-1979	73	0.02929	0.02887	0.5	70857	2046	69834	905346	12.78
1970-1979	74	0.03154	0.03105	0.5	68811	2137	67743	835512	12.14
1970-1979	75	0.03618	0.03553	0.5	66675	2369	65490	767769	11.52
1970-1979	76	0.03834	0.03762	0.5	64305	2419	63096	702279	10.92
1970-1979	77	0.04189	0.04103	0.5	61886	2539	60617	639183	10.33
1970-1979	78	0.04955	0.04835	0.5	59347	2869	57912	578567	9.75
1970-1979	79	0.05296	0.05159	0.5	56478	2914	55021	520654	9.22
1970-1979	80	0.05628	0.05474	0.5	53564	2932	52098	465633	8.69
1970-1979	81	0.06251	0.06062	0.5	50632	3069	49097	413535	8.17
1970-1979	82	0.06895	0.06666	0.5	47563	3170	45978	364438	7.66
1970-1979	83	0.07912	0.07611	0.5	44392	3379	42703	318460	7.17
1970-1979	84	0.08739	0.08373	0.5	41014	3434	39297	275757	6.72
1970-1979	85	0.09538	0.09104	0.5	37580	3421	35869	236461	6.29
1970-1979	86	0.10965	0.10395	0.5	34159	3551	32383	200592	5.87
1970-1979	87	0.11813	0.11154	0.5	30608	3414	28901	168208	5.50
1970-1979	88	0.13121	0.12314	0.5	27194	3349	25519	139308	5.12
1970-1979	89	0.14672	0.13669	0.5	23845	3259	22215	113788	4.77
1970-1979	90	0.17213	0.15849	0.5	20586	3263	18954	91573	4.45
1970-1979	91	0.17813	0.16356	0.5	17323	2833	15906	72619	4.19
1970-1979	92	0.19595	0.17847	0.5	14490	2586	13197	56712	3.91
1970-1979	93	0.21510	0.19421	0.5	11904	2312	10748	43516	3.66
1970-1979	94	0.23556	0.21074	0.5	9592	2021	8581	32768	3.42
1970-1979	95	0.25734	0.22800	0.5	7570	1726	6707	24187	3.19
1970-1979	96	0.28038	0.24591	0.5	5844	1437	5126	17479	2.99
1970-1979	97	0.30465	0.26438	0.5	4407	1165	3825	12353	2.80
1970-1979	98	0.33005	0.28330	0.5	3242	918	2783	8529	2.63
1970-1979	99	0.35649	0.30256	0.5	2324	703	1972	5746	2.47
1970-1979	100	0.38382	0.32202	0.5	1621	522	1360	3774	2.33
1970-1979	101	0.41192	0.34157	0.5	1099	375	911	2414	2.20
1970-1979	102	0.44060	0.36106	0.5	723	261	593	1503	2.08
1970-1979	103	0.46968	0.38036	0.5	462	176	374	910	1.97
1970-1979	104	0.49897	0.39934	0.5	286	114	229	536	1.87
1970-1979	105	0.52826	0.41789	0.5	172	72	136	307	1.78
1970-1979	106	0.55736	0.43589	0.5	100	44	78	171	1.70
