PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
WA,f,1960-1969,0,0.01834,0.01804,0.1,100000,1804,98384,7527587,75.28
WA,f,1960-1969,1-4,0.00077,0.00306,1.67,98196,300,392085,7429203,75.66
WA,f,1960-1969,5-9,0.00034,0.00168,2.22,97896,165,489021,7037118,71.88
WA,f,1960-1969,10-14,0.00030,0.00149,2.65,97731,146,488313,6548097,67.00
WA,f,1960-1969,15-19,0.00050,0.00250,2.81,97585,244,487393,6059784,62.10
WA,f,1960-1969,20-24,0.00065,0.00323,2.55,97341,315,485936,5572391,57.25
WA,f,1960-1969,25-29,0.00077,0.00382,2.56,97027,371,484230,5086455,52.42
WA,f,1960-1969,30-34,0.00106,0.00527,2.72,96656,509,482117,4602225,47.61
WA,f,1960-1969,35-39,0.00158,0.00786,2.7,96147,756,478991,4120108,42.85
WA,f,1960-1969,40-44,0.00234,0.01162,2.63,95391,1108,474322,3641117,38.17
WA,f,1960-1969,45-49,0.00363,0.01801,2.67,94283,1698,467450,3166796,33.59
WA,f,1960-1969,50-54,0.00559,0.02759,2.63,92585,2555,456867,2699346,29.16
WA,f,1960-1969,55-59,0.00801,0.03931,2.64,90030,3539,441793,2242479,24.91
WA,f,1960-1969,60-64,0.01216,0.05909,2.65,86491,5111,420467,1800686,20.82
WA,f,1960-1969,65-69,0.01897,0.09082,2.65,81380,7391,389556,1380219,16.96
WA,f,1960-1969,70-74,0.03081,0.14361,2.64,73989,10626,344876,990663,13.39
WA,f,1960-1969,75-79,0.05339,0.23664,2.6,63363,14994,280843,645787,10.19
WA,f,1960-1969,80-84,0.08865,0.36418,2.55,48369,17615,198700,364944,7.54
WA,f,1960-1969,85-89,0.14796,0.53383,2.39,30754,16418,110963,166243,5.41
WA,f,1960-1969,90-94,0.23134,0.70306,2.21,14337,10079,43569,55280,3.86
WA,f,1960-1969,95-99,0.34683,0.84242,1.95,4257,3586,10340,11711,2.75
WA,f,1960-1969,100-104,0.48114,0.92552,1.68,671,621,1290,1371,2.04
WA,f,1960-1969,105-109,0.61918,0.96557,1.44,50,48,78,80,1.61
WA,f,1960-1969,110+,0.72554,1.00000,1.38,2,2,2,2,1.38
WA,f,1970-1979,0,0.01321,0.01306,0.09,100000,1306,98812,7724135,77.24
WA,f,1970-1979,1-4,0.00062,0.00248,1.69,98694,245,394212,7625323,77.26
WA,f,1970-1979,5-9,0.00029,0.00145,2.37,98449,143,491871,7231111,73.45
WA,f,1970-1979,10-14,0.00027,0.00135,2.65,98306,132,491220,6739241,68.55
WA,f,1970-1979,15-19,0.00056,0.00277,2.73,98174,272,490253,6248021,63.64
WA,f,1970-1979,20-24,0.00067,0.00332,2.49,97902,325,488694,5757768,58.81
WA,f,1970-1979,25-29,0.00068,0.00339,2.56,97577,330,487078,5269075,54.00
WA,f,1970-1979,30-34,0.00086,0.00430,2.58,97246,418,485221,4781996,49.17
WA,f,1970-1979,35-39,0.00127,0.00634,2.62,96828,613,482685,4296776,44.38
WA,f,1970-1979,40-44,0.00204,0.01016,2.7,96215,978,478823,3814091,39.64
WA,f,1970-1979,45-49,0.00342,0.01696,2.67,95237,1616,472424,3335268,35.02
WA,f,1970-1979,50-54,0.00525,0.02593,2.64,93621,2428,462376,2862844,30.58
WA,f,1970-1979,55-59,0.00766,0.03763,2.66,91194,3431,447939,2400468,26.32
WA,f,1970-1979,60-64,0.01142,0.05561,2.65,87762,4880,427364,1952530,22.25
WA,f,1970-1979,65-69,0.01671,0.08040,2.67,82882,6664,398878,1525166,18.40
WA,f,1970-1979,70-74,0.02662,0.12522,2.63,76219,9544,358518,1126287,14.78
WA,f,1970-1979,75-79,0.04339,0.19664,2.62,66675,13111,302136,767769,11.52
WA,f,1970-1979,80-84,0.06975,0.29841,2.58,53564,15984,229173,465633,8.69
WA,f,1970-1979,85-89,0.11729,0.45221,2.47,37580,16994,144888,236461,6.29
WA,f,1970-1979,90-94,0.19314,0.63225,2.27,20586,13015,67386,91573,4.45
WA,f,1970-1979,95-99,0.29148,0.78594,2.07,7570,5950,20413,24187,3.19
WA,f,1970-1979,100-104,0.41780,0.89384,1.8,1621,1449,3467,3774,2.33
WA,f,1970-1979,105-109,0.55628,0.95106,1.54,172,164,294,307,1.78
WA,f,1970-1979,110+,0.66812,1.00000,1.5,8,8,13,13,1.50
WA,f,1980-1989,0,0.00862,0.00855,0.08,100000,855,99211,7917354,79.17
WA,f,1980-1989,1-4,0.00042,0.00168,1.49,99145,166,396162,7818144,78.86
WA,f,1980-1989,5-9,0.00020,0.00101,2.32,98978,100,494624,7421982,74.99
WA,f,1980-1989,10-14,0.00019,0.00095,2.81,98879,94,494187,6927357,70.06
WA,f,1980-1989,15-19,0.00053,0.00267,2.73,98784,263,493325,6433170,65.12
WA,f,1980-1989,20-24,0.00051,0.00257,2.51,98521,253,491976,5939845,60.29
WA,f,1980-1989,25-29,0.00059,0.00295,2.5,98268,290,490615,5447869,55.44
WA,f,1980-1989,30-34,0.00066,0.00331,2.6,97978,324,489112,4957253,50.60
WA,f,1980-1989,35-39,0.00096,0.00480,2.62,97654,468,487155,4468141,45.75
WA,f,1980-1989,40-44,0.00147,0.00733,2.69,97186,713,484285,3980986,40.96
WA,f,1980-1989,45-49,0.00243,0.01209,2.72,96473,1166,479703,3496701,36.25
WA,f,1980-1989,50-54,0.00412,0.02043,2.69,95306,1947,472043,3016998,31.66
WA,f,1980-1989,55-59,0.00653,0.03216,2.67,93359,3002,459797,2544955,27.26
WA,f,1980-1989,60-64,0.01064,0.05188,2.64,90357,4688,440720,2085158,23.08
WA,f,1980-1989,65-69,0.01568,0.07563,2.65,85669,6480,413145,1644438,19.20
WA,f,1980-1989,70-74,0.02460,0.11621,2.63,79189,9203,374124,1231293,15.55
WA,f,1980-1989,75-79,0.03810,0.17465,2.62,69987,12223,320849,857169,12.25
WA,f,1980-1989,80-84,0.06195,0.26956,2.59,57764,15571,251365,536320,9.28
WA,f,1980-1989,85-89,0.10555,0.41815,2.52,42193,17643,167157,284955,6.75
WA,f,1980-1989,90-94,0.17366,0.59395,2.34,24550,14581,83967,117798,4.80
WA,f,1980-1989,95-99,0.27090,0.76055,2.12,9968,7582,27987,33831,3.39
WA,f,1980-1989,100-104,0.39528,0.87985,1.85,2387,2100,5313,5844,2.45
WA,f,1980-1989,105-109,0.53503,0.94502,1.58,287,271,507,531,1.85
WA,f,1980-1989,110+,0.64960,1.00000,1.54,16,16,24,24,1.54
WA,f,1990-1999,0,0.00587,0.00584,0.07,100000,584,99456,8017578,80.18
WA,f,1990-1999,1-4,0.00032,0.00127,1.58,99416,126,397358,7918122,79.65
WA,f,1990-1999,5-9,0.00015,0.00077,2.32,99290,77,496242,7520764,75.75
WA,f,1990-1999,10-14,0.00016,0.00080,2.84,99213,79,495893,7024522,70.80
WA,f,1990-1999,15-19,0.00039,0.00194,2.67,99134,193,495221,6528628,65.86
WA,f,1990-1999,20-24,0.00044,0.00219,2.54,98941,217,494173,6033407,60.98
WA,f,1990-1999,25-29,0.00048,0.00241,2.58,98724,238,493043,5539235,56.11
