PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
WA,m,1960-1964,0,0.02623,0.02563,0.12,100000,2563,97733,6801595,68.02
WA,m,1960-1964,1-4,0.00102,0.00405,1.64,97437,395,388814,6703863,68.80
WA,m,1960-1964,5-9,0.00050,0.00248,2.22,97042,240,484544,6315048,65.08
WA,m,1960-1964,10-14,0.00053,0.00265,2.61,96802,257,483397,5830504,60.23
WA,m,1960-1964,15-19,0.00113,0.00563,2.77,96545,544,481512,5347108,55.38
WA,m,1960-1964,20-24,0.00158,0.00788,2.49,96001,756,478110,4865596,50.68
WA,m,1960-1964,25-29,0.00144,0.00716,2.56,95245,682,474561,4387486,46.07
WA,m,1960-1964,30-34,0.00175,0.00871,2.56,94563,823,470803,3912924,41.38
WA,m,1960-1964,35-39,0.00253,0.01258,2.71,93740,1179,465995,3442121,36.72
WA,m,1960-1964,40-44,0.00394,0.01953,2.64,92560,1808,458540,2976127,32.15
WA,m,1960-1964,45-49,0.00644,0.03174,2.71,90753,2881,447178,2517587,27.74
WA,m,1960-1964,50-54,0.01086,0.05295,2.69,87872,4653,428614,2070409,23.56
WA,m,1960-1964,55-59,0.01737,0.08346,2.67,83219,6945,399906,1641795,19.73
WA,m,1960-1964,60-64,0.02653,0.12465,2.59,76274,9507,358423,1241889,16.28
WA,m,1960-1964,65-69,0.03857,0.17625,2.56,66766,11768,305118,883466,13.23
WA,m,1960-1964,70-74,0.05608,0.24663,2.56,54999,13564,241876,578348,10.52
WA,m,1960-1964,75-79,0.08299,0.34388,2.51,41435,14248,171682,336472,8.12
WA,m,1960-1964,80-84,0.12854,0.48189,2.4,27186,13101,101918,164790,6.06
WA,m,1960-1964,85-89,0.19546,0.63513,2.24,14086,8946,45771,62873,4.46
WA,m,1960-1964,90-94,0.28001,0.76916,2.07,5139,3953,14117,17102,3.33
WA,m,1960-1964,95-99,0.38494,0.87026,1.85,1186,1032,2682,2985,2.52
WA,m,1960-1964,100-104,0.50195,0.93214,1.63,154,143,286,303,1.97
WA,m,1960-1964,105-109,0.61940,0.96472,1.43,10,10,16,17,1.61
WA,m,1960-1964,110+,0.71053,1.00000,1.41,0,0,1,1,1.41
WA,m,1965-1969,0,0.02312,0.02265,0.11,100000,2265,97977,6796395,67.96
WA,m,1965-1969,1-4,0.00092,0.00366,1.72,97735,358,390124,6698418,68.54
WA,m,1965-1969,5-9,0.00049,0.00246,2.34,97377,239,486249,6308294,64.78
WA,m,1965-1969,10-14,0.00050,0.00250,2.81,97138,243,485157,5822045,59.94
WA,m,1965-1969,15-19,0.00140,0.00697,2.72,96895,675,482936,5336888,55.08
WA,m,1965-1969,20-24,0.00181,0.00902,2.52,96220,868,478952,4853952,50.45
WA,m,1965-1969,25-29,0.00171,0.00850,2.49,95352,810,474731,4375000,45.88
WA,m,1965-1969,30-34,0.00176,0.00876,2.5,94542,828,470639,3900269,41.25
WA,m,1965-1969,35-39,0.00251,0.01248,2.67,93714,1169,465850,3429630,36.60
WA,m,1965-1969,40-44,0.00429,0.02124,2.63,92545,1965,458061,2963780,32.03
WA,m,1965-1969,45-49,0.00647,0.03187,2.7,90580,2887,446246,2505719,27.66
WA,m,1965-1969,50-54,0.01060,0.05170,2.65,87693,4534,427794,2059474,23.49
WA,m,1965-1969,55-59,0.01721,0.08270,2.64,83159,6877,399531,1631680,19.62
WA,m,1965-1969,60-64,0.02696,0.12679,2.66,76282,9672,358749,1232149,16.15
WA,m,1965-1969,65-69,0.03961,0.18062,2.56,66610,12031,303715,873400,13.11
WA,m,1965-1969,70-74,0.05774,0.25261,2.53,54579,13787,238778,569686,10.44
WA,m,1965-1969,75-79,0.08563,0.35166,2.46,40792,14345,167527,330907,8.11
WA,m,1965-1969,80-84,0.12438,0.47191,2.44,26447,12481,100341,163380,6.18
WA,m,1965-1969,85-89,0.19231,0.62923,2.25,13966,8788,45697,63039,4.51
WA,m,1965-1969,90-94,0.27776,0.76624,2.07,5178,3968,14285,17342,3.35
WA,m,1965-1969,95-99,0.38313,0.86923,1.86,1210,1052,2746,3057,2.53
WA,m,1965-1969,100-104,0.50249,0.93253,1.63,158,148,294,311,1.96
WA,m,1965-1969,105-109,0.62227,0.96539,1.43,11,10,17,17,1.60
WA,m,1965-1969,110+,0.71495,1.00000,1.4,0,0,1,1,1.40
WA,m,1970-1974,0,0.02033,0.01997,0.1,100000,1997,98202,6883445,68.83
WA,m,1970-1974,1-4,0.00082,0.00327,1.71,98003,321,391278,6785243,69.23
WA,m,1970-1974,5-9,0.00051,0.00255,2.39,97683,250,487761,6393965,65.46
WA,m,1970-1974,10-14,0.00048,0.00241,2.78,97433,235,486644,5906205,60.62
WA,m,1970-1974,15-19,0.00146,0.00729,2.83,97198,708,484454,5419561,55.76
WA,m,1970-1974,20-24,0.00189,0.00942,2.44,96490,909,480126,4935107,51.15
WA,m,1970-1974,25-29,0.00172,0.00858,2.46,95581,820,475826,4454981,46.61
WA,m,1970-1974,30-34,0.00174,0.00864,2.5,94761,819,471755,3979156,41.99
WA,m,1970-1974,35-39,0.00237,0.01179,2.73,93942,1108,467200,3507400,37.34
WA,m,1970-1974,40-44,0.00368,0.01825,2.73,92834,1695,460320,3040201,32.75
WA,m,1970-1974,45-49,0.00621,0.03061,2.67,91140,2789,449211,2579881,28.31
WA,m,1970-1974,50-54,0.01001,0.04891,2.69,88350,4321,431788,2130669,24.12
WA,m,1970-1974,55-59,0.01633,0.07865,2.67,84029,6609,404727,1698881,20.22
WA,m,1970-1974,60-64,0.02515,0.11856,2.58,77420,9179,364912,1294154,16.72
WA,m,1970-1974,65-69,0.03664,0.16824,2.57,68242,11481,313358,929243,13.62
WA,m,1970-1974,70-74,0.05382,0.23777,2.55,56761,13496,250771,615885,10.85
WA,m,1970-1974,75-79,0.08274,0.34252,2.49,43264,14819,179097,365114,8.44
WA,m,1970-1974,80-84,0.11811,0.45201,2.41,28446,12858,108866,186018,6.54
WA,m,1970-1974,85-89,0.17275,0.58984,2.31,15588,9194,53224,77152,4.95
WA,m,1970-1974,90-94,0.24480,0.71991,2.14,6393,4603,18802,23928,3.74
WA,m,1970-1974,95-99,0.33424,0.82737,1.95,1791,1482,4433,5126,2.86
WA,m,1970-1974,100-104,0.43716,0.90183,1.74,309,279,638,693,2.24
WA,m,1970-1974,105-109,0.54603,0.94627,1.55,30,29,53,55,1.82
WA,m,1970-1974,110+,0.63399,1.00000,1.58,2,2,3,3,1.58
WA,m,1975-1979,0,0.01551,0.01530,0.09,100000,1530,98603,7079278,70.79
WA,m,1975-1979,1-4,0.00072,0.00286,1.7,98470,281,393234,6980675,70.89
WA,m,1975-1979,5-9,0.00037,0.00185,2.2,98189,182,490435,6587441,67.09
WA,m,1975-1979,10-14,0.00043,0.00214,2.91,98007,210,489596,6097006,62.21
WA,m,1975-1979,15-19,0.00138,0.00688,2.85,97797,673,487540,5607409,57.34
WA,m,1975-1979,20-24,0.00197,0.00981,2.45,97124,952,483189,5119870,52.71
WA,m,1975-1979,25-29,0.00177,0.00882,2.48,96171,848,478718,4636681,48.21
WA,m,1975-1979,30-34,0.00156,0.00779,2.55,95323,743,474798,4157963,43.62
WA,m,1975-1979,35-39,0.00198,0.00988,2.61,94580,934,470670,3683166,38.94
WA,m,1975-1979,40-44,0.00294,0.01460,2.69,93646,1367,465076,3212496,34.30
WA,m,1975-1979,45-49,0.00531,0.02625,2.71,92279,2422,455848,2747420,29.77
WA,m,1975-1979,50-54,0.00829,0.04066,2.69,89857,3654,440852,2291572,25.50
WA,m,1975-1979,55-59,0.01338,0.06481,2.62,86203,5587,417690,1850719,21.47
WA,m,1975-1979,60-64,0.02103,0.10019,2.64,80616,8077,384051,1433030,17.78
WA,m,1975-1979,65-69,0.03174,0.14748,2.61,72539,10698,337102,1048979,14.46
WA,m,1975-1979,70-74,0.04924,0.21985,2.57,61841,13596,276123,711877,11.51
WA,m,1975-1979,75-79,0.07367,0.31106,2.5,48245,15007,203691,435753,9.03
WA,m,1975-1979,80-84,0.10531,0.41564,2.47,33238,13815,131189,232063,6.98
WA,m,1975-1979,85-89,0.15897,0.55820,2.33,19423,10842,68199,100873,5.19
WA,m,1975-1979,90-94,0.23810,0.71064,2.16,8581,6098,25611,32674,3.81
WA,m,1975-1979,95-99,0.33549,0.82989,1.96,2483,2061,6142,7063,2.84
WA,m,1975-1979,100-104,0.44971,0.90944,1.73,422,384,854,921,2.18
WA,m,1975-1979,105-109,0.56991,0.95359,1.51,38,36,64,67,1.74
WA,m,1975-1979,110+,0.66596,1.00000,1.5,2,2,3,3,1.50
WA,m,1980-1984,0,0.01200,0.01187,0.08,100000,1187,98904,7234262,72.34
WA,m,1980-1984,1-4,0.00061,0.00242,1.61,98813,240,394678,7135357,72.21
WA,m,1980-1984,5-9,0.00027,0.00135,2.45,98573,134,492526,6740680,68.38
