WI: Wisconsin, Lifetables (period 5x5), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02186	0.02145	0.11	100000	2145	98089	7156516	71.57
1960-1964	1-4	0.00087	0.00347	1.64	97855	340	390620	7058427	72.13
1960-1964	5-9	0.00041	0.00207	2.23	97516	202	487022	6667807	68.38
1960-1964	10-14	0.00037	0.00187	2.63	97314	182	486139	6180785	63.51
1960-1964	15-19	0.00095	0.00474	2.82	97132	460	484658	5694646	58.63
1960-1964	20-24	0.00117	0.00584	2.41	96672	564	481901	5209988	53.89
1960-1964	25-29	0.00106	0.00526	2.42	96108	506	479235	4728087	49.20
1960-1964	30-34	0.00123	0.00614	2.56	95603	587	476582	4248852	44.44
1960-1964	35-39	0.00178	0.00888	2.66	95016	844	473104	3772270	39.70
1960-1964	40-44	0.00283	0.01408	2.7	94172	1325	467814	3299166	35.03
1960-1964	45-49	0.00462	0.02288	2.7	92847	2124	459347	2831352	30.49
1960-1964	50-54	0.00766	0.03764	2.66	90723	3415	445616	2372004	26.15
1960-1964	55-59	0.01181	0.05747	2.65	87308	5018	424756	1926388	22.06
1960-1964	60-64	0.01826	0.08753	2.63	82290	7203	394396	1501632	18.25
1960-1964	65-69	0.02855	0.13371	2.63	75087	10040	351627	1107236	14.75
1960-1964	70-74	0.04508	0.20338	2.6	65047	13229	293468	755610	11.62
1960-1964	75-79	0.06993	0.29832	2.54	51818	15458	221058	462141	8.92
1960-1964	80-84	0.11020	0.43064	2.46	36360	15658	142089	241083	6.63
1960-1964	85-89	0.17696	0.59986	2.32	20702	12418	70175	98994	4.78
1960-1964	90-94	0.26410	0.74909	2.11	8284	6205	23495	28819	3.48
1960-1964	95-99	0.37640	0.86549	1.88	2078	1799	4779	5324	2.56
1960-1964	100-104	0.50640	0.93486	1.63	280	261	516	545	1.95
1960-1964	105-109	0.63727	0.96866	1.41	18	18	28	28	1.56
1960-1964	110+	0.73742	1.00000	1.36	1	1	1	1	1.36
1965-1969	0	0.01965	0.01931	0.1	100000	1931	98268	7191446	71.91
1965-1969	1-4	0.00075	0.00299	1.71	98069	293	391604	7093178	72.33
1965-1969	5-9	0.00040	0.00197	2.29	97776	193	488355	6701574	68.54
1965-1969	10-14	0.00036	0.00181	2.69	97583	177	487504	6213219	63.67
1965-1969	15-19	0.00107	0.00533	2.95	97406	519	485965	5725715	58.78
1965-1969	20-24	0.00120	0.00598	2.42	96886	579	482939	5239750	54.08
1965-1969	25-29	0.00101	0.00504	2.45	96307	485	480298	4756812	49.39
1965-1969	30-34	0.00121	0.00603	2.63	95821	578	477738	4276513	44.63
1965-1969	35-39	0.00182	0.00907	2.67	95244	864	474204	3798776	39.88
1965-1969	40-44	0.00288	0.01431	2.7	94379	1350	468797	3324571	35.23
1965-1969	45-49	0.00468	0.02316	2.67	93029	2155	460123	2855775	30.70
1965-1969	50-54	0.00754	0.03704	2.69	90875	3366	446600	2395652	26.36
1965-1969	55-59	0.01187	0.05776	2.66	87509	5054	425693	1949051	22.27
1965-1969	60-64	0.01851	0.08869	2.65	82454	7312	395075	1523358	18.48
1965-1969	65-69	0.02797	0.13109	2.61	75142	9851	352211	1128283	15.02
1965-1969	70-74	0.04334	0.19630	2.6	65291	12817	295701	776072	11.89
1965-1969	75-79	0.06776	0.29054	2.55	52474	15246	225006	480371	9.15
1965-1969	80-84	0.10583	0.41765	2.48	37228	15548	146912	255365	6.86
1965-1969	85-89	0.16534	0.57425	2.34	21680	12450	75296	108453	5.00
1965-1969	90-94	0.25384	0.73606	2.15	9230	6794	26765	33157	3.59
1965-1969	95-99	0.36645	0.85781	1.9	2436	2090	5703	6392	2.62
1965-1969	100-104	0.49510	0.93055	1.65	346	322	651	689	1.99
1965-1969	105-109	0.62581	0.96655	1.42	24	23	37	38	1.59
1965-1969	110+	0.72653	1.00000	1.38	1	1	1	1	1.38
1970-1974	0	0.01490	0.01471	0.09	100000	1471	98661	7296509	72.97
1970-1974	1-4	0.00066	0.00264	1.71	98529	260	393523	7197847	73.05
1970-1974	5-9	0.00035	0.00175	2.29	98269	172	490881	6804324	69.24
1970-1974	10-14	0.00036	0.00180	2.76	98098	177	490091	6313444	64.36
1970-1974	15-19	0.00103	0.00513	2.91	97921	502	488554	5823352	59.47
1970-1974	20-24	0.00117	0.00585	2.51	97419	570	485677	5334799	54.76
1970-1974	25-29	0.00106	0.00527	2.53	96849	510	482983	4849122	50.07
1970-1974	30-34	0.00121	0.00601	2.59	96339	579	480300	4366138	45.32
1970-1974	35-39	0.00171	0.00851	2.62	95759	815	476860	3885838	40.58
1970-1974	40-44	0.00267	0.01326	2.73	94944	1259	471860	3408979	35.91
1970-1974	45-49	0.00441	0.02183	2.63	93685	2045	463573	2937118	31.35
1970-1974	50-54	0.00699	0.03440	2.68	91640	3152	450874	2473545	26.99
1970-1974	55-59	0.01120	0.05455	2.64	88488	4827	431070	2022671	22.86
1970-1974	60-64	0.01748	0.08394	2.65	83661	7023	401836	1591601	19.02
1970-1974	65-69	0.02680	0.12592	2.61	76639	9650	360144	1189765	15.52
1970-1974	70-74	0.04016	0.18312	2.6	66988	12267	305450	829621	12.38
1970-1974	75-79	0.06369	0.27543	2.55	54721	15072	236630	524171	9.58
1970-1974	80-84	0.09798	0.39349	2.5	39649	15601	159229	287541	7.25
1970-1974	85-89	0.15313	0.54410	2.34	24048	13085	85448	128312	5.34
1970-1974	90-94	0.23007	0.69837	2.19	10963	7656	33279	42864	3.91
1970-1974	95-99	0.32785	0.82327	1.98	3307	2722	8304	9585	2.90
1970-1974	100-104	0.44696	0.90866	1.73	584	531	1188	1280	2.19
1970-1974	105-109	0.57393	0.95503	1.51	53	51	89	92	1.73
1970-1974	110+	0.67581	1.00000	1.48	2	2	4	4	1.48
1975-1979	0	0.01192	0.01179	0.08	100000	1179	98917	7463129	74.63
1975-1979	1-4	0.00057	0.00229	1.7	98821	226	394763	7364212	74.52
1975-1979	5-9	0.00031	0.00156	2.35	98595	154	492565	6969449	70.69
1975-1979	10-14	0.00032	0.00159	2.78	98441	156	491857	6476883	65.79
1975-1979	15-19	0.00095	0.00472	2.89	98285	464	490446	5985026	60.89
1975-1979	20-24	0.00109	0.00543	2.42	97820	531	487729	5494581	56.17
1975-1979	25-29	0.00099	0.00492	2.41	97289	478	485206	5006851	51.46
1975-1979	30-34	0.00103	0.00511	2.62	96811	495	482875	4521645	46.71
1975-1979	35-39	0.00149	0.00742	2.67	96316	715	479912	4038770	41.93
1975-1979	40-44	0.00232	0.01153	2.74	95601	1102	475511	3558858	37.23
1975-1979	45-49	0.00396	0.01960	2.68	94499	1852	468190	3083347	32.63
1975-1979	50-54	0.00616	0.03038	2.65	92647	2814	456626	2615157	28.23
1975-1979	55-59	0.00982	0.04800	2.65	89832	4312	439032	2158531	24.03
1975-1979	60-64	0.01564	0.07541	2.66	85520	6449	412489	1719499	20.11
1975-1979	65-69	0.02395	0.11328	2.62	79071	8957	374039	1307010	16.53
1975-1979	70-74	0.03579	0.16481	2.6	70114	11556	322829	932971	13.31
1975-1979	75-79	0.05535	0.24379	2.56	58558	14276	257931	610142	10.42
1975-1979	80-84	0.08526	0.35226	2.54	44282	15599	182962	352210	7.95
1975-1979	85-89	0.13242	0.49345	2.42	28684	14154	106888	169249	5.90
1975-1979	90-94	0.20306	0.65335	2.27	14530	9493	46749	62360	4.29
1975-1979	95-99	0.30285	0.79792	2.04	5037	4019	13270	15611	3.10
1975-1979	100-104	0.42379	0.89670	1.78	1018	913	2154	2341	2.30
1975-1979	105-109	0.55665	0.95087	1.54	105	100	180	187	1.78
1975-1979	110+	0.66480	1.00000	1.5	5	5	8	8	1.50
1980-1984	0	0.00991	0.00982	0.08	100000	982	99093	7578498	75.78
1980-1984	1-4	0.00052	0.00208	1.59	99018	206	395577	7479405	75.54
1980-1984	5-9	0.00023	0.00114	2.41	98812	112	493770	7083828	71.69
1980-1984	10-14	0.00025	0.00124	2.74	98700	123	493222	6590058	66.77
1980-1984	15-19	0.00079	0.00393	2.94	98577	387	492089	6096836	61.85
1980-1984	20-24	0.00095	0.00476	2.43	98190	468	489746	5604748	57.08
1980-1984	25-29	0.00089	0.00444	2.51	97722	434	487531	5115002	52.34
1980-1984	30-34	0.00098	0.00487	2.65	97288	474	485326	4627471	47.56
1980-1984	35-39	0.00131	0.00653	2.67	96815	632	482600	4142145	42.78
1980-1984	40-44	0.00199	0.00989	2.67	96182	951	478695	3659544	38.05
1980-1984	45-49	0.00347	0.01724	2.72	95231	1641	472408	3180849	33.40
1980-1984	50-54	0.00574	0.02834	2.68	93590	2652	461797	2708441	28.94
1980-1984	55-59	0.00906	0.04435	2.64	90938	4033	445155	2246644	24.71
1980-1984	60-64	0.01406	0.06803	2.63	86904	5912	420523	1801489	20.73
1980-1984	65-69	0.02202	0.10465	2.63	80992	8476	384897	1380966	17.05
1980-1984	70-74	0.03378	0.15618	2.59	72516	11326	335307	996070	13.74
1980-1984	75-79	0.05149	0.22884	2.57	61191	14003	271941	660763	10.80
1980-1984	80-84	0.08049	0.33561	2.53	47188	15837	196744	388822	8.24
1980-1984	85-89	0.12636	0.47655	2.42	31351	14940	118234	192077	6.13
1980-1984	90-94	0.19129	0.62902	2.28	16411	10323	53962	73844	4.50
1980-1984	95-99	0.28502	0.77689	2.07	6088	4730	16595	19881	3.27
1980-1984	100-104	0.40099	0.88251	1.83	1358	1199	2989	3287	2.42
1980-1984	105-109	0.53125	0.94326	1.58	160	151	283	298	1.86
1980-1984	110+	0.63907	1.00000	1.56	9	9	14	14	1.56
1985-1989	0	0.00881	0.00874	0.07	100000	874	99190	7649366	76.49
1985-1989	1-4	0.00045	0.00181	1.7	99126	179	396093	7550176	76.17
1985-1989	5-9	0.00022	0.00108	2.34	98947	107	494452	7154083	72.30
1985-1989	10-14	0.00024	0.00119	2.87	98840	117	493951	6659631	67.38
1985-1989	15-19	0.00073	0.00367	2.85	98723	362	492836	6165680	62.45
1985-1989	20-24	0.00090	0.00450	2.45	98361	443	490674	5672844	57.67
1985-1989	25-29	0.00085	0.00426	2.51	97918	417	488552	5182171	52.92
