WV: West Virginia, Lifetables (period 5x1), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02919	0.02847	0.13	100000	2847	97524	6935728	69.36
1959	1-4	0.00125	0.00497	1.69	97153	483	387498	6838203	70.39
1959	5-9	0.00049	0.00247	2.33	96671	238	482717	6450705	66.73
1959	10-14	0.00053	0.00263	2.68	96432	254	481572	5967988	61.89
1959	15-19	0.00112	0.00557	2.96	96179	536	479801	5486416	57.04
1959	20-24	0.00147	0.00730	2.36	95643	698	476371	5006615	52.35
1959	25-29	0.00159	0.00792	2.46	94944	752	472810	4530244	47.71
1959	30-34	0.00176	0.00874	2.68	94193	824	469053	4057434	43.08
1959	35-39	0.00290	0.01440	2.7	93369	1344	463752	3588381	38.43
1959	40-44	0.00394	0.01955	2.74	92025	1799	456053	3124629	33.95
1959	45-49	0.00622	0.03068	2.69	90226	2768	444723	2668577	29.58
1959	50-54	0.00979	0.04788	2.7	87458	4188	427668	2223853	25.43
1959	55-59	0.01392	0.06746	2.71	83270	5618	403475	1796185	21.57
1959	60-64	0.02002	0.09570	2.69	77652	7431	371118	1392711	17.94
1959	65-69	0.03179	0.14775	2.62	70221	10375	326381	1021593	14.55
1959	70-74	0.04474	0.20195	2.59	59846	12086	270120	695212	11.62
1959	75-79	0.07205	0.30685	2.58	47760	14655	203405	425092	8.90
1959	80-84	0.10871	0.42921	2.55	33105	14209	130705	221687	6.70
1959	85-89	0.17625	0.60039	2.35	18896	11345	64368	90981	4.81
1959	90-94	0.26025	0.74471	2.13	7551	5623	21608	26613	3.52
1959	95-99	0.37109	0.86103	1.89	1928	1660	4473	5005	2.60
1959	100-104	0.49598	0.93047	1.64	268	249	503	532	1.99
1959	105-109	0.62082	0.96529	1.43	19	18	29	30	1.60
1959	110+	0.71648	1.00000	1.4	1	1	1	1	1.40
1960	0	0.02605	0.02546	0.12	100000	2546	97760	6955661	69.56
1960	1-4	0.00115	0.00459	1.62	97454	447	388753	6857901	70.37
1960	5-9	0.00053	0.00264	2.43	97007	256	484377	6469149	66.69
1960	10-14	0.00056	0.00281	2.43	96751	271	483057	5984772	61.86
1960	15-19	0.00087	0.00434	2.95	96479	419	481537	5501714	57.02
1960	20-24	0.00138	0.00690	2.62	96061	663	478726	5020177	52.26
1960	25-29	0.00144	0.00717	2.45	95398	684	475243	4541452	47.61
1960	30-34	0.00182	0.00904	2.67	94714	857	471576	4066209	42.93
1960	35-39	0.00274	0.01361	2.56	93857	1277	466173	3594632	38.30
1960	40-44	0.00412	0.02039	2.65	92580	1887	458460	3128459	33.79
1960	45-49	0.00634	0.03125	2.73	90693	2834	447020	2670000	29.44
1960	50-54	0.00946	0.04628	2.62	87859	4066	429605	2222980	25.30
1960	55-59	0.01376	0.06663	2.62	83793	5583	405704	1793374	21.40
1960	60-64	0.02065	0.09841	2.62	78210	7697	372764	1387670	17.74
1960	65-69	0.03103	0.14439	2.59	70513	10182	328071	1014906	14.39
1960	70-74	0.04853	0.21704	2.57	60332	13094	269844	686835	11.38
1960	75-79	0.07270	0.30911	2.58	47238	14601	200836	416991	8.83
1960	80-84	0.11169	0.43611	2.49	32636	14233	127431	216155	6.62
1960	85-89	0.17766	0.60373	2.35	18403	11111	62537	88724	4.82
1960	90-94	0.25517	0.73678	2.13	7293	5373	21057	26187	3.59
1960	95-99	0.35960	0.85136	1.91	1920	1634	4545	5130	2.67
1960	100-104	0.47940	0.92349	1.67	285	263	550	586	2.05
1960	105-109	0.60254	0.96149	1.46	22	21	35	36	1.65
1960	110+	0.69914	1.00000	1.43	1	1	1	1	1.43
1961	0	0.02736	0.02672	0.12	100000	2672	97659	6980014	69.80
1961	1-4	0.00096	0.00382	1.62	97328	372	388427	6882354	70.71
1961	5-9	0.00047	0.00237	2.15	96957	229	484129	6493927	66.98
1961	10-14	0.00048	0.00241	2.65	96727	233	483088	6009798	62.13
1961	15-19	0.00090	0.00451	2.7	96494	435	481470	5526710	57.28
1961	20-24	0.00154	0.00767	2.42	96059	737	478395	5045240	52.52
1961	25-29	0.00130	0.00646	2.69	95323	616	475191	4566845	47.91
1961	30-34	0.00160	0.00797	2.61	94707	754	471732	4091653	43.20
1961	35-39	0.00247	0.01228	2.63	93952	1154	467031	3619921	38.53
1961	40-44	0.00406	0.02011	2.65	92799	1867	459605	3152890	33.98
1961	45-49	0.00639	0.03147	2.57	90932	2862	447695	2693285	29.62
1961	50-54	0.00932	0.04560	2.65	88070	4016	430918	2245590	25.50
1961	55-59	0.01351	0.06540	2.57	84054	5497	406896	1814671	21.59
1961	60-64	0.01978	0.09448	2.63	78557	7422	375167	1407775	17.92
1961	65-69	0.03053	0.14207	2.56	71136	10106	331000	1032608	14.52
1961	70-74	0.04719	0.21196	2.6	61029	12936	274125	701609	11.50
1961	75-79	0.06985	0.29806	2.54	48094	14335	205221	427484	8.89
1961	80-84	0.11630	0.44773	2.43	33759	15115	129968	222262	6.58
1961	85-89	0.17288	0.58897	2.3	18644	10981	63517	92295	4.95
1961	90-94	0.24357	0.71820	2.14	7663	5504	22596	28778	3.76
1961	95-99	0.33404	0.82736	1.95	2159	1787	5349	6182	2.86
1961	100-104	0.43830	0.90254	1.74	373	336	768	834	2.24
1961	105-109	0.54784	0.94679	1.54	36	34	63	66	1.81
1961	110+	0.63527	1.00000	1.57	2	2	3	3	1.57
1962	0	0.02661	0.02600	0.12	100000	2600	97718	6953245	69.53
1962	1-4	0.00101	0.00401	1.83	97400	391	388753	6855527	70.39
1962	5-9	0.00049	0.00245	2.1	97009	238	484359	6466774	66.66
1962	10-14	0.00049	0.00243	2.95	96772	235	483376	5982415	61.82
1962	15-19	0.00091	0.00456	2.73	96537	440	481686	5499040	56.96
1962	20-24	0.00139	0.00695	2.57	96097	668	478860	5017354	52.21
1962	25-29	0.00139	0.00692	2.43	95429	660	475447	4538494	47.56
1962	30-34	0.00186	0.00927	2.47	94769	879	471620	4063047	42.87
