WV: West Virginia, Lifetables (period 5x1), Females Last modified: 3 Dec 2019, MPv5 (May07) 

Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1959	0	0.02346	0.02299	0.12	100000	2299	97974	7316663	73.17
1959	1-4	0.00127	0.00507	1.66	97701	495	389647	7218689	73.89
1959	5-9	0.00039	0.00193	2.22	97206	188	485510	6829042	70.25
1959	10-14	0.00030	0.00149	2.3	97018	144	484702	6343532	65.38
1959	15-19	0.00049	0.00245	2.69	96874	237	483822	5858830	60.48
1959	20-24	0.00076	0.00377	2.24	96637	365	482177	5375008	55.62
1959	25-29	0.00091	0.00453	2.76	96272	436	480385	4892831	50.82
1959	30-34	0.00099	0.00495	2.69	95836	475	478083	4412446	46.04
1959	35-39	0.00191	0.00951	2.74	95361	907	474758	3934363	41.26
1959	40-44	0.00304	0.01509	2.68	94454	1425	468956	3459604	36.63
1959	45-49	0.00370	0.01836	2.57	93028	1708	460989	2990648	32.15
1959	50-54	0.00642	0.03163	2.69	91321	2889	449928	2529660	27.70
1959	55-59	0.00942	0.04613	2.77	88432	4079	433058	2079732	23.52
1959	60-64	0.01396	0.06771	2.77	84353	5712	409015	1646673	19.52
1959	65-69	0.02455	0.11605	2.65	78641	9127	371749	1237658	15.74
1959	70-74	0.03672	0.16911	2.67	69515	11756	320129	865909	12.46
1959	75-79	0.06359	0.27572	2.59	57759	15925	250459	545780	9.45
1959	80-84	0.10080	0.40523	2.58	41833	16952	168174	295321	7.06
1959	85-89	0.16470	0.57355	2.35	24881	14271	86646	127147	5.11
1959	90-94	0.23676	0.70932	2.17	10611	7526	31788	40501	3.82
1959	95-99	0.33781	0.83247	1.95	3084	2568	7601	8713	2.82
1959	100-104	0.45584	0.91279	1.72	517	472	1035	1112	2.15
1959	105-109	0.57955	0.95621	1.5	45	43	74	77	1.71
1959	110+	0.67784	1.00000	1.48	2	2	3	3	1.48
1960	0	0.02475	0.02423	0.12	100000	2423	97874	7333467	73.33
1960	1-4	0.00112	0.00447	1.47	97577	436	389205	7235593	74.15
1960	5-9	0.00046	0.00231	2.47	97141	224	485140	6846388	70.48
1960	10-14	0.00045	0.00224	2.39	96917	217	484018	6361248	65.64
1960	15-19	0.00059	0.00295	2.89	96700	285	482898	5877230	60.78
1960	20-24	0.00047	0.00235	2.95	96415	226	481608	5394332	55.95
1960	25-29	0.00087	0.00432	2.73	96188	415	480000	4912724	51.07
1960	30-34	0.00128	0.00637	2.73	95773	610	477480	4432724	46.28
1960	35-39	0.00196	0.00973	2.53	95163	926	473529	3955244	41.56
1960	40-44	0.00279	0.01386	2.61	94237	1306	468060	3481716	36.95
1960	45-49	0.00405	0.02007	2.72	92931	1865	460407	3013656	32.43
1960	50-54	0.00589	0.02901	2.56	91066	2642	448890	2553249	28.04
1960	55-59	0.00803	0.03942	2.67	88425	3486	434001	2104359	23.80
1960	60-64	0.01408	0.06815	2.63	84939	5789	411001	1670359	19.67
1960	65-69	0.02193	0.10410	2.57	79150	8240	375755	1259358	15.91
1960	70-74	0.03800	0.17450	2.66	70911	12374	325619	883602	12.46
1960	75-79	0.06266	0.27232	2.6	58537	15941	254409	557984	9.53
1960	80-84	0.09947	0.39811	2.49	42596	16958	170486	303574	7.13
1960	85-89	0.15889	0.56212	2.4	25638	14412	90705	133088	5.19
1960	90-94	0.23940	0.71392	2.17	11227	8015	33479	42382	3.78
1960	95-99	0.34475	0.83923	1.94	3212	2695	7819	8903	2.77
