WV: West Virginia, Lifetables (period 5x5), Males Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1964	0	0.02916	0.02843	0.12	100000	2843	97508	6616802	66.17
1960-1964	1-4	0.00106	0.00423	1.72	97157	411	387692	6519295	67.10
1960-1964	5-9	0.00053	0.00266	2.21	96746	257	483011	6131603	63.38
1960-1964	10-14	0.00063	0.00316	2.71	96489	305	481745	5648592	58.54
1960-1964	15-19	0.00136	0.00679	2.83	96184	653	479502	5166846	53.72
1960-1964	20-24	0.00211	0.01050	2.49	95531	1003	475138	4687344	49.07
1960-1964	25-29	0.00211	0.01051	2.47	94527	994	470119	4212206	44.56
1960-1964	30-34	0.00244	0.01211	2.52	93533	1133	464855	3742087	40.01
1960-1964	35-39	0.00342	0.01697	2.63	92400	1568	458285	3277231	35.47
1960-1964	40-44	0.00543	0.02682	2.71	90832	2437	448578	2818947	31.03
1960-1964	45-49	0.00846	0.04148	2.64	88396	3667	433311	2370369	26.82
1960-1964	50-54	0.01284	0.06237	2.69	84729	5284	411425	1937058	22.86
1960-1964	55-59	0.02006	0.09566	2.58	79444	7599	378868	1525634	19.20
1960-1964	60-64	0.02803	0.13141	2.63	71845	9441	336843	1146765	15.96
1960-1964	65-69	0.04078	0.18526	2.53	62404	11561	283511	809922	12.98
1960-1964	70-74	0.05945	0.25902	2.52	50843	13169	221516	526411	10.35
1960-1964	75-79	0.08355	0.34566	2.5	37674	13022	155854	304894	8.09
1960-1964	80-84	0.12955	0.48518	2.41	24651	11960	92318	149040	6.05
1960-1964	85-89	0.19577	0.63840	2.28	12691	8102	41385	56722	4.47
1960-1964	90-94	0.27883	0.76780	2.07	4589	3523	12637	15337	3.34
1960-1964	95-99	0.38205	0.86798	1.86	1066	925	2421	2700	2.53
1960-1964	100-104	0.49711	0.93015	1.64	141	131	263	279	1.98
1960-1964	105-109	0.61309	0.96338	1.44	10	9	15	16	1.62
1960-1964	110+	0.70348	1.00000	1.42	0	0	1	1	1.42
1965-1969	0	0.02926	0.02853	0.12	100000	2853	97500	6561268	65.61
1965-1969	1-4	0.00105	0.00419	1.72	97147	407	387661	6463768	66.54
1965-1969	5-9	0.00054	0.00272	2.4	96741	263	483021	6076107	62.81
1965-1969	10-14	0.00058	0.00288	2.74	96478	278	481760	5593086	57.97
1965-1969	15-19	0.00176	0.00878	2.87	96200	845	479201	5111326	53.13
1965-1969	20-24	0.00224	0.01113	2.42	95355	1061	474040	4632124	48.58
1965-1969	25-29	0.00212	0.01052	2.53	94294	992	469022	4158084	44.10
1965-1969	30-34	0.00251	0.01249	2.59	93302	1165	463700	3689062	39.54
1965-1969	35-39	0.00375	0.01857	2.72	92137	1711	456793	3225362	35.01
1965-1969	40-44	0.00529	0.02613	2.77	90426	2362	446858	2768568	30.62
1965-1969	45-49	0.00888	0.04350	2.66	88064	3831	431340	2321710	26.36
1965-1969	50-54	0.01339	0.06491	2.66	84233	5468	408345	1890370	22.44
1965-1969	55-59	0.02031	0.09689	2.64	78765	7632	375820	1482025	18.82
1965-1969	60-64	0.03062	0.14274	2.63	71134	10153	331559	1106205	15.55
1965-1969	65-69	0.04342	0.19624	2.55	60980	11967	275578	774645	12.70
1965-1969	70-74	0.06045	0.26340	2.56	49014	12910	213575	499067	10.18
1965-1969	75-79	0.08967	0.36477	2.44	36103	13170	146866	285492	7.91
1965-1969	80-84	0.12971	0.48573	2.42	22934	11140	85878	138626	6.04
1965-1969	85-89	0.19604	0.63711	2.25	11794	7514	38329	52748	4.47
1965-1969	90-94	0.27642	0.76455	2.08	4280	3272	11838	14419	3.37
1965-1969	95-99	0.37769	0.86459	1.86	1008	871	2307	2581	2.56
1965-1969	100-104	0.49084	0.92755	1.65	136	127	258	274	2.01
1965-1969	105-109	0.60549	0.96171	1.45	10	10	16	16	1.64
1965-1969	110+	0.69529	1.00000	1.44	0	0	1	1	1.44
1970-1974	0	0.02395	0.02345	0.11	100000	2345	97911	6601428	66.01
1970-1974	1-4	0.00081	0.00322	1.72	97655	315	389903	6503517	66.60
1970-1974	5-9	0.00054	0.00271	2.52	97340	264	486048	6113614	62.81
1970-1974	10-14	0.00056	0.00278	2.79	97076	270	484785	5627566	57.97
1970-1974	15-19	0.00168	0.00835	2.8	96806	808	482258	5142781	53.12
1970-1974	20-24	0.00230	0.01145	2.52	95998	1100	477263	4660524	48.55
1970-1974	25-29	0.00219	0.01087	2.59	94899	1032	472012	4183260	44.08
1970-1974	30-34	0.00244	0.01214	2.47	93867	1140	466448	3711249	39.54
1970-1974	35-39	0.00340	0.01686	2.65	92727	1564	459964	3244800	34.99
1970-1974	40-44	0.00542	0.02677	2.7	91164	2441	450197	2784837	30.55
1970-1974	45-49	0.00877	0.04299	2.65	88723	3814	434650	2334639	26.31
1970-1974	50-54	0.01345	0.06523	2.68	84909	5538	411714	1899989	22.38
1970-1974	55-59	0.02015	0.09621	2.66	79371	7636	379014	1488275	18.75
1970-1974	60-64	0.03071	0.14314	2.63	71735	10268	334359	1109261	15.46
1970-1974	65-69	0.04326	0.19568	2.57	61466	12028	278059	774902	12.61
1970-1974	70-74	0.06395	0.27589	2.51	49439	13640	213287	496843	10.05
1970-1974	75-79	0.09093	0.37002	2.48	35799	13246	145681	283556	7.92
1970-1974	80-84	0.12863	0.48355	2.43	22553	10905	84779	137875	6.11
1970-1974	85-89	0.19163	0.62879	2.27	11647	7324	38219	53095	4.56
1970-1974	90-94	0.26994	0.75585	2.09	4324	3268	12106	14876	3.44
1970-1974	95-99	0.36793	0.85687	1.88	1056	904	2458	2770	2.62
1970-1974	100-104	0.47809	0.92204	1.67	151	139	291	311	2.06
1970-1974	105-109	0.59089	0.95835	1.48	12	11	19	20	1.68
1970-1974	110+	0.68001	1.00000	1.47	0	0	1	1	1.47
1975-1979	0	0.01828	0.01798	0.09	100000	1798	98371	6770340	67.70
1975-1979	1-4	0.00067	0.00267	1.7	98202	262	392207	6671969	67.94
1975-1979	5-9	0.00035	0.00174	2.24	97940	170	489231	6279762	64.12
1975-1979	10-14	0.00045	0.00227	2.64	97770	222	488329	5790530	59.23
1975-1979	15-19	0.00157	0.00780	3.01	97549	761	486228	5302201	54.35
1975-1979	20-24	0.00212	0.01053	2.53	96788	1019	481419	4815973	49.76
1975-1979	25-29	0.00212	0.01055	2.47	95769	1010	476289	4334554	45.26
1975-1979	30-34	0.00212	0.01055	2.5	94759	1000	471292	3858265	40.72
1975-1979	35-39	0.00308	0.01531	2.65	93759	1436	465417	3386973	36.12
1975-1979	40-44	0.00478	0.02363	2.73	92323	2182	456673	2921556	31.64
1975-1979	45-49	0.00741	0.03641	2.7	90142	3282	443174	2464883	27.34
1975-1979	50-54	0.01173	0.05713	2.72	86859	4962	422979	2021708	23.28
1975-1979	55-59	0.01788	0.08586	2.68	81897	7031	393185	1598729	19.52
1975-1979	60-64	0.02829	0.13249	2.6	74866	9919	350564	1205544	16.10
1975-1979	65-69	0.04037	0.18365	2.55	64947	11928	295457	854979	13.16
1975-1979	70-74	0.05839	0.25501	2.52	53019	13521	231565	559522	10.55
1975-1979	75-79	0.08302	0.34360	2.49	39499	13572	163474	327957	8.30
1975-1979	80-84	0.12187	0.46287	2.4	25927	12001	98476	164484	6.34
1975-1979	85-89	0.18281	0.61225	2.3	13926	8526	46640	66007	4.74
1975-1979	90-94	0.25717	0.73824	2.12	5400	3986	15501	19367	3.59
1975-1979	95-99	0.35148	0.84318	1.92	1413	1192	3391	3866	2.73
1975-1979	100-104	0.45880	0.91313	1.7	222	202	441	475	2.14
1975-1979	105-109	0.57047	0.95325	1.51	19	18	32	34	1.74
1975-1979	110+	0.65965	1.00000	1.52	1	1	1	1	1.52
1980-1984	0	0.01289	0.01274	0.08	100000	1274	98828	6947003	69.47
1980-1984	1-4	0.00057	0.00226	1.63	98726	223	394377	6848176	69.37
1980-1984	5-9	0.00030	0.00152	2.47	98503	149	492138	6453798	65.52
1980-1984	10-14	0.00032	0.00162	2.91	98354	160	491437	5961661	60.61
1980-1984	15-19	0.00137	0.00682	3.02	98194	670	489645	5470224	55.71
1980-1984	20-24	0.00187	0.00929	2.44	97525	906	485309	4980579	51.07
1980-1984	25-29	0.00189	0.00942	2.48	96619	910	480802	4495270	46.53
1980-1984	30-34	0.00181	0.00902	2.54	95708	864	476418	4014468	41.94
1980-1984	35-39	0.00259	0.01287	2.67	94845	1221	471375	3538050	37.30
1980-1984	40-44	0.00403	0.01999	2.71	93624	1871	463833	3066675	32.76
1980-1984	45-49	0.00620	0.03057	2.75	91753	2805	452446	2602842	28.37
1980-1984	50-54	0.00988	0.04826	2.62	88948	4293	434533	2150395	24.18
1980-1984	55-59	0.01598	0.07701	2.67	84655	6519	408099	1715863	20.27
1980-1984	60-64	0.02515	0.11857	2.6	78135	9265	368423	1307763	16.74
1980-1984	65-69	0.03754	0.17200	2.57	68871	11846	315518	939340	13.64
1980-1984	70-74	0.05470	0.24123	2.56	57025	13756	251498	623822	10.94
1980-1984	75-79	0.07816	0.32633	2.47	43269	14120	180650	372324	8.60
1980-1984	80-84	0.11787	0.45153	2.41	29149	13162	111660	191674	6.58
1980-1984	85-89	0.16987	0.58005	2.27	15987	9274	54591	80013	5.00
1980-1984	90-94	0.24171	0.71498	2.14	6714	4800	19859	25422	3.79
1980-1984	95-99	0.32867	0.82179	1.96	1914	1573	4785	5563	2.91
1980-1984	100-104	0.42891	0.89705	1.76	341	306	713	778	2.28
1980-1984	105-109	0.53555	0.94290	1.56	35	33	62	65	1.85
1980-1984	110+	0.62205	1.00000	1.61	2	2	3	3	1.61
1985-1989	0	0.01119	0.01108	0.08	100000	1108	98975	7014895	70.15
1985-1989	1-4	0.00055	0.00221	1.76	98892	219	395079	6915920	69.93
1985-1989	5-9	0.00023	0.00117	2.65	98674	115	493097	6520840	66.08
1985-1989	10-14	0.00043	0.00217	2.96	98558	214	492355	6027743	61.16
1985-1989	15-19	0.00134	0.00669	2.82	98345	658	490285	5535388	56.29
1985-1989	20-24	0.00177	0.00884	2.57	97686	863	486334	5045103	51.65
1985-1989	25-29	0.00186	0.00924	2.5	96823	895	481878	4558769	47.08
1985-1989	30-34	0.00206	0.01025	2.53	95928	984	477215	4076892	42.50
