WY: Wyoming, Lifetables (period 1x10), Both sexes Last modified: 3 Dec 2019, MPv5 (May07) 

Year     	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1960-1969	0	0.02668	0.02607	0.12	100000	2607	97712	7035984	70.36
1960-1969	1	0.00212	0.00212	0.5	97393	206	97289	6938272	71.24
1960-1969	2	0.00079	0.00079	0.5	97186	77	97148	6840982	70.39
1960-1969	3	0.00080	0.00080	0.5	97109	78	97070	6743835	69.45
1960-1969	4	0.00071	0.00071	0.5	97031	69	96997	6646764	68.50
1960-1969	5	0.00062	0.00062	0.5	96962	60	96932	6549768	67.55
1960-1969	6	0.00056	0.00056	0.5	96902	55	96875	6452836	66.59
1960-1969	7	0.00046	0.00046	0.5	96848	44	96825	6355961	65.63
1960-1969	8	0.00041	0.00041	0.5	96803	40	96783	6259135	64.66
1960-1969	9	0.00031	0.00031	0.5	96764	30	96749	6162352	63.68
1960-1969	10	0.00037	0.00037	0.5	96734	35	96716	6065603	62.70
1960-1969	11	0.00033	0.00033	0.5	96698	32	96682	5968887	61.73
1960-1969	12	0.00046	0.00046	0.5	96666	45	96644	5872205	60.75
1960-1969	13	0.00049	0.00049	0.5	96621	47	96598	5775561	59.78
1960-1969	14	0.00084	0.00084	0.5	96574	81	96533	5678964	58.80
1960-1969	15	0.00109	0.00109	0.5	96492	105	96440	5582431	57.85
1960-1969	16	0.00154	0.00154	0.5	96387	148	96313	5485991	56.92
1960-1969	17	0.00179	0.00179	0.5	96239	172	96153	5389678	56.00
1960-1969	18	0.00217	0.00217	0.5	96067	208	95963	5293525	55.10
1960-1969	19	0.00176	0.00176	0.5	95859	168	95775	5197562	54.22
1960-1969	20	0.00180	0.00179	0.5	95691	172	95605	5101787	53.32
1960-1969	21	0.00184	0.00184	0.5	95519	176	95431	5006182	52.41
1960-1969	22	0.00202	0.00201	0.5	95343	192	95247	4910751	51.51
1960-1969	23	0.00169	0.00169	0.5	95151	161	95071	4815504	50.61
1960-1969	24	0.00183	0.00182	0.5	94990	173	94904	4720433	49.69
1960-1969	25	0.00159	0.00159	0.5	94817	150	94742	4625530	48.78
1960-1969	26	0.00164	0.00164	0.5	94667	155	94589	4530788	47.86
1960-1969	27	0.00146	0.00146	0.5	94511	138	94443	4436199	46.94
1960-1969	28	0.00177	0.00177	0.5	94374	167	94290	4341756	46.01
1960-1969	29	0.00182	0.00182	0.5	94207	171	94121	4247466	45.09
1960-1969	30	0.00169	0.00169	0.5	94035	159	93956	4153345	44.17
1960-1969	31	0.00180	0.00180	0.5	93876	169	93792	4059389	43.24
1960-1969	32	0.00193	0.00192	0.5	93707	180	93617	3965597	42.32
1960-1969	33	0.00218	0.00218	0.5	93527	204	93425	3871980	41.40
1960-1969	34	0.00194	0.00194	0.5	93323	181	93232	3778555	40.49
1960-1969	35	0.00172	0.00172	0.5	93142	161	93062	3685323	39.57
1960-1969	36	0.00264	0.00263	0.5	92981	245	92859	3592261	38.63
1960-1969	37	0.00251	0.00250	0.5	92737	232	92621	3499402	37.73
1960-1969	38	0.00259	0.00258	0.5	92505	239	92385	3406781	36.83
1960-1969	39	0.00315	0.00314	0.5	92266	290	92121	3314396	35.92
1960-1969	40	0.00294	0.00293	0.5	91976	270	91841	3222276	35.03
1960-1969	41	0.00303	0.00303	0.5	91706	277	91567	3130435	34.14
1960-1969	42	0.00373	0.00372	0.5	91429	340	91258	3038867	33.24
1960-1969	43	0.00380	0.00379	0.5	91088	345	90915	2947609	32.36
1960-1969	44	0.00446	0.00445	0.5	90743	404	90541	2856694	31.48
1960-1969	45	0.00389	0.00388	0.5	90339	351	90164	2766153	30.62
1960-1969	46	0.00521	0.00520	0.5	89988	468	89754	2675989	29.74
1960-1969	47	0.00498	0.00497	0.5	89520	445	89298	2586235	28.89
1960-1969	48	0.00547	0.00546	0.5	89075	486	88832	2496937	28.03
1960-1969	49	0.00632	0.00630	0.5	88589	559	88310	2408105	27.18
1960-1969	50	0.00647	0.00645	0.5	88031	567	87747	2319795	26.35
1960-1969	51	0.00712	0.00710	0.5	87463	621	87153	2232048	25.52
1960-1969	52	0.00832	0.00828	0.5	86843	719	86483	2144895	24.70
1960-1969	53	0.00885	0.00882	0.5	86123	759	85743	2058412	23.90
1960-1969	54	0.00896	0.00892	0.5	85364	762	84983	1972669	23.11
1960-1969	55	0.01032	0.01027	0.5	84602	869	84168	1887686	22.31
1960-1969	56	0.01171	0.01165	0.5	83734	975	83246	1803518	21.54
1960-1969	57	0.01284	0.01276	0.5	82758	1056	82230	1720272	20.79
1960-1969	58	0.01271	0.01263	0.5	81702	1032	81186	1638042	20.05
1960-1969	59	0.01375	0.01366	0.5	80670	1102	80119	1556856	19.30
1960-1969	60	0.01582	0.01569	0.5	79568	1249	78944	1476736	18.56
1960-1969	61	0.01690	0.01676	0.5	78320	1312	77664	1397792	17.85
1960-1969	62	0.01844	0.01827	0.5	77007	1407	76304	1320128	17.14
1960-1969	63	0.02095	0.02073	0.5	75600	1568	74817	1243825	16.45
1960-1969	64	0.02069	0.02048	0.5	74033	1516	73275	1169008	15.79
1960-1969	65	0.02301	0.02275	0.5	72517	1650	71692	1095733	15.11
1960-1969	66	0.02496	0.02466	0.5	70867	1747	69994	1024041	14.45
1960-1969	67	0.02668	0.02633	0.5	69120	1820	68210	954047	13.80
1960-1969	68	0.03167	0.03118	0.5	67300	2098	66251	885837	13.16
1960-1969	69	0.03090	0.03043	0.5	65202	1984	64210	819586	12.57
1960-1969	70	0.03564	0.03502	0.5	63218	2214	62111	755377	11.95
1960-1969	71	0.04063	0.03982	0.5	61004	2429	59789	693266	11.36
1960-1969	72	0.04250	0.04161	0.5	58575	2437	57356	633476	10.81
1960-1969	73	0.04381	0.04287	0.5	56137	2407	54934	576120	10.26
1960-1969	74	0.05090	0.04964	0.5	53731	2667	52397	521186	9.70
1960-1969	75	0.06066	0.05888	0.5	51064	3007	49560	468789	9.18
1960-1969	76	0.05747	0.05587	0.5	48057	2685	46715	419229	8.72
1960-1969	77	0.06736	0.06516	0.5	45372	2957	43894	372514	8.21
1960-1969	78	0.07009	0.06771	0.5	42416	2872	40980	328620	7.75
1960-1969	79	0.08087	0.07773	0.5	39544	3074	38007	287640	7.27
1960-1969	80	0.08846	0.08472	0.5	36470	3090	34925	249634	6.84
1960-1969	81	0.09753	0.09299	0.5	33380	3104	31828	214708	6.43
1960-1969	82	0.10741	0.10194	0.5	30276	3086	28733	182880	6.04
1960-1969	83	0.11818	0.11158	0.5	27190	3034	25673	154147	5.67
1960-1969	84	0.12987	0.12195	0.5	24156	2946	22683	128474	5.32
1960-1969	85	0.14254	0.13306	0.5	21210	2822	19799	105791	4.99
1960-1969	86	0.15623	0.14491	0.5	18388	2665	17056	85992	4.68
1960-1969	87	0.17099	0.15752	0.5	15723	2477	14485	68936	4.38
1960-1969	88	0.18684	0.17088	0.5	13247	2264	12115	54451	4.11
1960-1969	89	0.20382	0.18497	0.5	10983	2032	9967	42336	3.85
1960-1969	90	0.22194	0.19977	0.5	8951	1788	8057	32369	3.62
1960-1969	91	0.24119	0.21524	0.5	7163	1542	6392	24312	3.39
1960-1969	92	0.26158	0.23132	0.5	5621	1300	4971	17919	3.19
1960-1969	93	0.28306	0.24797	0.5	4321	1071	3785	12948	3.00
1960-1969	94	0.30561	0.26510	0.5	3250	861	2819	9163	2.82
1960-1969	95	0.32915	0.28263	0.5	2388	675	2051	6344	2.66
1960-1969	96	0.35361	0.30048	0.5	1713	515	1456	4293	2.51
1960-1969	97	0.37889	0.31854	0.5	1198	382	1008	2837	2.37
1960-1969	98	0.40488	0.33671	0.5	817	275	679	1830	2.24
1960-1969	99	0.43144	0.35488	0.5	542	192	446	1151	2.12
1960-1969	100	0.45843	0.37295	0.5	349	130	284	705	2.02
1960-1969	101	0.48571	0.39080	0.5	219	86	176	421	1.92
1960-1969	102	0.51310	0.40834	0.5	133	55	106	245	1.83
1960-1969	103	0.54045	0.42548	0.5	79	34	62	138	1.75
