PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
WY,f,1960-1964,0,0.02501,0.02447,0.12,100000,2447,97854,7412683,74.13
WY,f,1960-1964,1-4,0.00087,0.00346,1.45,97553,337,389352,7314829,74.98
WY,f,1960-1964,5-9,0.00057,0.00282,2.13,97216,274,485292,6925478,71.24
WY,f,1960-1964,10-14,0.00052,0.00257,3.02,96941,249,484214,6440185,66.43
WY,f,1960-1964,15-19,0.00095,0.00474,2.62,96692,458,482369,5955971,61.60
WY,f,1960-1964,20-24,0.00083,0.00414,2.41,96234,398,480138,5473603,56.88
WY,f,1960-1964,25-29,0.00096,0.00479,2.86,95835,459,478195,4993465,52.10
WY,f,1960-1964,30-34,0.00125,0.00625,2.31,95376,596,475278,4515270,47.34
WY,f,1960-1964,35-39,0.00186,0.00928,2.67,94780,879,471847,4039992,42.62
WY,f,1960-1964,40-44,0.00252,0.01252,2.76,93900,1176,466869,3568145,38.00
WY,f,1960-1964,45-49,0.00365,0.01812,2.79,92724,1681,459914,3101276,33.45
WY,f,1960-1964,50-54,0.00595,0.02933,2.69,91044,2670,449048,2641362,29.01
WY,f,1960-1964,55-59,0.00774,0.03802,2.65,88374,3360,433972,2192315,24.81
WY,f,1960-1964,60-64,0.01274,0.06192,2.73,85014,5264,413132,1758342,20.68
WY,f,1960-1964,65-69,0.01986,0.09492,2.68,79750,7569,381158,1345210,16.87
WY,f,1960-1964,70-74,0.03190,0.14779,2.51,72180,10668,334372,964052,13.36
WY,f,1960-1964,75-79,0.05110,0.22705,2.55,61513,13966,273329,629680,10.24
WY,f,1960-1964,80-84,0.09082,0.37066,2.52,47546,17624,194041,356351,7.49
WY,f,1960-1964,85-89,0.14768,0.53301,2.39,29923,15949,107995,162309,5.42
WY,f,1960-1964,90-94,0.22998,0.69968,2.2,13973,9777,42513,54314,3.89
WY,f,1960-1964,95-99,0.33863,0.83447,1.96,4196,3502,10341,11801,2.81
WY,f,1960-1964,100-104,0.46701,0.91895,1.7,695,638,1367,1460,2.10
WY,f,1960-1964,105-109,0.60065,0.96158,1.47,56,54,90,93,1.66
WY,f,1960-1964,110+,0.70522,1.00000,1.42,2,2,3,3,1.42
WY,f,1965-1969,0,0.01972,0.01938,0.11,100000,1938,98272,7510011,75.10
WY,f,1965-1969,1-4,0.00099,0.00394,1.54,98062,386,391297,7411740,75.58
WY,f,1965-1969,5-9,0.00032,0.00160,1.79,97676,157,487877,7020443,71.87
WY,f,1965-1969,10-14,0.00020,0.00101,2.98,97519,99,487397,6532566,66.99
WY,f,1965-1969,15-19,0.00113,0.00562,2.51,97420,548,485735,6045169,62.05
WY,f,1965-1969,20-24,0.00095,0.00472,2.69,96873,457,483307,5559434,57.39
WY,f,1965-1969,25-29,0.00070,0.00349,2.68,96415,337,481295,5076127,52.65
WY,f,1965-1969,30-34,0.00105,0.00525,2.67,96079,505,479220,4594832,47.82
